endpoint,method,variant,subset,component,n,mean_recovery_pct,median_recovery_pct,q1_pct,q3_pct,within80_120_pct
composition,MLP_old4class,pie,binary,DQ,14,98.9590207832757,92.88112475569525,52.591124001364086,113.39316329828667,35.714285714285715
composition,MLP_old4class,pie,binary,TBZ,14,150.2239108283295,92.23431824234501,79.82474504367799,141.2383463391007,35.714285714285715
composition,MLP_old4class,pie,binary,THI,14,119.50627751673217,100.56728780747815,84.53029513741524,139.81004299276563,50.0
composition,MLP_old4class,pie,binary,ALL,42,122.89640304277914,95.58468586781414,77.70719805667709,141.2383463391007,40.476190476190474
composition,MLP_old4class,pie,ternary,DQ,72,124.10606675215793,106.03471808999196,77.29025329712276,132.71282814852975,31.944444444444443
composition,MLP_old4class,pie,ternary,TBZ,72,122.4916843449197,102.44528646167376,80.71776793995191,151.1115496169876,37.5
composition,MLP_old4class,pie,ternary,THI,72,123.07076987778409,108.9221692919208,81.1345029147263,154.76048253937768,37.5
composition,MLP_old4class,pie,ternary,ALL,216,123.2228403249539,105.55202259181121,80.20148195473962,146.85536838156492,35.648148148148145
composition,PLS8_4class,pie,binary,DQ,14,102.9832385570754,76.23392027904873,65.63338395439098,122.22252808328952,14.285714285714285
composition,PLS8_4class,pie,binary,TBZ,14,140.34475210311325,85.00909996426846,66.95246556082256,152.2553649842995,28.57142857142857
composition,PLS8_4class,pie,binary,THI,14,142.37981720042933,102.46618404024362,78.79733469933356,206.8642537318413,28.57142857142857
composition,PLS8_4class,pie,binary,ALL,42,128.56926928687267,84.95177765663007,70.16584516825833,161.0696895420569,23.809523809523807
composition,PLS8_4class,pie,ternary,DQ,72,119.829540079511,103.91749155386296,78.69051331358364,135.3032383309805,34.72222222222222
composition,PLS8_4class,pie,ternary,TBZ,72,120.46521391736172,105.6239993268812,70.12127038440721,147.87658643501715,26.38888888888889
composition,PLS8_4class,pie,ternary,THI,72,125.57880740613398,101.13549670812051,79.7969326683143,156.3682528010675,33.33333333333333
composition,PLS8_4class,pie,ternary,ALL,216,121.95785380100223,103.91749155386296,77.48423026558442,147.21859947671905,31.48148148148148
concentration,MLP_old4class,raw_signal_partition,binary,DQ,14,1.18737034515541,0.6207834132720346,0.20709982097308888,1.0283251085736285,0.0
concentration,MLP_old4class,raw_signal_partition,binary,TBZ,14,2.0360752631292915,1.5639610091925924,0.9330857268613009,2.53785803853068,0.0
concentration,MLP_old4class,raw_signal_partition,binary,THI,14,15.189427772056844,4.6418179233176415,1.776507264284707,20.0,0.0
concentration,MLP_old4class,raw_signal_partition,binary,ALL,42,6.137624460113848,1.5632264877909847,0.6588745246167422,3.860135939274925,0.0
concentration,MLP_old4class,raw_signal_partition,ternary,DQ,72,9.087497676041433,7.5479107155652265,4.1630887688357445,11.5486375154339,0.0
concentration,MLP_old4class,raw_signal_partition,ternary,TBZ,72,14.239817674854427,12.174472329743814,7.553049926276069,17.64649055306153,0.0
concentration,MLP_old4class,raw_signal_partition,ternary,THI,72,18.41241331065531,15.908962224004707,11.770137447256666,24.202422061170736,0.0
concentration,MLP_old4class,raw_signal_partition,ternary,ALL,216,13.913242887183726,11.587562930661434,6.950657100206711,19.184598708246398,0.0
concentration,MLP_old4class,above_intercept_partition,binary,DQ,14,1.9221749363473093,1.2873148045973395,0.40117587124978804,2.5776178650523645,0.0
