frac,model,mean_dev_pp,binary_dev_pp,ternary_dev_pp,det_auc
0.25,mlp,19.78315164663771,26.579082117810717,17.684408412893102,0.8684807256235828
0.25,pls,20.080076536525443,29.972621683781718,17.025025829284537,0.8650793650793651
0.5,mlp,19.796335594841953,28.518455452251054,17.10273975652443,0.8956916099773242
0.5,pls,17.000225302697217,26.975606258350233,13.919592948745546,0.9308390022675737
0.75,mlp,19.43977683415571,26.595119111685303,17.230038777859807,0.8911564625850341
0.75,pls,15.990765684015031,26.51453915617248,12.740776817613463,0.9183673469387755
1.0,mlp,17.485205045430234,26.23605879991431,14.782735503604272,0.9058956916099773
1.0,pls,15.258812169039938,24.737360787193282,12.331613331080817,0.9297052154195011
