hidden,params_approx,mean_dev_pp,binary_dev_pp,ternary_dev_pp,det_auc
"(32, 16)",41856,18.035256264382262,26.162896636667444,15.5252496788236,0.891156462585034
"(64, 32)",84736,19.613459949985632,27.29485239771228,17.24126522348182,0.9036281179138322
"(128, 64)",173568,18.448763838828558,26.753529964007033,15.884056653111672,0.8775510204081632
"(256, 64)",346880,17.485205045430234,26.23605879991431,14.782735503604272,0.9058956916099773
"(512, 128)",726528,19.019707393041305,26.74525172006681,16.63387752734225,0.9217687074829931
"(1024, 256)",1584128,19.663531417022938,28.050886350731965,17.073318863965735,0.9070294784580499
