method,n,mean_deviation_pp,se_deviation_pp,median_deviation_pp,accuracy_at_10pp,binary_auc,DQ_mean_recovery_pct,TBZ_mean_recovery_pct,THI_mean_recovery_pct
nnls,89,20.08713584637385,1.6016709549510704,16.73748948115347,0.25842696629213485,0.9132653061224488,99.64421009140104,120.58780582443663,144.6282240016623
pls,89,15.258812169039938,1.0845013918610886,13.748016834674187,0.3707865168539326,0.9297052154195011,117.49980371460694,122.79006853339762,121.83506451193605
rf,89,17.06293023772811,1.0702565304505733,14.636058110289095,0.2808988764044944,0.9410430839002267,128.56042685534132,123.92193941147406,125.52718801415112
cnn,89,20.87114492643512,1.452020910069198,18.87839394621551,0.1797752808988764,0.81859410430839,126.74914345955159,112.28220943189675,139.32566610675565
mlp,89,17.485205045430234,1.2575932241328007,13.733139385779698,0.33707865168539325,0.9058956916099773,110.0224927769769,117.92748504839304,127.25230726553427
