method,subset,n_maps,n_present_components,mean_recovery_pct,median_recovery_pct,mae_uM,rmse_log10,within_1_5x_pct,within_2x_pct,euclidean_mean_uM,euclidean_median_uM
pure_calibration,all_no100,89,246,55.566390069718,30.962290541898902,51.617570188981496,0.9385313980665067,14.227642276422763,24.796747967479675,109.79338705154582,21.446554367247078
pure_calibration,binary,21,42,26.21419880550613,4.593127444534857,195.9327628617881,1.5510201308062894,4.761904761904762,11.904761904761903,320.90283269582534,250.9332881553899
pure_calibration,ternary,68,204,61.609488271173376,35.029344460528,21.905618756344836,0.7529323942047602,16.176470588235293,27.450980392156865,44.59782295551834,15.88114222114427
pure_calibration,low_grid64,64,192,64.78556698509018,36.86829059281861,8.806247131374958,0.5920437857379226,17.1875,29.166666666666668,19.1309311741923,14.939042447969374
pure_calibration,calibration_range_max100,64,192,64.78556698509018,36.86829059281861,8.806247131374958,0.5920437857379226,17.1875,29.166666666666668,19.1309311741923,14.939042447969374
ridge_residual,all_no100,89,246,131.51294036868916,111.43121552249102,40.09608958578032,0.4135617990081033,38.61788617886179,65.4471544715447,88.40666755978751,13.503394451219629
ridge_residual,binary,21,42,63.732694276863185,43.38319494243747,156.36696617470474,0.6679179375001997,26.190476190476193,40.476190476190474,263.9605836426969,221.92948423768507
ridge_residual,ternary,68,204,145.4676969170062,119.77022609574774,16.157967935119412,0.33822926556639965,41.17647058823529,70.58823529411765,34.19148759300665,9.825051112329607
ridge_residual,low_grid64,64,192,150.6373886631297,122.74166800235842,6.193318071844555,0.2829134383120344,42.1875,72.91666666666666,13.089693904578137,9.458828399719609
ridge_residual,calibration_range_max100,64,192,150.6373886631297,122.74166800235842,6.193318071844555,0.2829134383120344,42.1875,72.91666666666666,13.089693904578137,9.458828399719609
neural_residual,all_no100,89,246,109.20227176342966,91.87565652920672,38.0188027295025,0.40077744412633587,50.0,70.32520325203252,86.29687530049597,12.13286441936684
neural_residual,binary,21,42,75.57140762120792,56.14862925815293,153.92385438992466,0.6560050863254916,28.57142857142857,42.857142857142854,264.8916281134364,211.66794060632435
neural_residual,ternary,68,204,116.12627320447532,100.52094467999191,14.155997975886164,0.3241788828782996,54.41176470588235,75.98039215686273,31.142613402382,8.73467271173084
neural_residual,low_grid64,64,192,120.04464995962539,104.23243397837263,5.00747635640615,0.2626978061529275,55.208333333333336,78.125,10.483982755703686,8.33476949860821
neural_residual,calibration_range_max100,64,192,120.04464995962539,104.23243397837263,5.00747635640615,0.2626978061529275,55.208333333333336,78.125,10.483982755703686,8.33476949860821
