wavenumber_cm-1,IG_DQ,IG_TBZ,IG_THI
1761.6,0.0518,0.0417,0.0059
1763.2,0.0281,0.0239,0.0065
1764.7,0.0164,0.0154,0.0034
1766.2,0.0253,0.0222,0.0036
1767.8,0.0372,0.0305,0.0036
1769.3,0.0740,0.0672,0.0115
1770.9,0.0712,0.0613,0.0074
1772.5,0.0207,0.0168,0.0055
1774.0,0.0181,0.0197,0.0093
1775.5,0.0154,0.0149,0.0089
1777.1,0.0197,0.0215,0.0019
1778.7,0.0067,0.0082,0.0063
1780.2,0.0175,0.0159,0.0043
1781.8,0.0037,0.0045,0.0028
1783.3,0.0380,0.0311,0.0050
1784.8,0.0044,0.0038,0.0021
1786.4,0.0120,0.0094,0.0022
1788.0,0.0332,0.0328,0.0039
1789.5,0.0411,0.0411,0.0039
1791.0,0.0753,0.0696,0.0062
1792.6,0.0227,0.0184,0.0026
1794.2,0.0341,0.0343,0.0036
1795.7,0.0097,0.0095,0.0032
1797.2,0.0553,0.0500,0.0023
1798.8,0.0135,0.0147,0.0004
