wavenumber_cm-1,IG_DQ,IG_TBZ,IG_THI
983.5,0.0017,0.0019,0.0009
985.0,0.0140,0.0164,0.0003
986.6,0.0259,0.0320,0.0007
988.1,0.0418,0.0489,0.0007
989.7,0.0782,0.0923,0.0012
991.2,0.0289,0.0329,0.0020
992.8,0.0937,0.1097,0.0011
994.4,0.1003,0.1165,0.0019
995.9,0.1317,0.1548,0.0025
997.5,0.1383,0.1644,0.0042
999.0,0.1450,0.1718,0.0046
1000.5,0.2190,0.2635,0.0058
1002.1,0.2355,0.2904,0.0056
1003.6,0.2303,0.2870,0.0067
1005.2,0.3242,0.4117,0.0108
1006.8,0.2071,0.2643,0.0065
1008.3,0.2752,0.3529,0.0073
1009.9,0.3214,0.4163,0.0078
1011.4,0.2873,0.3722,0.0090
1013.0,0.2318,0.2997,0.0107
1014.5,0.1682,0.2148,0.0056
1016.0,0.1676,0.2079,0.0033
1017.6,0.1401,0.1727,0.0033
1019.1,0.0216,0.0274,0.0020
1020.7,0.0092,0.0107,0.0016
1022.2,0.0474,0.0561,0.0024
1023.8,0.0600,0.0706,0.0023
1025.3,0.0452,0.0516,0.0018
1026.9,0.0623,0.0667,0.0022
1028.5,0.0457,0.0467,0.0015
1030.0,0.0215,0.0219,0.0006
1031.5,0.0069,0.0067,0.0003
1033.1,0.0091,0.0085,0.0003
1034.7,0.0094,0.0084,0.0004
1036.2,0.0067,0.0052,0.0001
1037.8,0.0114,0.0099,0.0008
1039.3,0.0036,0.0030,0.0001
1040.8,0.0019,0.0007,0.0006
1042.4,0.0061,0.0018,0.0015
1044.0,0.0046,0.0013,0.0010
1045.5,0.0004,0.0004,0.0011
1047.0,0.0034,0.0020,0.0004
1048.6,0.0045,0.0021,0.0011
1050.2,0.0034,0.0014,0.0011
1051.7,0.0045,0.0021,0.0010
1053.2,0.0144,0.0071,0.0013
1054.8,0.0038,0.0014,0.0022
1056.3,0.0105,0.0066,0.0019
1057.9,0.0098,0.0066,0.0020
1059.5,0.0598,0.0433,0.0035
1061.0,0.0478,0.0355,0.0026
1062.5,0.0499,0.0347,0.0045
1064.1,0.0641,0.0442,0.0048
1065.7,0.0216,0.0122,0.0131
1067.2,0.0535,0.0377,0.0067
1068.8,0.0589,0.0435,0.0092
1070.3,0.0275,0.0202,0.0132
1071.8,0.1202,0.0846,0.0169
1073.4,0.0079,0.0081,0.0043
1075.0,0.0133,0.0130,0.0130
1076.5,0.3194,0.2081,0.0514
1078.0,0.2830,0.1770,0.0534
1079.6,0.2252,0.1344,0.0431
1081.2,0.0550,0.0359,0.0189
1082.7,0.0373,0.0322,0.0214
1084.2,0.0197,0.0187,0.0377
1085.8,0.0358,0.0251,0.0464
1087.3,0.0722,0.0448,0.0194
1088.9,0.0271,0.0352,0.0525
1090.5,0.0308,0.0275,0.0142
1092.0,0.1294,0.0705,0.0392
1093.5,0.0749,0.0387,0.0278
1095.1,0.1411,0.0682,0.0622
1096.7,0.1467,0.0623,0.0597
1098.2,0.1197,0.0591,0.0457
1099.8,0.0960,0.0375,0.0686
1101.3,0.1020,0.0361,0.0720
1102.8,0.1481,0.0660,0.0545
1104.4,0.1655,0.0473,0.1427
1106.0,0.2592,0.1003,0.1115
1107.5,0.2036,0.0855,0.0852
1109.0,0.2712,0.1176,0.1166
1110.6,0.0883,0.0213,0.0812
1112.2,0.1247,0.0337,0.0730
1113.7,0.0695,0.0089,0.0841
1115.2,0.1314,0.0214,0.1647
1116.8,0.2250,0.0552,0.1469
1118.3,0.0502,0.0188,0.1506
1119.9,0.0472,0.0103,0.1141
1121.5,0.1500,0.0138,0.2065
1123.0,0.0117,0.0463,0.2354
1124.5,0.0651,0.0119,0.1019
1126.1,0.0348,0.0321,0.1940
1127.7,0.0097,0.0559,0.2531
1129.2,0.0897,0.0231,0.2208
1130.8,0.0919,0.0174,0.1889
1132.3,0.1688,0.0157,0.2132
1133.8,0.1825,0.0194,0.2570
1135.4,0.2071,0.0242,0.2679
1137.0,0.3486,0.0460,0.3399
1138.5,0.1203,0.0479,0.3623
1140.0,0.2932,0.0586,0.2246
1141.6,0.4175,0.1209,0.1554
1143.2,0.2480,0.0491,0.1986
1144.7,0.3957,0.1069,0.1773
1146.2,0.2532,0.0495,0.2222
1147.8,0.3139,0.0809,0.1721
1149.3,0.1867,0.0402,0.3437
1150.9,0.0191,0.0372,0.1542
1152.5,0.0944,0.0207,0.1482
1154.0,0.0719,0.0153,0.1138
1155.5,0.0447,0.0457,0.1252
1157.1,0.0637,0.0419,0.0743
1158.7,0.1086,0.0472,0.0603
1160.2,0.1827,0.0885,0.0867
1161.8,0.0503,0.0190,0.1149
1163.3,0.1436,0.0753,0.0549
1164.8,0.2335,0.1557,0.0876
1166.4,0.2708,0.1799,0.0786
1168.0,0.1990,0.1351,0.0478
1169.5,0.3240,0.2236,0.0540
1171.0,0.3417,0.2213,0.0481
1172.6,0.4678,0.3249,0.0559
1174.2,0.5200,0.3677,0.0470
1175.7,0.4525,0.3164,0.0394
1177.2,0.4157,0.3021,0.0320
1178.8,0.4705,0.3488,0.0325
1180.3,0.3904,0.2871,0.0243
1181.9,0.3912,0.3026,0.0231
1183.5,0.2862,0.2192,0.0151
1185.0,0.1678,0.1228,0.0108
1186.5,0.1461,0.1135,0.0067
1188.1,0.1866,0.1476,0.0066
1189.7,0.1551,0.1229,0.0046
1191.2,0.0765,0.0626,0.0033
1192.8,0.0686,0.0545,0.0031
1194.3,0.0295,0.0224,0.0024
1195.8,0.0287,0.0232,0.0011
1197.4,0.0053,0.0042,0.0009
1199.0,0.0013,0.0010,0.0012
1200.5,0.0029,0.0023,0.0008
1202.0,0.0019,0.0012,0.0005
1203.6,0.0005,0.0005,0.0010
1205.2,0.0215,0.0087,0.0053
1206.7,0.0212,0.0071,0.0070
1208.2,0.0083,0.0024,0.0034
1209.8,0.0022,0.0008,0.0014
1211.3,0.0172,0.0090,0.0082
1212.9,0.0318,0.0174,0.0123
1214.5,0.0500,0.0324,0.0207
1216.0,0.0075,0.0063,0.0092
1217.5,0.0100,0.0134,0.0155
1219.1,0.0330,0.0193,0.0080
1220.7,0.0146,0.0090,0.0055
1222.2,0.0507,0.0355,0.0090
1223.8,0.0573,0.0512,0.0108
1225.3,0.1499,0.1145,0.0369
1226.8,0.0860,0.0882,0.0677
1228.4,0.1327,0.1265,0.0495
1230.0,0.1897,0.1680,0.0561
1231.5,0.1172,0.0957,0.0292
1233.0,0.0296,0.0401,0.0307
1234.6,0.0502,0.0565,0.0268
1236.2,0.0267,0.0308,0.0625
1237.7,0.0810,0.0434,0.0418
1239.2,0.1196,0.0841,0.0329
1240.8,0.1055,0.0742,0.0296
1242.3,0.1486,0.1103,0.0286
1243.9,0.1069,0.0750,0.0302
1245.5,0.1292,0.1057,0.0305
1247.0,0.1481,0.1316,0.0283
1248.5,0.1187,0.1065,0.0375
1250.1,0.0819,0.0747,0.0148
1251.7,0.0604,0.0531,0.0154
1253.2,0.0190,0.0155,0.0046
1254.8,0.0601,0.0639,0.0071
1256.3,0.1084,0.1246,0.0098
1257.8,0.1226,0.1462,0.0143
1259.4,0.1486,0.1735,0.0133
1261.0,0.1847,0.2264,0.0225
1262.5,0.1898,0.2386,0.0147
1264.0,0.0810,0.0992,0.0084
1265.6,0.1890,0.2451,0.0173
1267.2,0.2180,0.2838,0.0145
1268.7,0.0965,0.1236,0.0070
1270.2,0.1486,0.1931,0.0101
1271.8,0.1319,0.1719,0.0092
1273.3,0.1885,0.2464,0.0128
1274.9,0.1272,0.1682,0.0108
1276.5,0.1033,0.1348,0.0091
1278.0,0.1166,0.1475,0.0070
1279.5,0.1084,0.1341,0.0065
1281.1,0.0983,0.1186,0.0069
1282.7,0.0430,0.0492,0.0042
1284.2,0.0183,0.0213,0.0023
1285.8,0.0345,0.0377,0.0019
1287.3,0.0156,0.0157,0.0016
1288.8,0.0109,0.0144,0.0010
1290.4,0.0342,0.0426,0.0010
1292.0,0.0332,0.0420,0.0008
1293.5,0.0547,0.0648,0.0008
1295.0,0.0319,0.0371,0.0005
1296.6,0.0561,0.0636,0.0005
1298.2,0.0595,0.0660,0.0005
1299.7,0.0605,0.0661,0.0007
1301.2,0.0394,0.0431,0.0003
1302.8,0.0363,0.0387,0.0006
1304.3,0.0532,0.0525,0.0010
1305.9,0.0869,0.0799,0.0017
1307.5,0.0735,0.0636,0.0019
1309.0,0.1050,0.0898,0.0017
1310.5,0.1041,0.0875,0.0022
1312.1,0.1457,0.1129,0.0034
1313.7,0.1856,0.1451,0.0047
1315.2,0.2313,0.1763,0.0102
1316.8,0.2100,0.1561,0.0160
1318.3,0.2692,0.1965,0.0209
1319.8,0.3004,0.2244,0.0254
1321.4,0.2777,0.2111,0.0305
1323.0,0.3463,0.2562,0.0420
1324.5,0.4166,0.2951,0.0633
1326.0,0.3457,0.2500,0.0696
1327.6,0.4057,0.2694,0.0916
1329.2,0.3766,0.2543,0.1046
1330.7,0.3243,0.2183,0.1213
1332.2,0.2392,0.1711,0.1321
1333.8,0.0238,0.0486,0.1443
1335.3,0.1211,0.1221,0.2708
1336.9,0.0565,0.0715,0.2045
1338.5,0.0416,0.0361,0.0941
1340.0,0.1766,0.1036,0.1966
1341.5,0.2174,0.1206,0.2155
1343.1,0.0343,0.0110,0.0871
1344.7,0.0764,0.1022,0.3582
1346.2,0.0792,0.0826,0.2579
1347.8,0.0402,0.0844,0.3203
1349.3,0.1096,0.0394,0.3239
1350.8,0.0403,0.0823,0.4232
1352.4,0.0426,0.0657,0.3560
1354.0,0.3253,0.0311,0.4562
1355.5,0.0243,0.1546,0.6824
