substance,X,method,MedianAbsErr_uM,PooledRMSE_uM
THI,1,NNLS,5.35,12.70
THI,2,PLS-R,1.88,4.37
THI,3,MLP,1.27,2.83
TBZ,1,NNLS,4.74,7.96
TBZ,2,PLS-R,2.29,5.16
TBZ,3,MLP,1.61,3.38
DQ,1,NNLS,5.35,8.70
DQ,2,PLS-R,3.30,5.45
DQ,3,MLP,1.54,3.68
