THI_uM,DQ3_TBZ3_RMSE_uM,DQ3_TBZ6_RMSE_uM,DQ3_TBZ12_RMSE_uM,DQ3_TBZ24_RMSE_uM,DQ6_TBZ3_RMSE_uM,DQ6_TBZ6_RMSE_uM,DQ6_TBZ12_RMSE_uM,DQ6_TBZ24_RMSE_uM,DQ12_TBZ3_RMSE_uM,DQ12_TBZ6_RMSE_uM,DQ12_TBZ12_RMSE_uM,DQ12_TBZ24_RMSE_uM,DQ24_TBZ3_RMSE_uM,DQ24_TBZ6_RMSE_uM,DQ24_TBZ12_RMSE_uM,DQ24_TBZ24_RMSE_uM,DQ3_TBZ3_MAE_uM,DQ3_TBZ6_MAE_uM,DQ3_TBZ12_MAE_uM,DQ3_TBZ24_MAE_uM,DQ6_TBZ3_MAE_uM,DQ6_TBZ6_MAE_uM,DQ6_TBZ12_MAE_uM,DQ6_TBZ24_MAE_uM,DQ12_TBZ3_MAE_uM,DQ12_TBZ6_MAE_uM,DQ12_TBZ12_MAE_uM,DQ12_TBZ24_MAE_uM,DQ24_TBZ3_MAE_uM,DQ24_TBZ6_MAE_uM,DQ24_TBZ12_MAE_uM,DQ24_TBZ24_MAE_uM
3,0.377,0.737,5.57,8.781,0.968,0.815,3.318,8.108,4.692,4.03,2.848,4.718,5.705,2.656,5.404,5.318,0.336,0.672,5.121,7.96,0.908,0.76,3.084,7.318,4.411,3.799,2.684,4.179,4.734,2.499,5.093,4.83
6,1.621,3.138,6.153,8.843,0.271,0.819,3.086,10.29,4.666,3.969,5.576,6.329,13.853,13.41,12.896,11.528,1.34,2.781,5.746,8.298,0.249,0.744,2.841,9.651,4.179,3.681,5.036,5.842,11.591,12.003,12.147,10.439
12,2.675,4.445,7.29,7.03,2.622,4.799,9.842,7.586,7.122,4.456,8.101,10.2,19.765,11.691,20.37,26.359,2.5,3.914,6.208,6.627,2.389,4.518,8.73,6.799,5.819,4.126,7.637,9.242,16.828,10.652,18.844,24.743
24,3.767,3.879,9.51,16.891,3.26,7.555,12.061,10.916,5.925,8.623,13.529,13.865,17.285,18.256,20.57,23.678,3.552,3.408,8.221,13.796,3.043,7.119,11.134,9.084,5.423,7.821,12.755,12.56,14.283,15.978,19.181,22.322
