condition,True_THI_uM,True_TBZ_uM,True_DQ_uM,THI_NNLS_uM,THI_NNLS_kt_uM,TBZ_NNLS_uM,TBZ_NNLS_kt_uM,DQ_NNLS_uM,DQ_NNLS_kt_uM,THI_PLS_uM,THI_PLS_kt_uM,TBZ_PLS_uM,TBZ_PLS_kt_uM,DQ_PLS_uM,DQ_PLS_kt_uM,THI_MLP_uM,THI_MLP_kt_uM,TBZ_MLP_uM,TBZ_MLP_kt_uM,DQ_MLP_uM,DQ_MLP_kt_uM
DQ6-TB24-TH12,12.0,24.0,6.0,13.835,14.214,13.434,13.802,13.611,13.984,8.992,6.802,39.841,30.14,6.686,5.058,9.695,8.705,32.013,28.744,5.068,4.551
DQ6-TB24-TH24,24.0,24.0,6.0,4.424,23.473,2.055,10.902,3.699,19.626,6.85,13.039,12.27,23.354,9.25,17.607,9.123,24.687,7.728,20.912,3.105,8.401
DQ12-TB3-TH3,3.0,3.0,12.0,1.045,5.884,1.195,6.733,0.956,5.383,3.917,2.51,6.273,4.019,17.901,11.47,4.465,2.212,5.374,2.662,26.495,13.126
DQ12-TB3-TH6,6.0,3.0,12.0,1.045,7.348,1.127,7.92,0.815,5.732,4.993,4.196,4.967,4.174,15.029,12.63,5.1,3.683,5.182,3.743,18.793,13.574
DQ12-TB3-TH12,12.0,3.0,12.0,7.611,20.729,1.097,2.988,1.205,3.283,11.226,7.321,5.069,3.305,25.109,16.374,12.674,12.322,4.987,4.848,10.111,9.83
DQ12-TB3-TH24,24.0,3.0,12.0,5.546,29.811,0.99,5.323,0.719,3.866,19.951,13.841,7.049,4.89,29.216,20.269,15.455,22.056,4.361,6.223,7.513,10.721
DQ12-TB6-TH3,3.0,6.0,12.0,0.925,5.934,1.366,8.764,0.982,6.302,2.454,2.115,8.576,7.392,13.334,11.493,7.577,5.564,6.769,4.971,14.25,10.465
DQ12-TB6-TH6,6.0,6.0,12.0,1.54,9.63,1.262,7.892,1.036,6.478,6.357,8.753,4.206,5.791,6.868,9.456,6.393,5.914,6.472,5.987,13.081,12.1
DQ12-TB6-TH12,12.0,6.0,12.0,2.426,16.126,1.213,8.062,0.874,5.812,9.813,11.92,4.903,5.956,9.982,12.124,10.159,12.841,5.107,6.456,8.466,10.703
DQ12-TB6-TH24,24.0,6.0,12.0,11.731,35.732,0.99,3.016,1.068,3.252,15.502,13.36,5.04,4.344,28.193,24.297,24.317,17.427,10.548,7.559,23.739,17.013
