THI_uM,DQ3_TBZ3_RMSE_uM,DQ3_TBZ6_RMSE_uM,DQ3_TBZ12_RMSE_uM,DQ3_TBZ24_RMSE_uM,DQ6_TBZ3_RMSE_uM,DQ6_TBZ6_RMSE_uM,DQ6_TBZ12_RMSE_uM,DQ6_TBZ24_RMSE_uM,DQ12_TBZ3_RMSE_uM,DQ12_TBZ6_RMSE_uM,DQ12_TBZ12_RMSE_uM,DQ12_TBZ24_RMSE_uM,DQ24_TBZ3_RMSE_uM,DQ24_TBZ6_RMSE_uM,DQ24_TBZ12_RMSE_uM,DQ24_TBZ24_RMSE_uM,DQ3_TBZ3_MAE_uM,DQ3_TBZ6_MAE_uM,DQ3_TBZ12_MAE_uM,DQ3_TBZ24_MAE_uM,DQ6_TBZ3_MAE_uM,DQ6_TBZ6_MAE_uM,DQ6_TBZ12_MAE_uM,DQ6_TBZ24_MAE_uM,DQ12_TBZ3_MAE_uM,DQ12_TBZ6_MAE_uM,DQ12_TBZ12_MAE_uM,DQ12_TBZ24_MAE_uM,DQ24_TBZ3_MAE_uM,DQ24_TBZ6_MAE_uM,DQ24_TBZ12_MAE_uM,DQ24_TBZ24_MAE_uM
3,17.095,14.932,5.943,5.518,5.483,2.751,0.911,4.11,3.932,1.704,1.768,2.664,8.443,7.111,5.876,12.518,14.58,13.112,5.787,4.664,4.602,2.42,0.752,2.642,3.364,1.485,1.579,2.269,6.204,4.58,3.931,11.363
6,4.455,6.144,4.005,3.903,2.155,3.959,2.675,5.31,2.165,3.145,1.441,43.355,31.269,1.728,4.233,9.757,4.396,3.877,3.31,3.649,1.905,3.146,1.976,4.911,2.001,2.428,1.114,27.289,24.657,1.556,3.923,7.723
12,3.895,5.529,4.294,21.829,10.89,6.784,4.062,9.318,7.675,1.831,3.91,24.857,17.292,7.449,4.522,11.003,3.813,4.337,3.217,15.942,7.163,6.021,3.973,6.512,5.317,1.767,3.184,19.271,16.929,5.968,3.985,9.108
24,27.877,12.133,7.209,7.911,2.642,8.216,7.451,12.142,10.475,10.573,3.79,60.702,4.62,3.609,4.565,12.778,21.355,8.307,5.972,7.481,2.086,7.956,6.135,10.71,8.438,8.55,2.862,36.383,4.515,3.103,3.775,12.682
