DQ,TBZ,THI,subset,imbalance_100x,Ratio_DQ_True,Ratio_TBZ_True,Ratio_THI_True,Ratio_DQ_NNLS_Pred,Ratio_TBZ_NNLS_Pred,Ratio_THI_NNLS_Pred,Ratio_DQ_MLP_heldout,Ratio_TBZ_MLP_heldout,Ratio_THI_MLP_heldout,Ratio_DQ_PLS_heldout,Ratio_TBZ_PLS_heldout,Ratio_THI_PLS_heldout
12,6,3,ternary,0,57.14,28.57,14.29,13.0,69.0,18.0,39.02,50.78,10.21,44.13,44.17,11.7
12,6,6,ternary,0,50.0,25.0,25.0,13.0,37.0,50.0,43.41,28.61,27.98,43.46,31.35,25.19
12,6,12,ternary,0,40.0,20.0,40.0,10.0,29.0,62.0,34.9,34.09,31.01,38.93,31.41,29.65
12,6,24,ternary,0,28.57,14.29,57.14,18.0,6.0,76.0,45.05,19.16,35.79,38.61,18.33,43.06
12,12,3,ternary,0,44.44,44.44,11.11,15.0,69.0,16.0,59.44,33.1,7.46,53.96,34.5,11.54
12,12,6,ternary,0,40.0,40.0,20.0,23.0,44.0,33.0,48.17,36.17,15.65,39.31,39.48,21.21
12,12,12,ternary,0,33.33,33.33,33.33,3.0,45.0,53.0,26.17,35.45,38.38,27.52,39.74,32.74
12,12,24,ternary,0,25.0,25.0,50.0,8.0,22.0,69.0,10.62,46.32,43.06,26.93,34.61,38.46
12,24,3,ternary,0,30.77,61.54,7.69,2.0,85.0,13.0,25.07,61.74,13.19,41.85,50.5,7.65
12,24,6,ternary,0,28.57,57.14,14.29,3.0,86.0,11.0,24.46,72.24,3.3,26.0,67.89,6.11
12,24,12,ternary,0,25.0,50.0,25.0,0.0,63.0,37.0,4.46,71.51,24.03,15.68,70.85,13.47
12,24,24,ternary,0,20.0,40.0,40.0,2.0,56.0,42.0,4.97,70.14,24.89,20.85,57.15,22.0
24,3,3,ternary,0,80.0,10.0,10.0,61.0,11.0,28.0,75.91,16.16,7.92,60.7,24.09,15.21
24,3,6,ternary,0,72.73,9.09,18.18,43.0,7.0,50.0,70.26,13.75,15.99,53.47,18.68,27.85
24,3,12,ternary,0,61.54,7.69,30.77,15.0,2.0,82.0,36.27,17.31,46.42,35.51,10.74,53.75
24,3,24,ternary,0,47.06,5.88,47.06,17.0,4.0,79.0,19.21,20.82,59.97,15.65,24.88,59.47
24,6,3,ternary,0,72.73,18.18,9.09,58.0,26.0,16.0,52.04,35.2,12.76,54.73,28.88,16.39
24,6,6,ternary,0,66.67,16.67,16.67,35.0,22.0,43.0,62.75,20.41,16.84,50.59,23.43,25.98
24,6,12,ternary,0,57.14,14.29,28.57,48.0,6.0,45.0,67.46,10.71,21.83,58.03,12.37,29.6
24,6,24,ternary,0,44.44,11.11,44.44,22.0,4.0,73.0,21.07,26.25,52.68,42.44,12.29,45.27
24,12,3,ternary,0,61.54,30.77,7.69,45.0,40.0,14.0,61.3,31.62,7.08,53.32,38.28,8.4
24,12,6,ternary,0,57.14,28.57,14.29,48.0,24.0,28.0,41.09,44.43,14.48,58.5,26.86,14.64
24,12,12,ternary,0,50.0,25.0,25.0,25.0,11.0,64.0,50.87,18.61,30.52,39.33,20.95,39.72
24,12,24,ternary,0,40.0,20.0,40.0,29.0,11.0,60.0,50.7,16.82,32.48,46.42,14.25,39.33
24,24,3,ternary,0,47.06,47.06,5.88,10.0,77.0,13.0,32.33,62.11,5.56,33.52,57.25,9.23
24,24,6,ternary,0,44.44,44.44,11.11,11.0,58.0,30.0,18.82,66.61,14.57,31.84,48.55,19.61
24,24,12,ternary,0,40.0,40.0,20.0,24.0,25.0,51.0,58.45,16.8,24.75,38.26,29.75,32.0
24,24,24,ternary,0,33.33,33.33,33.33,4.0,45.0,51.0,18.16,44.41,37.43,24.25,43.3,32.45
33,33,33,ternary,0,33.33,33.33,33.33,7.0,53.0,40.0,21.2,53.9,24.89,27.4,43.5,29.11
33,333,333,ternary,0,4.72,47.64,47.64,0.0,0.0,100.0,15.76,6.48,77.76,25.91,7.18,66.91
50,0,150,binary,0,25.0,0.0,75.0,0.0,0.0,100.0,1.0,0.26,98.74,18.83,6.13,75.04
50,0,250,binary,0,16.67,0.0,83.33,0.0,0.0,100.0,19.75,9.98,70.27,22.25,10.62,67.13
50,0,500,binary,0,9.09,0.0,90.91,0.0,0.0,100.0,12.54,0.53,86.93,23.95,5.3,70.75
50,150,0,binary,0,25.0,75.0,0.0,24.0,76.0,0.0,27.89,71.72,0.39,44.92,46.12,8.97
50,250,0,binary,0,16.67,83.33,0.0,6.0,94.0,0.0,0.43,98.66,0.9,13.81,73.17,13.02
50,500,0,binary,0,9.09,90.91,0.0,4.0,96.0,0.0,0.02,99.98,0.0,18.48,76.77,4.75
100,100,100,ternary,0,33.33,33.33,33.33,0.0,0.0,100.0,1.18,0.22,98.59,21.66,13.35,64.99
150,0,50,binary,0,75.0,0.0,25.0,32.0,0.0,68.0,77.94,5.35,16.72,50.75,3.62,45.63
150,50,0,binary,0,75.0,25.0,0.0,71.0,29.0,0.0,64.0,35.38,0.62,72.53,26.99,0.48
250,0,50,binary,0,83.33,0.0,16.67,6.0,0.0,94.0,56.45,3.51,40.04,37.08,13.43,49.49
250,50,0,binary,0,83.33,16.67,0.0,12.0,88.0,0.0,9.1,90.6,0.31,28.66,69.37,1.97
333,3,333,ternary,1,49.78,0.45,49.78,0.0,0.0,100.0,2.92,0.66,96.41,17.12,9.34,73.54
333,33,333,ternary,0,47.64,4.72,47.64,0.0,0.0,100.0,9.17,1.2,89.63,22.35,9.35,68.29
333,333,3,ternary,1,49.78,49.78,0.45,59.0,36.0,5.0,67.55,30.67,1.77,57.3,29.03,13.67
333,333,33,ternary,0,47.64,47.64,4.72,40.0,26.0,34.0,49.84,31.31,18.85,49.21,27.28,23.51
333,333,333,ternary,0,33.33,33.33,33.33,2.0,2.0,96.0,19.42,5.47,75.1,25.69,17.84,56.48
500,0,5,binary,1,99.01,0.0,0.99,90.0,0.0,10.0,99.17,0.39,0.44,93.79,4.98,1.22
500,0,50,binary,0,90.91,0.0,9.09,56.0,0.0,44.0,98.22,0.44,1.34,72.45,5.66,21.88
500,0,500,binary,0,50.0,0.0,50.0,2.0,0.0,98.0,24.72,12.18,63.1,32.97,12.21,54.82
500,5,0,binary,1,99.01,0.99,0.0,95.0,5.0,0.0,99.4,0.43,0.17,87.13,12.5,0.36
500,50,0,binary,0,90.91,9.09,0.0,14.0,86.0,0.0,29.37,68.37,2.26,50.72,46.98,2.3
500,500,0,binary,0,50.0,50.0,0.0,62.0,38.0,0.0,65.26,33.73,1.01,58.8,32.98,8.23
