DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_nnls_Z2
48,50,2,0.6281
48,52,0,0.6996
50,0,50,0.0357
50,2,48,0.02
50,4,46,0.008
50,6,44,0.0008
50,8,42,0.0
50,10,40,0.0
50,12,38,0.0042
50,14,36,0.0132
50,16,34,0.0262
50,18,32,0.0432
50,20,30,0.064
50,22,28,0.0886
50,24,26,0.1166
50,26,24,0.1479
50,28,22,0.1819
50,30,20,0.2181
50,32,18,0.256
50,34,16,0.2952
50,36,14,0.3353
50,38,12,0.3763
50,40,10,0.4183
50,42,8,0.4622
50,44,6,0.5096
50,46,4,0.5637
50,48,2,0.6279
50,50,0,0.6975
52,0,48,0.019
52,2,46,0.007
52,4,44,0.0
52,6,42,0.0
52,8,40,0.0
52,10,38,0.0015
52,12,36,0.0108
52,14,34,0.0241
52,16,32,0.0417
52,18,30,0.0634
52,20,28,0.089
52,22,26,0.1184
52,24,24,0.1513
52,26,22,0.1871
52,28,20,0.2254
52,30,18,0.2655
52,32,16,0.3068
52,34,14,0.349
52,36,12,0.3916
52,38,10,0.4348
52,40,8,0.4791
52,42,6,0.5259
52,44,4,0.5769
52,46,2,0.6345
52,48,0,0.6976
54,0,46,0.0062
54,2,44,0.0
54,4,42,0.0
54,6,40,0.0
54,8,38,0.0
54,10,36,0.0075
54,12,34,0.0209
54,14,32,0.0386
54,16,30,0.0608
54,18,28,0.0872
54,20,26,0.1178
54,22,24,0.1521
54,24,22,0.1898
54,26,20,0.2302
54,28,18,0.2728
54,30,16,0.3168
54,32,14,0.3616
54,34,12,0.4066
54,36,10,0.4518
54,38,8,0.4972
54,40,6,0.5438
54,42,4,0.5929
54,44,2,0.6457
54,46,0,0.7026
56,0,44,0.0
56,2,42,0.0
56,4,40,0.0
56,6,38,0.0
56,8,36,0.0037
56,10,34,0.0166
56,12,32,0.0341
56,14,30,0.0562
56,16,28,0.083
56,18,26,0.1143
56,20,24,0.1497
56,22,22,0.189
56,24,20,0.2316
56,26,18,0.2768
56,28,16,0.3238
56,30,14,0.3716
56,32,12,0.4197
56,34,10,0.4674
56,36,8,0.5147
56,38,6,0.5619
56,40,4,0.6099
56,42,2,0.6596
56,44,0,0.7116
58,0,42,0.0
58,2,40,0.0
58,4,38,0.0
58,6,36,0.0
58,8,34,0.0114
58,10,32,0.0282
58,12,30,0.0498
58,14,28,0.0764
58,16,26,0.1078
58,18,24,0.1439
58,20,22,0.1844
58,22,20,0.2288
58,24,18,0.2764
58,26,16,0.3263
58,28,14,0.3776
58,30,12,0.4292
58,32,10,0.4802
58,34,8,0.5301
58,36,6,0.5787
58,38,4,0.6266
58,40,2,0.6744
58,42,0,0.7229
60,0,40,0.0
60,2,38,0.0
60,4,36,0.0
60,6,34,0.0057
60,8,32,0.0213
60,10,30,0.0419
60,12,28,0.0676
60,14,26,0.0986
60,16,24,0.1347
60,18,22,0.1756
60,20,20,0.2212
60,22,18,0.2707
60,24,16,0.3234
60,26,14,0.3781
60,28,12,0.4336
60,30,10,0.4885
60,32,8,0.5418
60,34,6,0.5928
60,36,4,0.6416
60,38,2,0.6886
60,40,0,0.7347
62,0,38,0.0
62,2,36,0.0
62,4,34,0.0
62,6,32,0.0137
62,8,30,0.0328
62,10,28,0.0571
62,12,26,0.0869
62,14,24,0.1221
62,16,22,0.1628
62,18,20,0.2086
62,20,18,0.2592
62,22,16,0.314
62,24,14,0.3717
62,26,12,0.4312
62,28,10,0.4906
62,30,8,0.5482
62,32,6,0.6027
62,34,4,0.6535
62,36,2,0.7009
62,38,0,0.7457
64,0,36,0.0
64,2,34,0.0
64,4,32,0.006
64,6,30,0.023
64,8,28,0.0454
64,10,26,0.0733
64,12,24,0.1069
64,14,22,0.1463
64,16,20,0.1914
64,18,18,0.242
64,20,16,0.2976
64,22,14,0.3576
64,24,12,0.4205
64,26,10,0.4845
64,28,8,0.5472
64,30,6,0.6065
64,32,4,0.6608
64,34,2,0.7097
64,36,0,0.7543
66,0,34,0.0
66,2,32,0.0
66,4,30,0.0132
66,6,28,0.0331
66,8,26,0.0586
66,10,24,0.0899
66,12,22,0.127
66,14,20,0.1702
66,16,18,0.2194
66,18,16,0.2745
66,20,14,0.3352
66,22,12,0.4004
66,24,10,0.4684
66,26,8,0.5366
66,28,6,0.6019
66,30,4,0.6612
66,32,2,0.7133
66,34,0,0.7588
68,0,32,0.0
68,2,30,0.0041
68,4,28,0.0212
68,6,26,0.0437
68,8,24,0.0719
68,10,22,0.1061
68,12,20,0.1462
68,14,18,0.1927
68,16,16,0.2455
68,18,14,0.3049
68,20,12,0.3703
68,22,10,0.4408
68,24,8,0.5139
68,26,6,0.5859
68,28,4,0.6523
68,30,2,0.7096
68,32,0,0.7573
70,0,30,0.0
70,2,28,0.0104
70,4,26,0.0296
70,6,24,0.0543
70,8,22,0.0848
70,10,20,0.1211
70,12,18,0.1636
70,14,16,0.2124
70,16,14,0.2682
70,18,12,0.3312
70,20,10,0.4012
70,22,8,0.4769
70,24,6,0.5551
70,26,4,0.6302
70,28,2,0.6954
70,30,0,0.7475
72,0,28,0.0016
72,2,26,0.0172
72,4,24,0.0383
72,6,22,0.0647
72,8,20,0.0966
72,10,18,0.1342
72,12,16,0.1778
72,14,14,0.2279
72,16,12,0.2856
72,18,10,0.3513
72,20,8,0.4254
72,22,6,0.5062
72,24,4,0.5895
72,26,2,0.6661
72,28,0,0.7259
74,0,26,0.0078
74,2,24,0.0249
74,4,22,0.0472
74,6,20,0.0745
74,8,18,0.1068
74,10,16,0.1443
74,12,14,0.1875
74,14,12,0.2373
74,16,10,0.2952
74,18,8,0.3625
74,20,6,0.4397
74,22,4,0.5251
74,24,2,0.6126
74,26,0,0.6867
76,0,24,0.0155
76,2,22,0.0336
76,4,20,0.0562
76,6,18,0.0834
76,8,16,0.1148
76,10,14,0.1504
76,12,12,0.1912
76,14,10,0.2386
76,16,8,0.2947
76,18,6,0.3616
76,20,4,0.4402
76,22,2,0.5275
76,24,0,0.6135
78,0,22,0.025
78,2,20,0.0431
78,4,18,0.0654
78,6,16,0.0913
78,8,14,0.12
78,10,12,0.1516
78,12,10,0.1876
78,14,8,0.2302
78,16,6,0.2822
78,18,4,0.3466
78,20,2,0.4242
78,22,0,0.509
80,0,20,0.0359
80,2,18,0.0536
80,4,16,0.0751
80,6,14,0.0983
80,8,12,0.1221
80,10,10,0.1473
80,12,8,0.1762
80,14,6,0.2118
80,16,4,0.2578
80,18,2,0.3186
80,20,0,0.3955
82,0,18,0.0488
82,2,16,0.0666
82,4,14,0.0863
82,6,12,0.1043
82,8,10,0.1206
82,10,8,0.1374
82,12,6,0.158
82,14,4,0.186
82,16,2,0.2259
82,18,0,0.2864
84,0,16,0.0667
84,2,14,0.0842
84,4,12,0.0986
84,6,10,0.1083
84,8,8,0.1152
84,10,6,0.1232
84,12,4,0.1368
84,14,2,0.1604
84,16,0,0.2
86,0,14,0.0906
86,2,12,0.1037
