condition,DQ,TBZ,THI,uM_DQ_NNLS_Pred,uM_TBZ_NNLS_Pred,uM_THI_NNLS_Pred,uM_DQ_MLP_Pred,uM_TBZ_MLP_Pred,uM_THI_MLP_Pred,uM_DQ_PLS_Pred,uM_TBZ_PLS_Pred,uM_THI_PLS_Pred
DQ24-TB3-TH6,24.0,3.0,6.0,2.86,1.68,9.73,18.44,6.25,5.75,71.89,28.28,6.8
DQ24-TB3-TH12,24.0,3.0,12.0,1.6,1.26,60.65,11.81,8.89,9.64,36.57,20.01,33.21
DQ24-TB3-TH24,24.0,3.0,24.0,1.38,1.11,20.24,14.04,3.8,17.93,18.76,8.17,27.13
DQ24-TB6-TH3,24.0,6.0,3.0,8.33,1.46,2.52,49.63,6.77,4.8,11.73,6.59,3.88
DQ24-TB6-TH6,24.0,6.0,6.0,6.53,1.43,15.95,19.55,10.03,8.32,26.53,6.71,7.43
DQ24-TB6-TH12,24.0,6.0,12.0,7.51,1.03,17.05,29.19,6.41,14.39,11.89,4.32,7.89
DQ24-TB6-TH24,24.0,6.0,24.0,1.56,0.98,20.14,28.26,3.89,21.44,18.49,4.96,21.25
DQ24-TB12-TH3,24.0,12.0,3.0,13.58,2.12,3.22,40.02,13.85,3.33,13.89,12.8,3.88
DQ24-TB12-TH6,24.0,12.0,6.0,10.72,1.51,16.67,35.18,9.65,5.63,28.61,6.57,4.28
DQ24-TB12-TH12,24.0,12.0,12.0,3.12,1.66,24.86,9.86,7.95,13.54,18.15,6.89,11.01
DQ24-TB12-TH24,24.0,12.0,24.0,5.69,1.28,50.94,9.98,7.47,10.68,24.61,5.11,20.18
DQ24-TB24-TH3,24.0,24.0,3.0,10.77,6.97,3.48,24.52,20.36,4.17,7.67,37.66,7.1
DQ24-TB24-TH6,24.0,24.0,6.0,9.66,5.88,10.41,15.73,15.21,6.44,8.04,18.84,8.05
DQ24-TB24-TH12,24.0,24.0,12.0,5.32,1.53,30.9,17.35,12.21,7.71,13.15,8.35,12.83
DQ24-TB24-TH24,24.0,24.0,24.0,2.76,3.08,23.1,11.02,14.02,17.0,9.54,13.35,11.06
