THI_uM,DQ3_TBZ3_RMSE_uM,DQ3_TBZ6_RMSE_uM,DQ3_TBZ12_RMSE_uM,DQ3_TBZ24_RMSE_uM,DQ6_TBZ3_RMSE_uM,DQ6_TBZ6_RMSE_uM,DQ6_TBZ12_RMSE_uM,DQ6_TBZ24_RMSE_uM,DQ12_TBZ3_RMSE_uM,DQ12_TBZ6_RMSE_uM,DQ12_TBZ12_RMSE_uM,DQ12_TBZ24_RMSE_uM,DQ24_TBZ3_RMSE_uM,DQ24_TBZ6_RMSE_uM,DQ24_TBZ12_RMSE_uM,DQ24_TBZ24_RMSE_uM,DQ3_TBZ3_MAE_uM,DQ3_TBZ6_MAE_uM,DQ3_TBZ12_MAE_uM,DQ3_TBZ24_MAE_uM,DQ6_TBZ3_MAE_uM,DQ6_TBZ6_MAE_uM,DQ6_TBZ12_MAE_uM,DQ6_TBZ24_MAE_uM,DQ12_TBZ3_MAE_uM,DQ12_TBZ6_MAE_uM,DQ12_TBZ12_MAE_uM,DQ12_TBZ24_MAE_uM,DQ24_TBZ3_MAE_uM,DQ24_TBZ6_MAE_uM,DQ24_TBZ12_MAE_uM,DQ24_TBZ24_MAE_uM
3,12.56,17.467,4.831,2.638,2.914,4.056,5.088,2.187,8.522,2.978,1.193,1.486,2.958,14.839,9.315,2.229,10.907,14.312,4.278,1.967,2.36,3.376,4.399,1.78,6.111,2.532,0.976,1.369,2.622,9.4,6.067,1.776
6,8.298,1.827,6.127,5.226,1.068,1.071,3.311,40.363,4.152,0.718,2.237,14.011,3.721,3.716,6.601,6.975,8.169,1.548,5.583,4.749,0.939,1.041,2.349,27.555,3.292,0.648,1.713,9.89,3.02,3.601,4.635,5.836
12,3.105,7.403,5.45,14.717,1.742,8.893,3.574,4.844,1.63,2.358,1.396,24.683,7.935,3.306,8.542,8.197,2.323,6.358,4.113,10.074,1.562,7.002,3.05,3.75,1.517,2.089,1.354,16.212,6.814,2.664,6.58,7.575
24,18.249,3.066,2.122,10.618,6.916,1.759,8.012,12.838,5.628,7.27,6.122,2.367,6.753,3.114,11.467,10.282,14.014,2.475,1.768,10.373,5.164,1.606,6.285,11.348,4.798,5.534,6.07,2.323,5.614,2.974,10.622,9.988
