DQ,TBZ,THI,subset,imbalance_100x,Ratio_DQ_True,Ratio_TBZ_True,Ratio_THI_True,Ratio_DQ_NNLS,Recovery_DQ_NNLS_pct,Ratio_TBZ_NNLS,Recovery_TBZ_NNLS_pct,Ratio_THI_NNLS,Recovery_THI_NNLS_pct,Ratio_DQ_RF,Recovery_DQ_RF_pct,Ratio_TBZ_RF,Recovery_TBZ_RF_pct,Ratio_THI_RF,Recovery_THI_RF_pct,Ratio_DQ_PLS,Recovery_DQ_PLS_pct,Ratio_TBZ_PLS,Recovery_TBZ_PLS_pct,Ratio_THI_PLS,Recovery_THI_PLS_pct,Ratio_DQ_MLP,Recovery_DQ_MLP_pct,Ratio_TBZ_MLP,Recovery_TBZ_MLP_pct,Ratio_THI_MLP,Recovery_THI_MLP_pct
50,150,0,binary,0,25.0,75.0,0.0,22.95,91.8,74.44,99.3,2.61,,35.51,142.0,55.25,73.7,9.24,,33.51,134.0,58.69,78.3,7.8,,50.42,201.7,48.24,64.3,1.34,
50,250,0,binary,0,16.67,83.33,0.0,10.52,63.1,85.69,102.8,3.78,,37.56,225.4,56.17,67.4,6.27,,16.15,96.9,71.22,85.5,12.63,,4.34,26.0,89.89,107.9,5.77,
50,500,0,binary,0,9.09,90.91,0.0,4.88,53.7,95.11,104.6,0.01,,20.0,220.0,77.8,85.6,2.2,,28.66,315.3,70.95,78.0,0.39,,3.34,36.7,96.53,106.2,0.13,
100,100,100,ternary,0,33.33,33.33,33.33,1.2,3.6,0.13,0.4,98.67,296.0,17.19,51.6,10.03,30.1,72.78,218.3,18.95,56.9,17.65,53.0,63.4,190.2,10.9,32.7,5.48,16.4,83.62,250.9
150,0,50,binary,0,75.0,0.0,25.0,35.45,47.3,1.61,,62.94,251.8,52.69,70.3,12.03,,35.28,141.1,54.62,72.8,3.23,,42.15,168.6,60.03,80.0,2.23,,37.74,151.0
150,50,0,binary,0,75.0,25.0,0.0,67.38,89.8,29.53,118.1,3.09,,49.17,65.6,46.29,185.2,4.54,,58.1,77.5,39.71,158.8,2.19,,64.08,85.4,34.91,139.6,1.01,
250,0,50,binary,0,83.33,0.0,16.67,14.75,17.7,1.92,,83.33,500.0,39.17,47.0,14.16,,46.67,280.0,36.18,43.4,12.87,,50.95,305.7,57.21,68.7,3.36,,39.43,236.6
250,50,0,binary,0,83.33,16.67,0.0,12.81,15.4,87.09,522.5,0.1,,24.96,30.0,67.24,403.4,7.8,,31.99,38.4,67.56,405.4,0.46,,38.37,46.0,59.71,358.3,1.92,
333,3,333,ternary,1,49.78,0.45,49.78,0.78,1.6,0.05,11.2,99.17,199.2,18.48,37.1,12.84,2863.3,68.68,138.0,20.98,42.1,8.64,1926.7,70.38,141.4,3.62,7.3,0.86,191.8,95.52,191.9
333,33,333,ternary,0,47.64,4.72,47.64,0.84,1.8,0.16,3.4,99.0,207.8,18.26,38.3,15.46,327.5,66.28,139.1,24.67,51.8,10.85,229.8,64.48,135.3,12.39,26.0,4.06,86.0,83.55,175.4
333,333,3,ternary,1,49.78,49.78,0.45,54.31,109.1,35.81,71.9,9.88,2203.2,51.88,104.2,42.2,84.8,5.92,1320.2,53.76,108.0,34.38,69.1,11.86,2644.8,82.37,165.5,15.95,32.0,1.68,374.6
333,333,33,ternary,0,47.64,47.64,4.72,35.74,75.0,26.55,55.7,37.71,798.8,44.9,94.2,31.54,66.2,23.55,498.8,53.31,111.9,25.36,53.2,21.33,451.8,42.53,89.3,33.01,69.3,24.46,518.1
333,333,333,ternary,0,33.33,33.33,33.33,5.12,15.4,5.37,16.1,89.5,268.5,25.83,77.5,17.09,51.3,57.08,171.2,21.65,65.0,21.45,64.4,56.9,170.7,30.14,90.4,12.39,37.2,57.46,172.4
500,0,5,binary,1,99.01,0.0,0.99,87.87,88.7,0.39,,11.74,1185.7,92.43,93.4,2.65,,4.92,496.9,94.45,95.4,4.99,,0.55,55.5,96.72,97.7,1.24,,2.05,207.1
500,0,50,binary,0,90.91,0.0,9.09,52.29,57.5,0.21,,47.49,522.4,81.77,89.9,6.05,,12.19,134.1,77.7,85.5,4.26,,18.04,198.4,98.17,108.0,0.17,,1.66,18.3
500,0,500,binary,0,50.0,0.0,50.0,11.49,23.0,2.91,,85.6,171.2,35.29,70.6,15.9,,48.81,97.6,27.95,55.9,18.43,,53.62,107.2,48.6,97.2,10.15,,41.26,82.5
500,5,0,binary,1,99.01,0.99,0.0,91.29,92.2,8.07,815.1,0.64,,88.68,89.6,6.4,646.4,4.92,,82.9,83.7,16.33,1649.3,0.77,,96.44,97.4,3.03,306.0,0.52,
500,50,0,binary,0,90.91,9.09,0.0,15.66,17.2,83.36,917.0,0.98,,28.72,31.6,61.63,677.9,9.64,,40.2,44.2,57.24,629.6,2.56,,45.86,50.4,50.19,552.1,3.96,
500,500,0,binary,0,50.0,50.0,0.0,57.02,114.0,38.68,77.4,4.3,,53.26,106.5,41.93,83.9,4.81,,57.52,115.0,37.57,75.1,4.91,,69.03,138.1,28.61,57.2,2.36,
