DQ_pct_X,TBZ_pct_Y,THI_pct_Z,Z2,density
0,0,100,0.3403,0.0127
0,1,99,0.3419,0.0146
0,2,98,0.3433,0.0167
0,3,97,0.3445,0.0190
0,4,96,0.3454,0.0216
0,5,95,0.3461,0.0244
0,6,94,0.3465,0.0276
0,7,93,0.3467,0.0309
0,8,92,0.3466,0.0346
0,9,91,0.3464,0.0386
0,10,90,0.3459,0.0429
0,11,89,0.3451,0.0474
0,12,88,0.3441,0.0523
0,13,87,0.3429,0.0574
0,14,86,0.3415,0.0629
0,15,85,0.3399,0.0686
0,16,84,0.3380,0.0746
0,17,83,0.3360,0.0808
0,18,82,0.3338,0.0873
0,19,81,0.3314,0.0940
0,20,80,0.3289,0.1009
0,21,79,0.3262,0.1080
0,22,78,0.3234,0.1152
0,23,77,0.3205,0.1226
0,24,76,0.3175,0.1301
0,25,75,0.3144,0.1377
0,26,74,0.3113,0.1453
0,27,73,0.3081,0.1530
0,28,72,0.3049,0.1607
0,29,71,0.3017,0.1684
0,30,70,0.2986,0.1761
0,31,69,0.2955,0.1837
0,32,68,0.2924,0.1913
0,33,67,0.2894,0.1987
0,34,66,0.2865,0.2061
0,35,65,0.2837,0.2133
0,36,64,0.2810,0.2203
0,37,63,0.2784,0.2272
0,38,62,0.2759,0.2339
0,39,61,0.2734,0.2403
0,40,60,0.2711,0.2465
0,41,59,0.2688,0.2525
0,42,58,0.2667,0.2582
0,43,57,0.2645,0.2636
0,44,56,0.2624,0.2687
0,45,55,0.2604,0.2734
0,46,54,0.2583,0.2778
0,47,53,0.2562,0.2817
0,48,52,0.2541,0.2853
0,49,51,0.2519,0.2884
0,50,50,0.2496,0.2911
0,51,49,0.2472,0.2934
0,52,48,0.2447,0.2951
0,53,47,0.2421,0.2964
0,54,46,0.2393,0.2971
0,55,45,0.2364,0.2973
0,56,44,0.2333,0.2970
0,57,43,0.2300,0.2961
0,58,42,0.2265,0.2947
0,59,41,0.2229,0.2927
0,60,40,0.2191,0.2901
0,61,39,0.2152,0.2871
0,62,38,0.2111,0.2834
0,63,37,0.2068,0.2793
0,64,36,0.2025,0.2746
0,65,35,0.1979,0.2694
0,66,34,0.1933,0.2638
0,67,33,0.1886,0.2577
0,68,32,0.1838,0.2511
0,69,31,0.1790,0.2442
0,70,30,0.1741,0.2369
0,71,29,0.1692,0.2292
0,72,28,0.1643,0.2212
0,73,27,0.1594,0.2130
0,74,26,0.1545,0.2045
0,75,25,0.1496,0.1959
0,76,24,0.1448,0.1871
0,77,23,0.1401,0.1782
0,78,22,0.1354,0.1692
0,79,21,0.1308,0.1603
0,80,20,0.1264,0.1513
0,81,19,0.1220,0.1424
0,82,18,0.1177,0.1337
0,83,17,0.1135,0.1250
0,84,16,0.1094,0.1166
0,85,15,0.1055,0.1084
0,86,14,0.1016,0.1004
0,87,13,0.0979,0.0927
0,88,12,0.0943,0.0853
0,89,11,0.0908,0.0782
0,90,10,0.0874,0.0714
0,91,9,0.0842,0.0650
0,92,8,0.0810,0.0590
0,93,7,0.0780,0.0533
0,94,6,0.0751,0.0480
0,95,5,0.0723,0.0430
0,96,4,0.0696,0.0384
0,97,3,0.0670,0.0342
0,98,2,0.0645,0.0303
0,99,1,0.0621,0.0268
0,100,0,0.0597,0.0235
1,0,99,0.3368,0.0148
1,1,98,0.3384,0.0170
1,2,97,0.3398,0.0194
1,3,96,0.3410,0.0221
1,4,95,0.3420,0.0250
1,5,94,0.3427,0.0282
1,6,93,0.3432,0.0318
1,7,92,0.3435,0.0356
1,8,91,0.3435,0.0397
1,9,90,0.3433,0.0442
