DQ_uM,THI3_TBZ3_RMSE_uM,THI3_TBZ6_RMSE_uM,THI3_TBZ12_RMSE_uM,THI3_TBZ24_RMSE_uM,THI6_TBZ3_RMSE_uM,THI6_TBZ6_RMSE_uM,THI6_TBZ12_RMSE_uM,THI6_TBZ24_RMSE_uM,THI12_TBZ3_RMSE_uM,THI12_TBZ6_RMSE_uM,THI12_TBZ12_RMSE_uM,THI12_TBZ24_RMSE_uM,THI24_TBZ3_RMSE_uM,THI24_TBZ6_RMSE_uM,THI24_TBZ12_RMSE_uM,THI24_TBZ24_RMSE_uM
3,1.343,1.271,3.025,0.272,1.252,0.521,4.736,5.028,0.341,4.505,4.934,5.413,1.223,1.037,1.212,8.592
6,0.552,0.771,0.488,1.015,1.011,1.087,3.07,3.038,1.641,1.606,3.598,3.438,1.218,1.766,7.015,2.293
12,0.817,1.825,0.815,0.496,1.673,0.077,1.215,6.746,1.656,0.931,0.381,7.641,2.295,4.857,2.18,1.18
24,2.9,2.106,2.442,2.003,3.181,3.897,3.891,2.359,7.046,0.466,7.205,3.391,2.841,3.164,2.852,4.18
