condition,substance,E_pixel,thi_share_pct,total_uM
DQ0-TB50-TH150,TBZ,0.1798,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2151,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3587,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4781,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5515,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3177,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2793,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3841,75.0,200.0
DQ0-TB50-TH150,TBZ,0.459,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7467,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6097,75.0,200.0
DQ0-TB50-TH150,TBZ,1.4535,75.0,200.0
DQ0-TB50-TH150,TBZ,1.1474,75.0,200.0
DQ0-TB50-TH150,TBZ,1.4624,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0115,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7772,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6314,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4023,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4744,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7339,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3901,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7834,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0893,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9647,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7349,75.0,200.0
DQ0-TB50-TH150,TBZ,1.2631,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6183,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7512,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3516,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6411,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3492,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6649,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3214,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3269,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4863,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1524,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0895,75.0,200.0
DQ0-TB50-TH150,TBZ,0.056,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1485,75.0,200.0
DQ0-TB50-TH150,TBZ,0.126,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4631,75.0,200.0
DQ0-TB50-TH150,TBZ,0.561,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3007,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2304,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2192,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2204,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1662,75.0,200.0
