DQ_pct_X,TBZ_pct_Y,THI_pct_Z,type,condition,subset,accuracy
42.02,22.27,35.71,pred,DQ10-TB10-TH10,ternary,0.8893
,,,,,,
66.67,16.67,16.67,true,DQ12-TB3-TH3,ternary,0.8185
48.51,24.54,26.94,pred,DQ12-TB3-TH3,ternary,0.8185
,,,,,,
57.14,14.29,28.57,true,DQ12-TB3-TH6,ternary,0.929
50.11,21.39,28.5,pred,DQ12-TB3-TH6,ternary,0.929
,,,,,,
44.44,11.11,44.44,true,DQ12-TB3-TH12,ternary,0.9005
47.96,17.54,34.49,pred,DQ12-TB3-TH12,ternary,0.9005
,,,,,,
30.77,7.69,61.54,true,DQ12-TB3-TH24,ternary,0.793
37.64,21.52,40.84,pred,DQ12-TB3-TH24,ternary,0.793
,,,,,,
57.14,28.57,14.29,true,DQ12-TB6-TH3,ternary,0.778
39.02,50.78,10.21,pred,DQ12-TB6-TH3,ternary,0.778
,,,,,,
50.0,25.0,25.0,true,DQ12-TB6-TH6,ternary,0.9341
43.41,28.61,27.98,pred,DQ12-TB6-TH6,ternary,0.9341
,,,,,,
40.0,20.0,40.0,true,DQ12-TB6-TH12,ternary,0.8591
34.9,34.09,31.01,pred,DQ12-TB6-TH12,ternary,0.8591
,,,,,,
28.57,14.29,57.14,true,DQ12-TB6-TH24,ternary,0.7865
45.05,19.16,35.79,pred,DQ12-TB6-TH24,ternary,0.7865
,,,,,,
44.44,44.44,11.11,true,DQ12-TB12-TH3,ternary,0.85
59.44,33.1,7.46,pred,DQ12-TB12-TH3,ternary,0.85
,,,,,,
40.0,40.0,20.0,true,DQ12-TB12-TH6,ternary,0.9183
48.17,36.17,15.65,pred,DQ12-TB12-TH6,ternary,0.9183
,,,,,,
33.33,33.33,33.33,true,DQ12-TB12-TH12,ternary,0.9284
26.17,35.45,38.38,pred,DQ12-TB12-TH12,ternary,0.9284
,,,,,,
25.0,25.0,50.0,true,DQ12-TB12-TH24,ternary,0.7868
10.62,46.32,43.06,pred,DQ12-TB12-TH24,ternary,0.7868
,,,,,,
30.77,61.54,7.69,true,DQ12-TB24-TH3,ternary,0.943
25.07,61.74,13.19,pred,DQ12-TB24-TH3,ternary,0.943
,,,,,,
28.57,57.14,14.29,true,DQ12-TB24-TH6,ternary,0.849
24.46,72.24,3.3,pred,DQ12-TB24-TH6,ternary,0.849
,,,,,,
