DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_mlp_Z2
72,28,0,0.6205
74,0,26,0.5266
74,2,24,0.4952
74,4,22,0.4612
74,6,20,0.4333
74,8,18,0.4142
74,10,16,0.4039
74,12,14,0.4013
74,14,12,0.406
74,16,10,0.4183
74,18,8,0.4389
74,20,6,0.4682
74,22,4,0.5051
74,24,2,0.5454
74,26,0,0.5785
76,0,24,0.4961
76,2,22,0.4569
76,4,20,0.4222
76,6,18,0.3973
76,8,16,0.382
76,10,14,0.374
76,12,12,0.3718
76,14,10,0.3757
76,16,8,0.3869
76,18,6,0.4071
76,20,4,0.4374
76,22,2,0.476
76,24,0,0.5158
78,0,22,0.4527
78,2,20,0.413
78,4,18,0.3834
78,6,16,0.3651
78,8,14,0.3539
78,10,12,0.3463
78,12,10,0.3418
