condition,mixture_type,true_DQ_pct,true_TBZ_pct,true_THI_pct,nnls_DQ_pct,nnls_TBZ_pct,nnls_THI_pct,mlp_DQ_pct,mlp_TBZ_pct,mlp_THI_pct,accuracy_nnls_0to1,accuracy_mlp_0to1,x_true,y_true,x_nnls,y_nnls,x_mlp,y_mlp,pls_DQ_pct,pls_TBZ_pct,pls_THI_pct,accuracy_pls_0to1,x_pls,y_pls
DQ150-TB50-TH0,binary,75.0,25.0,0.0,71.0,29.0,0.0,61.34382188197112,36.900946675220744,1.7552314428081324,0.92,0.7269,0.75,0.0,0.71,0.0,0.62221,0.0152,72.5329,26.9873,0.4798,0.9507,0.72773,0.00416
DQ250-TB0-TH50,binary,83.33333333333333,0.0,16.666666666666668,6.0,0.0,94.0,35.33394868809244,15.950413774036566,48.715637537871,0.0,0.04,0.91667,0.14434,0.53,0.81406,0.59692,0.42189,37.0783,13.43,49.4917,0.0749,0.61824,0.42861
DQ250-TB50-TH0,binary,83.33333333333333,16.666666666666668,0.0,12.0,88.0,0.0,37.318441735935494,61.19274073051871,1.488817533545803,0.0,0.0797,0.83333,0.0,0.12,0.0,0.38063,0.01289,28.6554,69.3728,1.9718,0.0,0.29641,0.01708
DQ333-TB33-TH333,ternary,47.63948497854077,4.721030042918455,47.63948497854077,0.0,0.0,100.0,19.115739035816112,7.224005419055846,73.66025554512805,0.0,0.4295,0.71459,0.41257,0.5,0.86603,0.55946,0.63792,22.3529,9.3522,68.2949,0.4943,0.565,0.59145
DQ333-TB333-TH33,ternary,47.63948497854077,47.63948497854077,4.721030042918455,40.0,26.0,34.0,56.90673704746092,29.44976796256308,13.643494989975991,0.4144,0.6362,0.5,0.04089,0.57,0.29445,0.63728,0.11816,49.209,27.2803,23.5107,0.5928,0.60964,0.20361
DQ333-TB333-TH333,ternary,33.333333333333336,33.333333333333336,33.333333333333336,2.0,2.0,96.0,27.118292426234813,15.737209630907495,57.1444979428577,0.0,0.5238,0.5,0.28868,0.5,0.83138,0.55691,0.49489,28.7832,17.2491,53.9678,0.5873,0.55767,0.46737
DQ500-TB0-TH50,binary,90.9090909090909,0.0,9.090909090909092,56.0,0.0,44.0,94.51862454736066,0.5149319671125155,4.9664434855268365,0.3018,0.9175,0.95455,0.07873,0.78,0.38105,0.97002,0.04301,72.4546,5.6623,21.8831,0.6309,0.83396,0.18951
DQ500-TB0-TH500,binary,50.0,0.0,50.0,2.0,0.0,98.0,25.421536673573907,24.335741512626626,50.242721813799456,0.04,0.5084,0.75,0.43301,0.51,0.8487,0.50543,0.43511,32.9693,12.2105,54.8202,0.6594,0.60379,0.47476
DQ500-TB50-TH0,binary,90.9090909090909,9.090909090909092,0.0,14.0,86.0,0.0,43.39421137702452,52.7219086176543,3.8838800053211915,0.0,0.0497,0.90909,0.0,0.14,0.0,0.45336,0.03364,50.7213,46.975,2.3037,0.1962,0.51873,0.01995
DQ500-TB500-TH0,binary,50.0,50.0,0.0,62.0,38.0,0.0,57.635921289943056,39.77943557988732,2.5846431301696278,0.76,0.7956,0.5,0.0,0.62,0.0,0.58928,0.02238,58.7968,32.9767,8.2265,0.6595,0.6291,0.07124
