condition,component,true_uM,pred_uM
DQ3-TB3-TH3,TBZ,3.0,17.393
DQ3-TB3-TH3,DQ,3.0,19.169
DQ3-TB3-TH6,THI,6.0,13.181
DQ3-TB3-TH6,TBZ,3.0,13.231
DQ3-TB3-TH6,DQ,3.0,10.094
DQ3-TB6-TH12,THI,12.0,10.524
DQ3-TB6-TH12,TBZ,6.0,12.881
DQ3-TB6-TH12,DQ,3.0,13.718
DQ3-TB6-TH24,THI,24.0,19.077
DQ3-TB6-TH24,TBZ,6.0,4.106
DQ3-TB6-TH24,DQ,3.0,3.607
DQ3-TB6-TH3,THI,3.0,5.748
DQ3-TB6-TH3,TBZ,6.0,33.174
DQ3-TB6-TH3,DQ,3.0,16.012
DQ3-TB6-TH6,THI,6.0,8.822
DQ3-TB6-TH6,TBZ,6.0,7.354
DQ3-TB6-TH6,DQ,3.0,3.468
DQ6-TB12-TH12,THI,12.0,11.545
DQ6-TB12-TH12,TBZ,12.0,7.258
DQ6-TB12-TH12,DQ,6.0,9.955
DQ6-TB12-TH24,THI,24.0,10.81
DQ6-TB12-TH24,TBZ,12.0,10.301
DQ6-TB12-TH24,DQ,6.0,9.965
DQ6-TB12-TH3,THI,3.0,4.068
DQ6-TB12-TH3,TBZ,12.0,19.282
DQ6-TB12-TH3,DQ,6.0,10.846
DQ6-TB12-TH6,THI,6.0,6.085
DQ6-TB12-TH6,TBZ,12.0,6.441
DQ6-TB12-TH6,DQ,6.0,7.405
DQ6-TB24-TH12,THI,12.0,9.695
DQ6-TB24-TH12,TBZ,24.0,32.013
DQ6-TB24-TH12,DQ,6.0,5.068
DQ6-TB24-TH24,THI,24.0,9.123
DQ6-TB24-TH24,TBZ,24.0,7.728
DQ6-TB24-TH24,DQ,6.0,3.105
DQ6-TB24-TH3,THI,3.0,3.071
DQ6-TB24-TH3,TBZ,24.0,20.884
DQ6-TB24-TH3,DQ,6.0,3.848
DQ6-TB24-TH6,THI,6.0,13.247
DQ6-TB24-TH6,TBZ,24.0,93.26
DQ6-TB24-TH6,DQ,6.0,12.159
DQ6-TB3-TH12,THI,12.0,11.411
DQ6-TB3-TH12,TBZ,3.0,5.471
DQ6-TB3-TH12,DQ,6.0,7.627
DQ6-TB3-TH24,THI,24.0,12.558
DQ6-TB3-TH24,TBZ,3.0,2.456
DQ6-TB3-TH24,DQ,6.0,2.495
DQ6-TB3-TH3,THI,3.0,4.262
DQ6-TB3-TH3,TBZ,3.0,4.043
DQ6-TB3-TH3,DQ,6.0,10.774
DQ6-TB3-TH6,THI,6.0,7.464
DQ6-TB3-TH6,TBZ,3.0,3.249
DQ6-TB3-TH6,DQ,6.0,4.896
DQ6-TB6-TH12,THI,12.0,26.75
DQ6-TB6-TH12,TBZ,6.0,8.847
DQ6-TB6-TH12,DQ,6.0,9.409
DQ6-TB6-TH24,THI,24.0,23.229
DQ6-TB6-TH24,TBZ,6.0,8.527
DQ6-TB6-TH24,DQ,6.0,4.481
DQ6-TB6-TH3,THI,3.0,3.198
DQ6-TB6-TH3,TBZ,6.0,10.965
DQ6-TB6-TH3,DQ,6.0,10.966
DQ6-TB6-TH6,THI,6.0,5.269
DQ6-TB6-TH6,TBZ,6.0,4.95
DQ6-TB6-TH6,DQ,6.0,7.343
