DQ_pct_X,TBZ_pct_Y,THI_pct_Z,type,condition,subset,accuracy
41.59,19.82,38.59,pred,DQ10-TB10-TH10,ternary,0.8648
,,,,,,
66.67,16.67,16.67,true,DQ12-TB3-TH3,ternary,0.8205
48.71,26.82,24.47,pred,DQ12-TB3-TH3,ternary,0.8205
,,,,,,
57.14,14.29,28.57,true,DQ12-TB3-TH6,ternary,0.8216
45.71,32.13,22.16,pred,DQ12-TB3-TH6,ternary,0.8216
,,,,,,
44.44,11.11,44.44,true,DQ12-TB3-TH12,ternary,0.9381
43.87,17.31,38.82,pred,DQ12-TB3-TH12,ternary,0.9381
,,,,,,
30.77,7.69,61.54,true,DQ12-TB3-TH24,ternary,0.781
38.19,22.17,39.63,pred,DQ12-TB3-TH24,ternary,0.781
,,,,,,
57.14,28.57,14.29,true,DQ12-TB6-TH3,ternary,0.844
44.13,44.17,11.7,pred,DQ12-TB6-TH3,ternary,0.844
,,,,,,
50.0,25.0,25.0,true,DQ12-TB6-TH6,ternary,0.9346
43.46,31.35,25.19,pred,DQ12-TB6-TH6,ternary,0.9346
,,,,,,
40.0,20.0,40.0,true,DQ12-TB6-TH12,ternary,0.8859
38.93,31.41,29.65,pred,DQ12-TB6-TH12,ternary,0.8859
,,,,,,
28.57,14.29,57.14,true,DQ12-TB6-TH24,ternary,0.8592
38.61,18.33,43.06,pred,DQ12-TB6-TH24,ternary,0.8592
,,,,,,
44.44,44.44,11.11,true,DQ12-TB12-TH3,ternary,0.9005
53.96,34.5,11.54,pred,DQ12-TB12-TH3,ternary,0.9005
,,,,,,
40.0,40.0,20.0,true,DQ12-TB12-TH6,ternary,0.9879
39.31,39.48,21.21,pred,DQ12-TB12-TH6,ternary,0.9879
,,,,,,
33.33,33.33,33.33,true,DQ12-TB12-TH12,ternary,0.936
27.52,39.74,32.74,pred,DQ12-TB12-TH12,ternary,0.936
,,,,,,
25.0,25.0,50.0,true,DQ12-TB12-TH24,ternary,0.8846
26.93,34.61,38.46,pred,DQ12-TB12-TH24,ternary,0.8846
,,,,,,
30.77,61.54,7.69,true,DQ12-TB24-TH3,ternary,0.8892
