x_px,y_px,DQ_pct,TBZ_pct,THI_pct,value,band
3022.0,327.0,8.6,24.1,67.3,0.689,within 1.5-fold
3081.0,336.0,15.2,18.6,66.3,0.830,within 1.25-fold
3116.0,371.0,20.8,17.0,62.1,0.942,within 1.25-fold
3014.0,380.0,10.9,28.0,61.1,0.942,within 1.25-fold
3171.0,384.0,27.2,12.2,60.6,0.853,within 1.25-fold
3092.0,390.0,19.5,20.6,59.9,0.804,within 1.25-fold
3201.0,395.0,30.9,9.8,59.3,0.832,within 1.25-fold
3138.0,401.0,24.8,16.6,58.6,0.860,within 1.25-fold
3027.0,443.0,15.9,30.4,53.7,0.637,within 2-fold
3075.0,451.0,21.3,26.0,52.7,0.825,within 1.25-fold
3092.2,470.3,24.2,25.4,50.4,0.632,within 2-fold
3002.0,489.0,16.1,35.7,48.2,0.872,within 1.25-fold
3192.0,504.0,36.4,17.1,46.5,0.677,within 1.5-fold
3012.0,521.0,19.0,36.6,44.5,0.628,within 2-fold
3069.0,526.0,25.1,31.0,43.9,0.802,within 1.25-fold
2927.0,532.0,10.9,45.9,43.2,0.891,within 1.25-fold
3151.8,536.9,34.2,23.2,42.6,0.818,within 1.25-fold
3178.0,551.0,37.7,21.3,40.9,0.795,within 1.5-fold
3148.9,555.4,35.0,24.6,40.4,0.741,within 1.5-fold
3113.3,559.5,31.6,28.5,39.9,0.912,within 1.25-fold
2943.2,560.2,14.2,45.9,39.8,0.771,within 1.5-fold
3089.0,565.0,29.5,31.3,39.3,0.844,within 1.25-fold
2921.0,575.0,12.8,49.1,38.1,0.802,within 1.25-fold
3079.4,578.6,29.3,33.1,37.7,0.644,within 2-fold
2972.0,579.0,18.3,44.1,37.6,0.886,within 1.25-fold
3225.0,593.0,45.0,19.0,36.0,0.776,within 1.5-fold
3247.2,603.3,47.9,17.3,34.7,0.830,within 1.25-fold
3264.0,621.0,50.7,16.7,32.7,0.879,within 1.25-fold
3104.0,633.0,35.0,33.8,31.2,0.926,within 1.25-fold
3058.5,632.4,30.3,38.4,31.3,0.942,within 1.25-fold
3078.3,638.3,32.7,36.7,30.6,0.879,within 1.25-fold
3254.1,640.9,50.8,18.9,30.3,0.766,within 1.5-fold
3237.7,655.3,50.0,21.4,28.6,0.797,within 1.5-fold
3219.8,647.5,47.7,22.8,29.5,0.881,within 1.25-fold
3062.0,663.0,32.5,39.8,27.7,0.750,within 1.5-fold
3154.8,663.8,42.0,30.4,27.6,0.903,within 1.25-fold
3215.1,667.5,48.4,24.4,27.2,0.863,within 1.25-fold
2784.0,684.0,5.2,69.5,25.2,0.938,within 1.25-fold
3227.7,680.7,50.5,23.9,25.6,0.841,within 1.25-fold
3302.0,686.0,58.4,16.6,25.0,0.895,within 1.25-fold
2768.8,696.3,4.4,71.8,23.8,0.661,within 2-fold
3158.0,695.0,44.2,31.9,23.9,0.686,within 1.5-fold
2968.0,707.0,25.4,52.1,22.5,0.668,within 1.5-fold
3375.0,710.0,67.3,10.6,22.2,0.957,within 1.25-fold
3145.6,743.4,45.7,36.0,18.2,0.865,within 1.25-fold
3305.0,752.0,62.6,20.2,17.2,0.757,within 1.5-fold
3374.0,759.0,70.0,13.6,16.4,0.780,within 1.5-fold
3113.0,760.0,43.4,40.4,16.3,0.750,within 1.5-fold
3158.0,762.0,48.1,35.9,16.0,0.917,within 1.25-fold
2868.0,771.0,18.9,66.1,15.0,0.856,within 1.25-fold
3083.0,772.0,41.0,44.1,14.9,0.787,within 1.5-fold
3005.0,774.0,33.1,52.2,14.6,0.870,within 1.25-fold
2922.0,783.0,25.2,61.3,13.6,0.917,within 1.25-fold
3181.0,786.0,51.9,34.9,13.2,0.818,within 1.25-fold
2720.0,792.0,5.0,82.5,12.5,0.771,within 1.5-fold
3043.0,808.0,39.0,50.4,10.6,0.780,within 1.5-fold
2763.0,817.0,10.9,79.5,9.6,0.656,within 2-fold
3389.0,827.0,75.6,16.1,8.4,0.741,within 1.5-fold
3222.5,830.2,58.7,33.3,8.0,0.888,within 1.25-fold
3244.0,834.0,61.1,31.3,7.5,0.832,within 1.25-fold
2955.0,847.0,32.3,61.7,6.0,0.858,within 1.25-fold
2868.0,866.0,24.5,71.7,3.8,0.611,within 2-fold
