DQ_uM,THI3_TBZ3_RMSE_uM,THI3_TBZ6_RMSE_uM,THI3_TBZ12_RMSE_uM,THI3_TBZ24_RMSE_uM,THI6_TBZ3_RMSE_uM,THI6_TBZ6_RMSE_uM,THI6_TBZ12_RMSE_uM,THI6_TBZ24_RMSE_uM,THI12_TBZ3_RMSE_uM,THI12_TBZ6_RMSE_uM,THI12_TBZ12_RMSE_uM,THI12_TBZ24_RMSE_uM,THI24_TBZ3_RMSE_uM,THI24_TBZ6_RMSE_uM,THI24_TBZ12_RMSE_uM,THI24_TBZ24_RMSE_uM
3,0.377,0.737,5.57,8.781,1.621,3.138,6.153,8.843,2.675,4.445,7.29,7.03,3.767,3.879,9.51,16.891
6,0.968,0.815,3.318,8.108,0.271,0.819,3.086,10.29,2.622,4.799,9.842,7.586,3.26,7.555,12.061,10.916
12,4.692,4.03,2.848,4.718,4.666,3.969,5.576,6.329,7.122,4.456,8.101,10.2,5.925,8.623,13.529,13.865
24,5.705,2.656,5.404,5.318,13.853,13.41,12.896,11.528,19.765,11.691,20.37,26.359,17.285,18.256,20.57,23.678
