THI_uM,DQ3_TBZ3_RMSE_uM,DQ3_TBZ6_RMSE_uM,DQ3_TBZ12_RMSE_uM,DQ3_TBZ24_RMSE_uM,DQ6_TBZ3_RMSE_uM,DQ6_TBZ6_RMSE_uM,DQ6_TBZ12_RMSE_uM,DQ6_TBZ24_RMSE_uM,DQ12_TBZ3_RMSE_uM,DQ12_TBZ6_RMSE_uM,DQ12_TBZ12_RMSE_uM,DQ12_TBZ24_RMSE_uM,DQ24_TBZ3_RMSE_uM,DQ24_TBZ6_RMSE_uM,DQ24_TBZ12_RMSE_uM,DQ24_TBZ24_RMSE_uM,DQ3_TBZ3_MAE_uM,DQ3_TBZ6_MAE_uM,DQ3_TBZ12_MAE_uM,DQ3_TBZ24_MAE_uM,DQ6_TBZ3_MAE_uM,DQ6_TBZ6_MAE_uM,DQ6_TBZ12_MAE_uM,DQ6_TBZ24_MAE_uM,DQ12_TBZ3_MAE_uM,DQ12_TBZ6_MAE_uM,DQ12_TBZ12_MAE_uM,DQ12_TBZ24_MAE_uM,DQ24_TBZ3_MAE_uM,DQ24_TBZ6_MAE_uM,DQ24_TBZ12_MAE_uM,DQ24_TBZ24_MAE_uM
3,1.505,2.812,5.577,12.382,2.936,3.808,6.384,12.249,6.559,7.004,8.584,14.155,10.022,9.424,8.293,12.455,1.493,2.582,3.826,7.824,2.65,3.599,5.254,8.449,4.935,5.909,7.583,11.567,6.633,6.899,6.842,10.248
6,2.11,2.848,6.048,11.582,3.278,4.24,6.952,11.716,7.145,7.361,6.55,6.348,12.418,11.9,11.548,13.58,1.779,1.937,4.286,7.543,3.135,4.233,6.332,7.275,6.004,6.721,5.298,5.841,8.733,10.659,11.477,12.288
12,7.322,3.85,6.478,8.352,3.379,3.842,18.132,7.592,6.817,8.914,7.261,9.584,30.939,10.36,15.367,20.093,5.007,3.475,4.954,8.047,3.237,3.583,13.227,6.671,5.696,8.496,6.047,8.943,24.263,8.834,14.696,20.018
24,43.905,5.634,7.687,15.369,2.277,44.011,44.361,17.03,12.541,9.919,8.666,13.675,13.285,13.464,19.795,17.223,26.57,5.007,6.678,12.544,1.936,28.064,30.27,14.607,10.581,9.404,7.53,12.502,9.426,10.442,18.653,14.356
