THI_uM,DQ3_TBZ3_RMSE_uM,DQ3_TBZ6_RMSE_uM,DQ3_TBZ12_RMSE_uM,DQ3_TBZ24_RMSE_uM,DQ6_TBZ3_RMSE_uM,DQ6_TBZ6_RMSE_uM,DQ6_TBZ12_RMSE_uM,DQ6_TBZ24_RMSE_uM,DQ12_TBZ3_RMSE_uM,DQ12_TBZ6_RMSE_uM,DQ12_TBZ12_RMSE_uM,DQ12_TBZ24_RMSE_uM,DQ24_TBZ3_RMSE_uM,DQ24_TBZ6_RMSE_uM,DQ24_TBZ12_RMSE_uM,DQ24_TBZ24_RMSE_uM,DQ3_TBZ3_MAE_uM,DQ3_TBZ6_MAE_uM,DQ3_TBZ12_MAE_uM,DQ3_TBZ24_MAE_uM,DQ6_TBZ3_MAE_uM,DQ6_TBZ6_MAE_uM,DQ6_TBZ12_MAE_uM,DQ6_TBZ24_MAE_uM,DQ12_TBZ3_MAE_uM,DQ12_TBZ6_MAE_uM,DQ12_TBZ12_MAE_uM,DQ12_TBZ24_MAE_uM,DQ24_TBZ3_MAE_uM,DQ24_TBZ6_MAE_uM,DQ24_TBZ12_MAE_uM,DQ24_TBZ24_MAE_uM
3,1.523,1.825,1.699,5.524,0.846,0.516,0.783,3.796,0.721,0.996,0.151,2.394,0.342,4.66,4.545,12.228,1.406,1.716,1.528,4.666,0.798,0.48,0.668,3.123,0.68,0.928,0.14,2.236,0.303,4.375,4.187,11.028
6,0.846,3.398,4.008,4.233,1.699,2.713,2.382,5.419,1.295,2.167,1.413,9.966,4.136,0.445,4.792,8.203,0.731,3.196,3.333,3.777,1.418,2.404,2.208,4.859,1.203,1.835,1.25,9.192,3.816,0.383,4.305,7.718
12,2.044,3.924,4.095,6.124,4.925,2.105,1.372,4.676,3.702,0.089,3.777,7.745,5.892,2.323,2.24,8.125,1.904,3.684,3.855,5.472,4.144,1.983,1.266,4.093,3.12,0.083,3.186,6.529,5.41,2.188,1.881,6.947
24,1.136,7.801,6.953,4.689,2.88,3.039,5.463,9.225,7.641,9.437,1.825,15.813,4.636,1.362,4.679,3.321,0.985,6.993,6.542,4.42,2.434,2.67,5.15,7.738,6.773,8.198,1.648,14.525,4.203,1.114,3.906,2.875
