DQ_pct_X,TBZ_pct_Y,THI_pct_Z,Z2,density
0,0,100,0.7610,0.0127
0,1,99,0.7602,0.0146
0,2,98,0.7595,0.0167
0,3,97,0.7587,0.0190
0,4,96,0.7580,0.0216
0,5,95,0.7572,0.0244
0,6,94,0.7564,0.0276
0,7,93,0.7555,0.0309
0,8,92,0.7547,0.0346
0,9,91,0.7538,0.0386
0,10,90,0.7529,0.0429
0,11,89,0.7520,0.0474
0,12,88,0.7511,0.0523
0,13,87,0.7502,0.0574
0,14,86,0.7493,0.0629
0,15,85,0.7483,0.0686
0,16,84,0.7474,0.0746
0,17,83,0.7465,0.0808
0,18,82,0.7455,0.0873
0,19,81,0.7446,0.0940
0,20,80,0.7437,0.1009
0,21,79,0.7428,0.1080
0,22,78,0.7419,0.1152
0,23,77,0.7411,0.1226
0,24,76,0.7402,0.1301
0,25,75,0.7395,0.1377
0,26,74,0.7387,0.1453
0,27,73,0.7380,0.1530
0,28,72,0.7374,0.1607
0,29,71,0.7368,0.1684
0,30,70,0.7362,0.1761
0,31,69,0.7357,0.1837
0,32,68,0.7353,0.1913
0,33,67,0.7350,0.1987
0,34,66,0.7347,0.2061
0,35,65,0.7345,0.2133
0,36,64,0.7344,0.2203
0,37,63,0.7343,0.2272
0,38,62,0.7343,0.2339
0,39,61,0.7344,0.2403
0,40,60,0.7344,0.2465
0,41,59,0.7346,0.2525
0,42,58,0.7348,0.2582
0,43,57,0.7350,0.2636
0,44,56,0.7352,0.2687
0,45,55,0.7354,0.2734
0,46,54,0.7357,0.2778
0,47,53,0.7359,0.2817
0,48,52,0.7361,0.2853
0,49,51,0.7362,0.2884
0,50,50,0.7363,0.2911
0,51,49,0.7363,0.2934
0,52,48,0.7363,0.2951
0,53,47,0.7362,0.2964
0,54,46,0.7360,0.2971
0,55,45,0.7357,0.2973
0,56,44,0.7353,0.2970
0,57,43,0.7349,0.2961
0,58,42,0.7342,0.2947
0,59,41,0.7335,0.2927
0,60,40,0.7327,0.2901
0,61,39,0.7317,0.2871
