hidden,params_approx,composition_error_pp,detection_auc,adopted
"(32, 16)",41856,18.035256264382262,0.891156462585034,0
"(64, 32)",84736,19.613459949985632,0.9036281179138322,0
"(128, 64)",173568,18.448763838828558,0.8775510204081632,0
"(256, 64)",346880,17.485205045430234,0.9058956916099773,1
"(512, 128)",726528,19.019707393041305,0.9217687074829931,0
"(1024, 256)",1584128,19.663531417022938,0.9070294784580499,0
