condition,True_THI_uM,True_TBZ_uM,True_DQ_uM,RMSE_NNLS_uM,abserr_THI_NNLS_uM,abserr_TBZ_NNLS_uM,abserr_DQ_NNLS_uM,RMSE_PLS-R_uM,abserr_THI_PLS-R_uM,abserr_TBZ_PLS-R_uM,abserr_DQ_PLS-R_uM,RMSE_MLP_uM,abserr_THI_MLP_uM,abserr_TBZ_MLP_uM,abserr_DQ_MLP_uM
DQ12-TB12-TH3,3.0,12.0,12.0,2.848,4.026,1.897,2.129,0.151,0.072,0.21,0.138,0.815,0.772,0.355,1.128
DQ12-TB12-TH6,6.0,12.0,12.0,5.577,5.739,7.554,1.815,1.413,0.338,1.875,1.537,1.215,0.239,1.593,1.354
DQ12-TB12-TH12,12.0,12.0,12.0,8.101,11.455,5.559,5.896,3.777,0.322,4.779,4.457,0.381,0.306,0.537,0.232
DQ12-TB12-TH24,24.0,12.0,12.0,13.529,19.133,9.714,9.418,1.825,2.472,0.594,1.878,2.179,3.08,1.44,1.64
DQ12-TB24-TH3,3.0,24.0,12.0,4.718,6.269,5.113,1.155,2.394,1.28,3.355,2.074,0.496,0.7,0.381,0.32
DQ12-TB24-TH6,6.0,24.0,12.0,6.329,2.801,5.961,8.763,9.966,4.368,13.788,9.421,6.746,3.585,9.449,5.864
DQ12-TB24-TH12,12.0,24.0,12.0,10.2,13.863,10.386,3.477,7.745,0.651,9.794,9.143,7.641,3.73,10.648,6.917
DQ12-TB24-TH24,24.0,24.0,12.0,13.865,18.84,14.125,4.715,15.812,15.257,21.787,6.53,1.18,0.375,1.221,1.596
DQ24-TB3-TH3,3.0,3.0,24.0,5.704,6.867,0.234,7.1,0.342,0.083,0.454,0.371,2.9,0.991,2.951,3.943
DQ24-TB3-TH6,6.0,3.0,24.0,13.852,16.511,0.875,17.386,4.136,3.902,5.724,1.822,3.181,0.234,3.774,4.008
DQ24-TB3-TH12,12.0,3.0,24.0,19.765,25.243,2.226,23.017,5.891,2.424,5.692,8.115,7.046,0.391,8.427,8.819
DQ24-TB3-TH24,24.0,3.0,24.0,17.285,21.424,0.518,20.906,4.636,1.595,4.71,6.304,2.841,1.563,2.424,3.986
DQ24-TB6-TH3,3.0,6.0,24.0,2.656,3.748,2.085,1.663,4.66,2.767,3.796,6.563,2.106,0.41,2.35,2.76
DQ24-TB6-TH6,6.0,6.0,24.0,13.41,18.004,3.841,14.163,0.445,0.574,0.064,0.51,3.897,1.906,3.525,5.431
DQ24-TB6-TH12,12.0,6.0,24.0,11.691,15.977,4.307,11.67,2.323,1.753,1.53,3.283,0.466,0.092,0.611,0.519
DQ24-TB6-TH24,24.0,6.0,24.0,18.256,23.967,3.67,20.297,1.362,1.671,0.008,1.664,3.164,2.393,2.078,4.471
DQ24-TB12-TH3,3.0,12.0,24.0,5.404,3.646,7.64,3.994,4.545,1.954,4.327,6.28,2.442,0.731,2.558,3.288
DQ24-TB12-TH6,6.0,12.0,24.0,12.896,18.22,9.804,8.416,4.792,1.448,5.01,6.457,3.891,1.312,3.972,5.284
DQ24-TB12-TH12,12.0,12.0,24.0,20.37,28.266,9.32,18.947,2.239,2.657,2.821,0.164,7.205,8.739,0.17,8.908
DQ24-TB12-TH24,24.0,12.0,24.0,20.57,28.772,10.672,18.1,4.679,0.265,5.859,5.594,2.852,1.232,3.942,2.71
DQ24-TB24-TH3,3.0,24.0,24.0,5.317,5.367,7.245,1.878,12.228,3.906,12.636,16.542,2.003,1.334,2.831,1.497
DQ24-TB24-TH6,6.0,24.0,24.0,11.528,15.659,11.76,3.899,8.203,6.446,5.131,11.576,2.359,3.308,2.032,1.275
DQ24-TB24-TH12,12.0,24.0,24.0,26.359,37.114,21.571,15.543,8.125,10.42,9.404,1.016,3.391,0.408,4.342,3.934
DQ24-TB24-TH24,24.0,24.0,24.0,23.678,33.483,16.344,17.139,3.321,0.543,4.312,3.768,4.179,5.115,0.007,5.122
