condition,THI_true,TBZ_true,DQ_true,THI_NNLS_kt,THI_PLS_kt,THI_MLP_kt,TBZ_NNLS_kt,TBZ_PLS_kt,TBZ_MLP_kt,DQ_NNLS_kt,DQ_PLS_kt,DQ_MLP_kt
DQ24-TB3-TH12,12.0,3.0,24.0,37.243,14.424,12.391,0.774,8.692,11.427,0.983,15.885,15.181
DQ24-TB3-TH24,24.0,3.0,24.0,45.424,25.595,25.563,2.482,7.71,5.424,3.094,17.696,20.014
DQ24-TB6-TH3,3.0,6.0,24.0,6.748,5.767,2.59,3.915,9.796,3.65,22.337,17.437,26.76
DQ24-TB6-TH6,6.0,6.0,24.0,24.004,6.574,7.906,2.159,5.936,9.525,9.837,23.49,18.569
DQ24-TB6-TH12,12.0,6.0,24.0,27.977,13.753,12.092,1.693,7.53,5.389,12.33,20.717,24.519
DQ24-TB6-TH24,24.0,6.0,24.0,47.967,25.671,21.607,2.33,5.992,3.922,3.703,22.336,28.471
DQ24-TB12-TH3,3.0,12.0,24.0,6.646,4.954,2.269,4.36,16.327,9.442,27.994,17.72,27.288
DQ24-TB12-TH6,6.0,12.0,24.0,24.22,4.552,4.688,2.196,6.99,8.028,15.584,30.457,29.284
DQ24-TB12-TH12,12.0,12.0,24.0,40.266,14.657,20.739,2.68,9.179,12.17,5.053,24.164,15.092
DQ24-TB12-TH24,24.0,12.0,24.0,52.772,24.265,22.768,1.328,6.141,15.942,5.9,29.594,21.29
DQ24-TB24-TH3,3.0,24.0,24.0,8.367,6.906,4.334,16.755,36.636,21.169,25.878,7.458,25.497
DQ24-TB24-TH6,6.0,24.0,24.0,21.659,12.446,9.308,12.24,29.131,21.968,20.101,12.424,22.725
DQ24-TB24-TH12,12.0,24.0,24.0,49.114,22.42,12.408,2.429,14.596,19.658,8.457,22.984,27.934
DQ24-TB24-TH24,24.0,24.0,24.0,57.483,23.457,29.115,7.656,28.312,24.007,6.861,20.232,18.878
