THI_uM,DQ3_TBZ3_worstfold,DQ3_TBZ6_worstfold,DQ3_TBZ12_worstfold,DQ3_TBZ24_worstfold,DQ6_TBZ3_worstfold,DQ6_TBZ6_worstfold,DQ6_TBZ12_worstfold,DQ6_TBZ24_worstfold,DQ12_TBZ3_worstfold,DQ12_TBZ6_worstfold,DQ12_TBZ12_worstfold,DQ12_TBZ24_worstfold,DQ24_TBZ3_worstfold,DQ24_TBZ6_worstfold,DQ24_TBZ12_worstfold,DQ24_TBZ24_worstfold
3,6.39,5.529,3.251,1.348,1.796,1.828,1.808,1.559,2.208,2.526,1.269,1.458,2.504,2.068,1.668,1.389
6,4.41,1.47,4.045,2.145,1.244,1.224,1.863,3.886,1.727,1.09,1.304,1.997,2.082,1.671,1.466,1.578
12,1.435,4.573,4.031,2.051,1.824,2.229,1.659,1.334,1.662,1.417,1.18,2.772,2.962,1.216,2.435,1.965
24,3.683,1.461,1.275,3.388,2.405,1.421,2.22,3.105,1.597,1.978,1.866,1.305,1.71,1.541,2.404,2.178
