DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_nnls_Z2
0.0,25.0,75.0,0.87
0.0,16.666666666666668,83.33333333333333,0.8333
0.0,9.090909090909092,90.9090909090909,0.9091
0.0,75.0,25.0,0.74
0.0,83.33333333333333,16.666666666666668,0.4467
0.0,90.9090909090909,9.090909090909092,0.9409
0.0,50.0,50.0,0.62
4.721030042918455,47.63948497854077,47.63948497854077,0.4764
25.0,0.0,75.0,0.75
16.666666666666668,0.0,83.33333333333333,0.8333
9.090909090909092,0.0,90.9090909090909,0.9091
25.0,75.0,0.0,0.99
16.666666666666668,83.33333333333333,0.0,0.8933
9.090909090909092,90.9090909090909,0.0,0.9491
75.0,0.0,25.0,0.32
75.0,25.0,0.0,0.96
83.33333333333333,0.0,16.666666666666668,0.2267
83.33333333333333,16.666666666666668,0.0,0.2867
47.63948497854077,4.721030042918455,47.63948497854077,0.4764
47.63948497854077,47.63948497854077,4.721030042918455,0.7072
33.333333333333336,33.333333333333336,33.333333333333336,0.3733
90.9090909090909,0.0,9.090909090909092,0.6509
50.0,0.0,50.0,0.52
90.9090909090909,9.090909090909092,0.0,0.2309
50.0,50.0,0.0,0.88
