DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_pls_Z2
0.0,25.0,75.0,0.5373
0.0,16.666666666666668,83.33333333333333,0.5384
0.0,9.090909090909092,90.9090909090909,0.5693
0.0,75.0,25.0,0.6287
0.0,83.33333333333333,16.666666666666668,0.1828
0.0,90.9090909090909,9.090909090909092,0.5204
0.0,50.0,50.0,0.9144
4.721030042918455,47.63948497854077,47.63948497854077,0.1908
25.0,0.0,75.0,0.8766
16.666666666666668,0.0,83.33333333333333,0.6759
9.090909090909092,0.0,90.9090909090909,0.5969
25.0,75.0,0.0,0.4223
16.666666666666668,83.33333333333333,0.0,0.7396
9.090909090909092,90.9090909090909,0.0,0.7172
75.0,0.0,25.0,0.515
75.0,25.0,0.0,0.9507
83.33333333333333,0.0,16.666666666666668,0.0749
83.33333333333333,16.666666666666668,0.0,0.0
47.63948497854077,4.721030042918455,47.63948497854077,0.4943
47.63948497854077,47.63948497854077,4.721030042918455,0.5928
33.333333333333336,33.333333333333336,33.333333333333336,0.5873
90.9090909090909,0.0,9.090909090909092,0.6309
50.0,0.0,50.0,0.6594
90.9090909090909,9.090909090909092,0.0,0.1962
50.0,50.0,0.0,0.6595
