name,subset,n,mae_pp,median_recovery_pct,within80_120_pct,within1_5x_pct,within2x_pct,known_total_mae_fraction,macro_abs_mean_bias_pct
R00,all,92,12.958637455044617,98.12823683023453,35.68627450980392,54.90196078431373,74.50980392156863,0.13270695041187525,20.056670650285383
R00,binary,21,17.118838158755963,87.76718080043793,28.57142857142857,38.095238095238095,59.523809523809526,0.21093573855050712,25.626650119998605
R00,ternary,71,11.728155556763795,100.07996931672096,37.08920187793427,58.21596244131455,77.46478873239437,0.11728155556763796,19.096359846411847
R01,all,92,13.470723406922913,97.74051085114479,30.980392156862745,57.647058823529406,75.68627450980392,0.13584866738148874,20.052869080563145
R01,binary,21,18.18150750707311,87.75490522384644,28.57142857142857,42.857142857142854,61.904761904761905,0.21229912639591533,33.19248668051192
R01,ternary,71,12.077392898427789,102.76445299386978,31.455399061032864,60.56338028169014,78.40375586854461,0.12077392898427788,18.900793880997227
R02,all,92,12.738705525209435,97.90852926671505,34.509803921568626,58.82352941176471,76.07843137254902,0.1303801062904018,15.351905353887043
R02,binary,21,16.806153943290138,90.38224915663402,35.714285714285715,42.857142857142854,64.28571428571429,0.20657087711302874,25.83005907989683
R02,ternary,71,11.535657401551761,99.26839768886566,34.27230046948357,61.97183098591549,78.40375586854461,0.1153565740155176,13.285790534673842
R03,all,92,11.924476342663793,99.60023313760757,32.94117647058823,63.13725490196078,80.3921568627451,0.12143379339475337,14.69705845464999
R03,binary,21,16.238437882845638,91.57773355642955,28.57142857142857,42.857142857142854,59.523809523809526,0.19724472562149487,24.139216186863067
R03,ternary,71,10.64851588711705,103.49618196487427,33.80281690140845,67.13615023474179,84.50704225352112,0.1064851588711705,12.835224535622066
R04,all,92,13.069049968563052,98.17909747362137,33.33333333333333,54.90196078431373,76.07843137254902,0.13446226642257994,21.758558813508785
R04,binary,21,16.74547000588415,94.32892600695293,28.57142857142857,45.23809523809524,66.66666666666666,0.2087368125769257,32.255401254468964
R04,ternary,71,11.981658126538498,98.61201345920563,34.27230046948357,56.8075117370892,77.93427230046949,0.11981658126538498,20.009212102714148
