schedule,subset,n,mae_pp,median_recovery_pct,within80_120_pct,within1_5x_pct,within2x_pct,known_total_mae_fraction
constant,all,92,12.974156635328058,97.51768112182617,30.980392156862745,57.647058823529406,78.82352941176471,0.1319330420073994
constant,binary,21,17.46584246861225,83.74280504882336,26.190476190476193,45.23809523809524,69.04761904761905,0.2104222417525506
constant,ternary,71,11.645629839567945,101.90810263156891,31.92488262910798,60.093896713615024,80.75117370892019,0.11645629839567945
linear,all,92,11.89829357145022,102.95403003692627,34.509803921568626,63.52941176470588,85.09803921568627,0.1197673231811031
linear,binary,21,18.705849061697,83.35066705942154,16.666666666666664,30.952380952380953,61.904761904761905,0.22585862054399508
linear,ternary,71,9.884791243349058,104.66160774230957,38.028169014084504,69.95305164319248,89.67136150234741,0.09884791243349059
warm60,all,92,12.483974152897098,99.29981082677841,29.01960784313726,61.96078431372549,81.96078431372548,0.12518096785027
warm60,binary,21,17.843930613860422,78.60527366399765,19.047619047619047,45.23809523809524,61.904761904761905,0.20731081967987927
warm60,ternary,71,10.89863491796428,102.26221084594727,30.985915492957744,65.25821596244131,85.91549295774648,0.1089863491796428
cosine,all,92,13.111351376955795,97.16841131448746,30.58823529411765,58.82352941176471,81.17647058823529,0.1320692726219416
cosine,binary,21,18.655849882012802,74.2252904176712,19.047619047619047,42.857142857142854,64.28571428571429,0.22008381294917104
cosine,ternary,71,11.471429283910764,102.33004987239838,32.863849765258216,61.97183098591549,84.50704225352112,0.11471429283910764
