name,subset,n,mae_pp,median_recovery_pct,within80_120_pct,within1_5x_pct,within2x_pct,known_total_mae_fraction
T01_distill_0.02,all,92,12.280374389583146,100.50580501556396,30.19607843137255,60.0,82.35294117647058,0.12552629503218035
T01_distill_0.02,binary,21,15.721887409409977,89.93760108947754,28.57142857142857,47.61904761904761,69.04761904761905,0.19095621394963794
T01_distill_0.02,ternary,71,11.262462087944224,104.01855856180191,30.51643192488263,62.441314553990615,84.97652582159625,0.11262462087944224
T02_distill_0.05,all,92,12.324245021217372,99.2346040904522,32.549019607843135,60.3921568627451,80.7843137254902,0.1262681906180645
T02_distill_0.05,binary,21,16.588057501602684,87.36243963241577,28.57142857142857,42.857142857142854,66.66666666666666,0.2055702041680044
T02_distill_0.05,ternary,71,11.063117386173833,100.56009292602539,33.33333333333333,63.84976525821596,83.56807511737088,0.11063117386173832
T03_distill_0.1,all,92,13.268853843625344,98.09961795806885,28.627450980392155,55.68627450980392,77.64705882352942,0.13414777234182926
T03_distill_0.1,binary,21,17.769300386989283,88.30485224723816,23.809523809523807,45.23809523809524,69.04761904761905,0.20905487101342293
T03_distill_0.1,ternary,71,11.93773585192615,100.74504166841507,29.577464788732392,57.74647887323944,79.34272300469483,0.1193773585192615
T04_distill_0.2,all,92,12.06571719580153,98.05045500397682,34.90196078431372,60.0,81.17647058823529,0.12390975981745926
T04_distill_0.2,binary,21,17.75576142446837,87.60729203621547,26.190476190476193,40.476190476190474,64.28571428571429,0.22575569024892764
T04_distill_0.2,ternary,71,10.382746367604295,99.13861155509949,36.61971830985916,63.84976525821596,84.50704225352112,0.10382746367604295
