name,subset,n,mae_pp,median_recovery_pct,within80_120_pct,within1_5x_pct,within2x_pct,known_total_mae_fraction
D00_old_dynamic,all,92,13.276277242868813,99.3344908952713,34.509803921568626,57.25490196078431,74.90196078431373,0.13800347797853074
D00_old_dynamic,binary,21,17.221993795921282,91.23529970645905,26.190476190476193,50.0,61.904761904761905,0.22376709013423396
D00_old_dynamic,ternary,71,12.109234318726534,100.86733996868134,36.15023474178404,58.68544600938967,77.46478873239437,0.12109234318726533
D01_maponly300,all,92,13.959544834776317,97.62865722179413,30.58823529411765,52.94117647058824,72.94117647058823,0.14222654042553037
D01_maponly300,binary,21,17.571048371917268,79.97715373833974,30.952380952380953,45.23809523809524,59.523809523809526,0.2097424890198926
D01_maponly300,ternary,71,12.891353647734624,101.24931335449219,30.51643192488263,54.460093896713616,75.5868544600939,0.12891353647734624
D02_maponly_lr1e3,all,92,14.503346532376343,95.91402634978294,29.80392156862745,50.98039215686274,69.01960784313725,0.15177391207256857
D02_maponly_lr1e3,binary,21,16.578861653676256,90.31816273927689,40.476190476190474,47.61904761904761,57.14285714285714,0.21709033311815046
D02_maponly_lr1e3,ternary,71,13.889461778189046,96.84179984033108,27.699530516431924,51.64319248826291,71.36150234741784,0.13889461778189047
D03_maponly64,all,92,13.179336373773218,96.99761122465134,31.76470588235294,57.25490196078431,77.25490196078432,0.13447986621261046
D03_maponly64,binary,21,15.89933097327178,84.33640003204346,38.095238095238095,50.0,71.42857142857143,0.18890419061340039
D03_maponly64,ternary,71,12.37483092885111,100.98523646593094,30.51643192488263,58.68544600938967,78.40375586854461,0.12374830928851109
D04_aux001,all,92,15.203137879403775,91.71454310417175,26.666666666666668,47.45098039215686,67.45098039215686,0.15614125544611027
D04_aux001,binary,21,18.957708520404125,82.68773227930069,26.190476190476193,28.57142857142857,57.14285714285714,0.23330276093948332
D04_aux001,ternary,71,14.09263107009381,94.84025835990906,26.76056338028169,51.173708920187785,69.48356807511738,0.1409263107009381
D05_huber128,all,92,13.91239121708028,95.76239436864853,29.80392156862745,49.411764705882355,73.33333333333333,0.14420781440199779
D05_huber128,binary,21,16.46705158852559,94.17510330677032,33.33333333333333,42.857142857142854,61.904761904761905,0.20831036700330896
D05_huber128,ternary,71,13.156787445244348,96.24870121479034,29.107981220657276,50.70422535211267,75.5868544600939,0.13156787445244347
D06_huber256,all,92,15.04891768407965,99.61504489183426,23.137254901960784,49.80392156862745,70.58823529411765,0.15359518743689254
D06_huber256,binary,21,19.566437632271096,84.73525390028954,23.809523809523807,42.857142857142854,64.28571428571429,0.23710989753996567
D06_huber256,ternary,71,13.71274981207936,100.22031515836716,23.004694835680752,51.173708920187785,71.83098591549296,0.1371274981207936
