name,subset,n,mae_pp,median_recovery_pct,within80_120_pct,within1_5x_pct,within2x_pct,known_total_mae_fraction
V08_huber_a,all,92.0,14.04681092704721,97.02814817428589,27.712418300653596,52.41830065359477,72.94117647058823,0.14441198197017355
V08_huber_a,binary,21.0,17.26780473520648,92.68581201632817,24.603174603174605,47.61904761904762,65.07936507936508,0.2127279577839057
V08_huber_a,ternary,71.0,13.09412261759165,99.05255337556203,28.325508607198742,53.36463223787168,74.49139280125196,0.1309412261759165
V08_huber_b,all,92.0,13.184919888387022,98.02571286757787,31.241830065359476,55.947712418300654,78.0392156862745,0.1354000861665459
V08_huber_b,binary,21.0,17.796157553960928,89.1426818486717,26.984126984126984,42.063492063492056,65.87301587301589,0.22257672236943835
V08_huber_b,ternary,71.0,11.821032691527131,98.96736393372218,32.081377151799686,58.68544600938967,80.43818466353677,0.11821032691527132
V01_maponly_a,all,92.0,13.530297470076887,96.5938280026118,34.509803921568626,53.98692810457516,74.11764705882352,0.13843058923281024
V01_maponly_a,binary,21.0,16.789775139650924,88.52589454087946,34.92063492063492,47.61904761904762,64.28571428571429,0.20318422797463023
V01_maponly_a,ternary,71.0,12.566226610062033,98.22970529397328,34.42879499217527,55.24256651017214,76.05633802816901,0.12566226610062034
V01_maponly_b,all,92.0,13.12344623624863,97.17353582382202,31.50326797385621,57.38562091503268,75.94771241830067,0.13530106191527227
V01_maponly_b,binary,21.0,17.014186821440706,90.86251411173079,30.952380952380953,42.06349206349206,61.111111111111114,0.21428563985371082
V01_maponly_b,ternary,71.0,11.972663809642524,97.78425683352081,31.61189358372457,60.40688575899844,78.87323943661971,0.11972663809642524
