subset,split,method,n,median_recovery_pct,mean_recovery_pct,q1_pct,q3_pct,within_2x_pct,within_1_5x_pct,within_1_25x_pct,mae_uM,rmse_log2,pearson_r
ternary_inrange_67,condition_5fold,single_calibration,201,105.30012961508596,137.4912561971486,55.35985752296041,195.68552596804093,55.223880597014926,32.83582089552239,23.383084577114428,7.565253859414075,1.2476945317645827,0.3576582094612526
ternary_inrange_67,condition_5fold,label_supervised_DL05,201,98.15485677772273,104.54753982713993,74.68197908283241,124.97535586603561,90.04975124378109,71.14427860696517,45.27363184079602,4.105515795814376,0.6708032136418718,0.6476241322714034
ternary_inrange_67,ratio_grouped_5fold,single_calibration,201,105.30012961508596,137.4912561971486,55.35985752296041,195.68552596804093,55.223880597014926,32.83582089552239,23.383084577114428,7.565253859414075,1.2476945317645827,0.3576582094612526
ternary_inrange_67,ratio_grouped_5fold,label_supervised_DL05,201,96.7003415988982,105.63242312204453,76.94138508783934,125.89077236982389,91.04477611940298,73.6318407960199,46.766169154228855,4.172133758065079,0.6945218114056583,0.5655386871384549
binary_21,condition_5fold,single_calibration,42,7.619328783653198,15.42494240823166,4.707831444950326,19.117646406869,7.142857142857142,2.380952380952381,0.0,199.74050696586636,4.0930312893826235,0.3318778909402651
binary_21,condition_5fold,label_supervised_DL05,42,85.25509111781133,135.9229433441273,45.5503070342281,127.73683603795216,54.761904761904766,40.476190476190474,26.190476190476193,152.6562425891222,1.4286946971168089,0.21020610984455315
binary_21,ratio_grouped_5fold,single_calibration,42,7.619328783653198,15.42494240823166,4.707831444950326,19.117646406869,7.142857142857142,2.380952380952381,0.0,199.74050696586636,4.0930312893826235,0.3318778909402651
binary_21,ratio_grouped_5fold,label_supervised_DL05,42,92.83784344932194,137.82746550104517,37.219134880554016,141.23821729570116,57.14285714285714,40.476190476190474,21.428571428571427,164.92381322751393,1.7316101046678891,0.14132012197834865
