variant,subset,n_maps,binary_auc,component,recovery_mean,recovery_sd,recovery_median,mean_abs_recovery_error,within_80_120,macro_mean_recovery,macro_abs_mean_bias,macro_mean_abs_recovery_error
maponly_256_64_meantrain__testpool_mean,all,89,,DQ,114.79582477241188,59.08141708678039,100.01593565672086,43.08310237834629,0.34146341463414637,118.71010399306992,18.710103993069918,45.559587409043424
maponly_256_64_meantrain__testpool_mean,all,89,,TBZ,123.92347127986258,97.9674774094261,103.83772365025852,53.239651626849515,0.3170731707317073,118.71010399306992,18.710103993069918,45.559587409043424
maponly_256_64_meantrain__testpool_mean,all,89,,THI,117.41101592693529,60.99455244098912,99.70524500196636,40.35600822193447,0.4024390243902439,118.71010399306992,18.710103993069918,45.559587409043424
maponly_256_64_meantrain__testpool_mean,binary,21,0.8752834467120181,DQ,92.17761955832705,61.42842162706518,70.95822523183256,51.61092586787556,0.07142857142857142,115.96831021422236,21.18323050867099,63.69427689189124
maponly_256_64_meantrain__testpool_mean,binary,21,0.8752834467120181,TBZ,122.00511189387286,126.6945944558754,76.43565484128477,80.1448471056693,0.21428571428571427,115.96831021422236,21.18323050867099,63.69427689189124
maponly_256_64_meantrain__testpool_mean,binary,21,0.8752834467120181,THI,133.72219919046717,97.50193597320306,98.37023527033631,59.3270577021289,0.35714285714285715,115.96831021422236,21.18323050867099,63.69427689189124
maponly_256_64_meantrain__testpool_mean,ternary,68,,DQ,119.45251408119402,57.956253496398276,105.38544995740062,41.32737401285497,0.39705882352941174,119.27459094753853,19.27459094753853,41.82597486845711
maponly_256_64_meantrain__testpool_mean,ternary,68,,TBZ,124.31842762403694,92.12871145626646,106.07956708477816,47.7003466753278,0.3382352941176471,119.27459094753853,19.27459094753853,41.82597486845711
maponly_256_64_meantrain__testpool_mean,ternary,68,,THI,114.05283113738463,50.85381192464864,99.70524500196636,36.45020391718855,0.4117647058823529,119.27459094753853,19.27459094753853,41.82597486845711
maponly_256_64_meantrain__testpool_bin8,all,89,,DQ,108.28473061646923,58.0716083854838,92.82800161337263,42.54111424786156,0.36585365853658536,119.15757783100963,19.15757783100963,46.76730806188895
maponly_256_64_meantrain__testpool_bin8,all,89,,TBZ,120.73616695024644,97.60704752093058,103.28321446788303,51.89600461274835,0.32926829268292684,119.15757783100963,19.15757783100963,46.76730806188895
maponly_256_64_meantrain__testpool_bin8,all,89,,THI,128.4518359263132,69.95144956176433,108.91430445430264,45.86480532505696,0.35365853658536583,119.15757783100963,19.15757783100963,46.76730806188895
maponly_256_64_meantrain__testpool_bin8,binary,21,0.8888888888888888,DQ,89.57941915321742,62.40221038476326,68.05545563711799,53.70742014552575,0.14285714285714285,118.55041872620014,25.497472624055188,65.6041474956753
maponly_256_64_meantrain__testpool_bin8,binary,21,0.8888888888888888,TBZ,117.6114545833609,131.58272889903995,79.91258153279676,80.5970755888632,0.2857142857142857,118.55041872620014,25.497472624055188,65.6041474956753
maponly_256_64_meantrain__testpool_bin8,binary,21,0.8888888888888888,THI,148.46038244202208,109.22559795178957,102.44391808423669,62.507946752636954,0.5,118.55041872620014,25.497472624055188,65.6041474956753
maponly_256_64_meantrain__testpool_bin8,ternary,68,,DQ,112.13582415302106,56.86168573536346,94.62702145007395,40.24216891598952,0.4117647058823529,119.28258117611745,19.28258117611745,42.88913523728589
maponly_256_64_meantrain__testpool_bin8,ternary,68,,TBZ,121.37949008460522,90.31048998816446,105.37582587967671,45.98696058825413,0.3382352941176471,119.28258117611745,19.28258117611745,42.88913523728589
maponly_256_64_meantrain__testpool_bin8,ternary,68,,THI,124.33242929072607,59.160534055838696,110.2971968320168,42.438276207614024,0.3235294117647059,119.28258117611745,19.28258117611745,42.88913523728589
maponly_256_64_meantrain__testpool_trimmed10,all,89,,DQ,114.74560462586678,58.8422169528508,101.27943470036493,43.27438070112556,0.35365853658536583,117.91407750053583,17.91407750053583,45.5311234324948
maponly_256_64_meantrain__testpool_trimmed10,all,89,,TBZ,123.81241601229054,97.91907376689308,104.14015703191848,53.55974376206085,0.3170731707317073,117.91407750053583,17.91407750053583,45.5311234324948
maponly_256_64_meantrain__testpool_trimmed10,all,89,,THI,115.18421186345017,61.210975775342106,97.5821685547808,39.75924583429798,0.3902439024390244,117.91407750053583,17.91407750053583,45.5311234324948
maponly_256_64_meantrain__testpool_trimmed10,binary,21,0.8707482993197279,DQ,92.26965130418473,62.38319307059753,72.79704902390961,52.25177664686829,0.14285714285714285,114.65935083708321,19.8129166342934,64.34680994606549
maponly_256_64_meantrain__testpool_trimmed10,binary,21,0.8707482993197279,TBZ,120.58053175358707,126.607604423047,76.30854315573791,81.63476216519268,0.21428571428571427,114.65935083708321,19.8129166342934,64.34680994606549
maponly_256_64_meantrain__testpool_trimmed10,binary,21,0.8707482993197279,THI,131.12786945347787,98.74855339223583,99.57085992317553,59.15389102613551,0.35714285714285715,114.65935083708321,19.8129166342934,64.34680994606549
maponly_256_64_meantrain__testpool_trimmed10,ternary,68,,DQ,119.37300678033071,57.476130999701006,104.11261100473352,41.42609330053147,0.39705882352941174,118.58416828418784,18.584168284187836,41.6573056208773
maponly_256_64_meantrain__testpool_trimmed10,ternary,68,,TBZ,124.47780394790595,92.0804399042892,106.22477332090702,47.77959291435724,0.3382352941176471,118.58416828418784,18.584168284187836,41.6573056208773
maponly_256_64_meantrain__testpool_trimmed10,ternary,68,,THI,111.90169412432684,50.73068661785402,97.5821685547808,35.766230647743186,0.39705882352941174,118.58416828418784,18.584168284187836,41.6573056208773
maponly_256_64_meantrain__testpool_median,all,89,,DQ,114.71598737255914,58.753586022947964,100.54082827495594,43.936811630483845,0.34146341463414637,117.48401921546206,17.484019215462066,46.560758229825204
maponly_256_64_meantrain__testpool_median,all,89,,TBZ,123.5590065479192,96.70934400720179,103.94279617714614,53.947406093918,0.32926829268292684,117.48401921546206,17.484019215462066,46.560758229825204
maponly_256_64_meantrain__testpool_median,all,89,,THI,114.17706372590786,65.19667877951542,94.92086546036094,41.79805696507375,0.35365853658536583,117.48401921546206,17.484019215462066,46.560758229825204
maponly_256_64_meantrain__testpool_median,binary,21,0.8571428571428572,DQ,91.50835165401345,62.799207820101905,71.87347852664487,53.588761839129404,0.14285714285714285,114.42373969671695,20.084838594041315,67.47886968209322
maponly_256_64_meantrain__testpool_median,binary,21,0.8571428571428572,TBZ,117.26394705705208,126.72044307588119,76.89312575491704,83.80925837787798,0.21428571428571427,114.42373969671695,20.084838594041315,67.47886968209322
