baseline,component,fold,intercept_log10,model,multiplicative_factor,ratio_slope,slope_log10,total_slope
probability_weighted_band,DQ,1,0.6027404904434643,constant_factor,4.006272541438158,,1.0,
probability_weighted_band,DQ,1,1.036372336559471,power_huber,10.87357455469476,,0.18264481503890462,
probability_weighted_band,DQ,1,0.10577615316030742,competition_ridge,1.2757810680791903,1.1753048884748676,-0.18583272540886916,0.6702764195179398
probability_weighted_band,TBZ,1,0.7970920031626778,constant_factor,6.267466238176737,,1.0,
probability_weighted_band,TBZ,1,0.7617589599990652,power_huber,5.777752843850571,,1.1047569482413022,
probability_weighted_band,TBZ,1,0.4328676410971418,competition_ridge,2.709365779045335,0.04342478769157329,0.6943591289391644,0.45522911064118204
probability_weighted_band,THI,1,0.19123370306013304,constant_factor,1.5532226070975965,,1.0,
probability_weighted_band,THI,1,0.4356005729747678,power_huber,2.726469055620401,,0.6851611453731746,
probability_weighted_band,THI,1,0.17781159930440027,competition_ridge,1.5059536287782356,0.7450665496227087,0.48660917154073213,0.18679886404868284
probability_weighted_band,DQ,2,0.5508646530378069,constant_factor,3.5552050408470564,,1.0,
probability_weighted_band,DQ,2,1.0859791247524921,power_huber,12.18931007118884,,0.010411912600954146,
probability_weighted_band,DQ,2,0.08828302217061923,competition_ridge,1.225414520469596,1.6031189525320297,-0.3023055890585556,0.6287581229481651
probability_weighted_band,TBZ,2,0.7772721734467769,constant_factor,5.987867386551336,,1.0,
probability_weighted_band,TBZ,2,0.8201055655446685,power_huber,6.608540646952471,,0.879204631231167,
probability_weighted_band,TBZ,2,0.4999835506601661,competition_ridge,3.162157887993148,0.07696154722961039,0.4493090363169117,0.4792352368969364
probability_weighted_band,THI,2,0.17609125905568135,constant_factor,1.5000000000000004,,1.0,
probability_weighted_band,THI,2,0.36497315161392563,power_huber,2.3172513914522144,,0.7517647685888108,
probability_weighted_band,THI,2,0.16097009278340524,competition_ridge,1.4486720888837608,0.586081122162126,0.5212576330059571,0.2034579585144196
probability_weighted_band,DQ,3,0.5508646530378069,constant_factor,3.5552050408470564,,1.0,
probability_weighted_band,DQ,3,1.0869789376835899,power_huber,12.21740407035727,,-0.11946094139896661,
probability_weighted_band,DQ,3,0.18027852805566003,competition_ridge,1.5145322588947672,1.2983455877161365,-0.27083087674511247,0.5511146146836826
probability_weighted_band,TBZ,3,0.767564730171258,constant_factor,5.855510042778307,,1.0,
probability_weighted_band,TBZ,3,0.8220582366353613,power_huber,6.638320808695811,,0.7934284237648855,
probability_weighted_band,TBZ,3,0.6695878148220608,competition_ridge,4.67291428460811,0.21181980440051387,0.5369548929726311,0.2130774538435081
probability_weighted_band,THI,3,0.1147084533833495,constant_factor,1.3022922419737668,,1.0,
probability_weighted_band,THI,3,0.412683309715358,power_huber,2.586326261879178,,0.6576033274247596,
probability_weighted_band,THI,3,0.1159314226029966,competition_ridge,1.305964653119504,0.672201220684818,0.416576538202045,0.2831506577700717
probability_weighted_band,DQ,4,0.5926771325258047,constant_factor,3.914507527381478,,1.0,
probability_weighted_band,DQ,4,1.1988362662304022,power_huber,15.806520038283173,,-0.05435518617785321,
probability_weighted_band,DQ,4,0.25744749348578955,competition_ridge,1.8090371831396035,1.3827207794983025,-0.26744350134836986,0.5437176827073508
probability_weighted_band,TBZ,4,0.7969082995808232,constant_factor,6.264815703639541,,1.0,
probability_weighted_band,TBZ,4,0.8180738543441618,power_huber,6.577696854686301,,1.0231761849325487,
probability_weighted_band,TBZ,4,0.6299923195866807,competition_ridge,4.265719748925995,0.16396341579164553,0.5717207078647818,0.3216758887535396
probability_weighted_band,THI,4,0.1355526195150561,constant_factor,1.3663206103118655,,1.0,
probability_weighted_band,THI,4,0.4410948255590568,power_huber,2.7611806774161782,,0.7018450149929683,
probability_weighted_band,THI,4,0.2552454771715158,competition_ridge,1.7998879820826015,0.7773884359468215,0.502750331570243,0.08705427792905164
probability_weighted_band,DQ,5,0.5735613746584791,constant_factor,3.7459448112773956,,1.0,
probability_weighted_band,DQ,5,1.1177820503079825,power_huber,13.115415397142474,,-0.09423981555532424,
probability_weighted_band,DQ,5,0.2933370655736245,competition_ridge,1.964884675748523,1.23513556932734,-0.2819951040656152,0.4983516593389935
probability_weighted_band,TBZ,5,0.7618264668200816,constant_factor,5.778651008710367,,1.0,
probability_weighted_band,TBZ,5,0.7069428949392479,power_huber,5.092639039198648,,1.0772570457733983,
probability_weighted_band,TBZ,5,0.4111790781806798,competition_ridge,2.5773837034031657,0.06336884627053993,0.626132298437252,0.4191560110841532
probability_weighted_band,THI,5,0.11498467476152185,constant_factor,1.3031207935500686,,1.0,
probability_weighted_band,THI,5,0.38566906621755365,power_huber,2.430351367798813,,0.7287242082873401,
probability_weighted_band,THI,5,0.11312960448116915,competition_ridge,1.2975664399247846,0.6514645461106529,0.42925009794486646,0.28923081835520065
direct_band_calibration,DQ,1,0.6052424234667542,constant_factor,4.029418939926797,,1.0,
direct_band_calibration,DQ,1,1.051737375046708,power_huber,11.265160275538902,,0.1521492191707787,
direct_band_calibration,DQ,1,0.1377636508474971,competition_ridge,1.373294405521984,1.2121978175137176,-0.1975133853444757,0.656788763516272
direct_band_calibration,TBZ,1,0.7992703069659506,constant_factor,6.298981124777346,,1.0,
direct_band_calibration,TBZ,1,0.7678077382630922,power_huber,5.858787391571632,,1.0974901258085477,
direct_band_calibration,TBZ,1,0.4940666599083252,competition_ridge,3.119368339544225,0.07052364295455595,0.6502770106111719,0.42675827230872593
direct_band_calibration,THI,1,0.28375077114780184,constant_factor,1.9219884396322053,,1.0,
direct_band_calibration,THI,1,0.4504177502180726,power_huber,2.8210952533845473,,0.7079737483127166,
direct_band_calibration,THI,1,0.26201342944969985,competition_ridge,1.8281567463555473,0.6974132998277021,0.5145731491987443,0.14768327746154417
direct_band_calibration,DQ,2,0.532689442574573,constant_factor,3.4094901693651436,,1.0,
direct_band_calibration,DQ,2,1.1062149190827515,power_huber,12.770706357390257,,-0.031190691782229548,
direct_band_calibration,DQ,2,0.11259706924920643,competition_ridge,1.295976329084566,1.6336845078372795,-0.3194907060019748,0.6217036980048162
direct_band_calibration,TBZ,2,0.7782792725292738,constant_factor,6.001768952019301,,1.0,
direct_band_calibration,TBZ,2,0.8288971481966675,power_huber,6.743683014924342,,0.8672875071306254,
direct_band_calibration,TBZ,2,0.5626373025984308,competition_ridge,3.6528959564156254,0.10064401169213935,0.410041041028348,0.44944653991071815
direct_band_calibration,THI,2,0.18302032412699565,constant_factor,1.5241240781355083,,1.0,
direct_band_calibration,THI,2,0.3799134821946782,power_huber,2.3983550840553542,,0.775990117042535,
direct_band_calibration,THI,2,0.2646499857990732,competition_ridge,1.839289051980835,0.5471631871136606,0.5611029680697953,0.13912826205674633
direct_band_calibration,DQ,3,0.532689442574573,constant_factor,3.4094901693651436,,1.0,
direct_band_calibration,DQ,3,1.098191567489482,power_huber,12.536940580015793,,-0.14255985363788967,
direct_band_calibration,DQ,3,0.16110348897679938,competition_ridge,1.449117125677399,1.3183448426181374,-0.27073182127543993,0.5710739016653692
direct_band_calibration,TBZ,3,0.7700215737154827,constant_factor,5.888729070765879,,1.0,
direct_band_calibration,TBZ,3,0.826763242984734,power_huber,6.710629211091641,,0.794681347634791,
direct_band_calibration,TBZ,3,0.6874583272855942,competition_ridge,4.8692080045288995,0.22879051137912776,0.5178622278285322,0.2060174618737774
direct_band_calibration,THI,3,0.13502496979790013,constant_factor,1.3646615956670447,,1.0,
direct_band_calibration,THI,3,0.4151869526198452,power_huber,2.601279106023485,,0.6892630716207035,
direct_band_calibration,THI,3,0.17070470421284023,competition_ridge,1.4815103989708678,0.6288294996597354,0.44266420979821064,0.25729766919445873
direct_band_calibration,DQ,4,0.6029348269757426,constant_factor,4.0080656550195135,,1.0,
direct_band_calibration,DQ,4,1.2101676348703503,power_huber,16.224362264346873,,-0.08541575069564211,
direct_band_calibration,DQ,4,0.28017044241672595,competition_ridge,1.906208678347733,1.4113804649960717,-0.27879122338852025,0.5355721293113087
direct_band_calibration,TBZ,4,0.7992703069659506,constant_factor,6.298981124777346,,1.0,
direct_band_calibration,TBZ,4,0.8249349153467291,power_huber,6.682437650806676,,1.0182239202636416,
direct_band_calibration,TBZ,4,0.6912301327915876,competition_ridge,4.911680773350453,0.1885381135887538,0.528697592530936,0.2897299161977911
direct_band_calibration,THI,4,0.15410816001363414,constant_factor,1.4259626820170166,,1.0,
direct_band_calibration,THI,4,0.455797554855389,power_huber,2.8562587960432873,,0.7207892715644998,
direct_band_calibration,THI,4,0.3850856920559027,competition_ridge,2.427088944648124,0.7300714915579153,0.5778146486310151,-0.027638143553287337
direct_band_calibration,DQ,5,0.5791462567038388,constant_factor,3.794427478265236,,1.0,
direct_band_calibration,DQ,5,1.1287122566793453,power_huber,13.449689449294864,,-0.12483713140732186,
direct_band_calibration,DQ,5,0.33073004089386115,competition_ridge,2.141558986061837,1.2513706487865746,-0.2904347594588141,0.47931260821635624
direct_band_calibration,TBZ,5,0.7642117782119157,constant_factor,5.810476890063059,,1.0,
direct_band_calibration,TBZ,5,0.7131737352258456,power_huber,5.166229978764443,,1.0661980567325238,
direct_band_calibration,TBZ,5,0.4449620282988943,competition_ridge,2.7858775801434654,0.08149342131363983,0.5890078009398172,0.4098574477805459
direct_band_calibration,THI,5,0.13792487862421332,constant_factor,1.3738043229095793,,1.0,
direct_band_calibration,THI,5,0.38793706699925773,power_huber,2.443076504272314,,0.7687869734530922,
direct_band_calibration,THI,5,0.15949017911717722,competition_ridge,1.4437439559354717,0.6072701711481772,0.4347789984153551,0.29165667362305964
pie_partition_raw_signal,DQ,1,1.3385594060798391,constant_factor,21.80516644325184,,1.0,
pie_partition_raw_signal,DQ,1,1.301614549775972,power_huber,20.026937836589337,,1.0187941368695486,
pie_partition_raw_signal,DQ,1,0.4278165545095678,competition_ridge,2.678036886171277,0.9889674330157959,0.43056175931755636,0.8465078873434889
pie_partition_raw_signal,TBZ,1,1.0351897536983172,constant_factor,10.844006112216944,,1.0,
pie_partition_raw_signal,TBZ,1,0.9817774765164048,power_huber,9.589091804494082,,1.3094959853298955,
pie_partition_raw_signal,TBZ,1,0.5808591031724396,competition_ridge,3.809422154286967,0.35878638233180754,0.588154517467253,0.6457869028897429
pie_partition_raw_signal,THI,1,0.7573042785564139,constant_factor,5.7187917048393615,,1.0,
pie_partition_raw_signal,THI,1,0.8022983595929413,power_huber,6.343053283203154,,0.9184713913882392,
pie_partition_raw_signal,THI,1,0.7036887017151325,competition_ridge,5.0546222145646995,0.03605747008632264,0.6051957213152531,0.3601775955986991
pie_partition_raw_signal,DQ,2,1.286463796409041,constant_factor,19.340326273635412,,1.0,
pie_partition_raw_signal,DQ,2,1.2541195362478235,power_huber,17.95227681580873,,1.0640526222179396,
pie_partition_raw_signal,DQ,2,0.3824276458565503,competition_ridge,2.4122796095367063,1.315683883586815,0.3612090461673632,0.707896574803241
pie_partition_raw_signal,TBZ,2,1.0319791678201269,constant_factor,10.764135791282282,,1.0,
pie_partition_raw_signal,TBZ,2,1.0007908820737654,power_huber,10.018227324343004,,1.1149475005744705,
pie_partition_raw_signal,TBZ,2,0.703356915416867,competition_ridge,5.050762128792865,0.29921446774646415,0.4959891796274727,0.5608113892128012
pie_partition_raw_signal,THI,2,0.7459213652804753,constant_factor,5.570848722673803,,1.0,
pie_partition_raw_signal,THI,2,0.806065904501704,power_huber,6.398319230729489,,0.8564018794907546,
pie_partition_raw_signal,THI,2,0.7491259484945222,competition_ridge,5.612107075390397,0.012579983566999645,0.5765438252193209,0.27477890039911884
pie_partition_raw_signal,DQ,3,1.1317082353447945,constant_factor,13.542792843120209,,1.0,
pie_partition_raw_signal,DQ,3,1.2202922458486085,power_huber,16.60704054043703,,1.092134972770666,
pie_partition_raw_signal,DQ,3,0.3824040950604344,competition_ridge,2.4121488006793856,1.0437557072969776,0.4929544163139984,0.7752809972259169
pie_partition_raw_signal,TBZ,3,1.009152573676549,constant_factor,10.212982169222972,,1.0,
pie_partition_raw_signal,TBZ,3,0.9660224955155159,power_huber,9.24746072545581,,1.1649231576206063,
pie_partition_raw_signal,TBZ,3,0.7043890041472507,competition_ridge,5.062779397899883,0.38560508515633063,0.5592379246110155,0.3890867630202836
pie_partition_raw_signal,THI,3,0.719266562073426,constant_factor,5.239219116815474,,1.0,
pie_partition_raw_signal,THI,3,0.7861088719798205,power_huber,6.110951993262285,,0.8820483770986141,
pie_partition_raw_signal,THI,3,0.6990382315341143,competition_ridge,5.000785556349772,-0.06775832437518853,0.5511805826447886,0.364129462582407
pie_partition_raw_signal,DQ,4,1.307857777826781,constant_factor,20.316915663592702,,1.0,
pie_partition_raw_signal,DQ,4,1.3049605657653935,power_huber,20.18183102961944,,0.8242203656401349,
pie_partition_raw_signal,DQ,4,0.4230004255438309,competition_ridge,2.6485027337431672,1.2386137659978038,0.3581163807822018,0.7225014907288214
pie_partition_raw_signal,TBZ,4,1.0648812093835787,constant_factor,11.611309714681704,,1.0,
