method,subset,component,n,recovery_mean_pct,recovery_median_pct,recovery_q1_pct,recovery_q3_pct,median_abs_recovery_error_pct,within_80_120_pct,mae_uM,pearson_r,ccc
probability_weighted_band__power_huber,all89,DQ,82,163.37265241558296,106.68716382128655,43.79453818572543,209.3057598902865,89.02409207468807,12.195121951219512,53.89468724907394,-0.3430443245479326,-0.006954663101685487
probability_weighted_band__power_huber,all89,TBZ,82,129.83038870418653,104.137767604067,51.823898613012965,197.80139264016339,56.695642165389756,23.170731707317074,51.06326017186569,0.38505026087041655,0.14781970307457462
probability_weighted_band__power_huber,all89,THI,82,120.05331593577779,103.47591160844243,53.66667084846201,158.25003151965427,51.29668471548807,28.04878048780488,45.694586311976906,0.811741467676809,0.2324195154635584
probability_weighted_band__power_huber,low_grid64,DQ,64,206.00734802439396,158.4800694375757,84.41839481738579,310.60363458095395,73.81880661010963,15.625,7.691623540278382,-0.20038541609186375,-0.08971084648750391
probability_weighted_band__power_huber,low_grid64,TBZ,64,162.05390061601213,127.73221374502498,91.98653679843541,238.1539305670546,36.574156136916145,29.6875,8.590622486513144,0.6819370650518417,0.3378943487204141
probability_weighted_band__power_huber,low_grid64,THI,64,142.48530030057168,115.26105152322116,89.2420596357427,186.05732662586914,39.148241152845316,34.375,7.516137692756351,0.7872917946978631,0.4826328159116065
probability_weighted_band__power_huber,max100,DQ,64,206.00734802439396,158.4800694375757,84.41839481738579,310.60363458095395,73.81880661010963,15.625,7.691623540278382,-0.20038541609186375,-0.08971084648750391
probability_weighted_band__power_huber,max100,TBZ,64,162.05390061601213,127.73221374502498,91.98653679843541,238.1539305670546,36.574156136916145,29.6875,8.590622486513144,0.6819370650518417,0.3378943487204141
probability_weighted_band__power_huber,max100,THI,64,142.48530030057168,115.26105152322116,89.2420596357427,186.05732662586914,39.148241152845316,34.375,7.516137692756351,0.7872917946978631,0.4826328159116065
probability_weighted_band__power_huber,binary,DQ,14,11.41725305423574,7.909675027996549,3.0809124672428334,18.24662840378398,92.09032497200346,0.0,210.3005490022239,0.2383932812515063,0.0008207674377451224
probability_weighted_band__power_huber,binary,TBZ,14,18.156970261381442,11.688250186193171,8.806570954164151,24.220607827821066,88.31174981380683,0.0,187.82357030721724,0.5016079986920747,0.13677647516205685
probability_weighted_band__power_huber,binary,THI,14,45.0655239488488,27.567601144199223,15.999945909228487,41.274514328254575,72.43239885580078,7.142857142857142,173.8300100572232,0.5854499140087385,0.07350595356606399
probability_weighted_band__power_huber,ternary,DQ,68,194.65758757821322,128.66900965466232,61.49550051130475,265.8185162050467,85.6391107015843,14.705882352941178,21.693480417543075,-0.2261924070186085,-0.008284274606416588
