method,subset,n_maps,n_present,recovery_mean_pct,recovery_median_pct,recovery_q1_pct,recovery_q3_pct,median_abs_recovery_error_pct,mean_abs_recovery_error_pct,within_80_120_pct,within_70_130_pct,within_1_5x_pct,mae_uM,euclidean_mean_uM,false_positive_mean_uM,pearson_r,spearman_r,r2_linear,ccc
probability_weighted_band__power_huber,all89,89,246,137.75211901851574,104.47305397701535,46.24209403078714,203.0844694467325,64.65932757618273,88.52819129345806,21.138211382113823,26.82926829268293,35.36585365853659,50.21751124430551,107.94884299631494,7.310711892155642,0.4791687198082731,0.4423942979252613,0.0007450719796950889,0.12375532125326381
probability_weighted_band__power_huber,low_grid64,64,192,170.18218298032593,128.06563775882267,89.74583958749263,220.53525155510158,48.6223461494067,90.79542531123774,26.5625,33.85416666666667,43.75,7.932794573182626,17.84916004973346,0.0,0.5764122574936612,0.5593547025416096,-2.443744522010798,0.3568338021402937
probability_weighted_band__power_huber,max100,64,192,170.18218298032593,128.06563775882267,89.74583958749263,220.53525155510158,48.6223461494067,90.79542531123774,26.5625,33.85416666666667,43.75,7.932794573182626,17.84916004973346,0.0,0.5764122574936612,0.5593547025416096,-2.443744522010798,0.3568338021402937
probability_weighted_band__power_huber,binary,21,42,24.879915754821997,14.895685945500169,8.201309527906567,25.41472919946395,85.10431405449984,78.86426388244784,2.380952380952381,2.380952380952381,7.142857142857142,190.6513764555548,315.6796054078937,7.310711892155642,0.34857685679875977,0.3330093190104683,-0.8955646203864835,0.0680637646672089
probability_weighted_band__power_huber,ternary,68,204,160.99051380809973,120.71783593082228,80.70878557468475,211.9375878330002,53.285942295971886,90.51782340748957,25.0,31.862745098039213,41.17647058823529,21.304656641989485,43.79669578097443,0.0,0.4517745198993485,0.49598272963504775,0.009831210629416498,0.08959819035078324
probability_weighted_band__power_huber,high_absolute,25,54,22.445224932079604,14.775176735240228,5.152652473726654,24.79410105625597,85.22482326475978,80.46691478579693,1.8518518518518516,1.8518518518518516,5.555555555555555,200.5631705194091,338.60403133956345,7.310711892155642,0.30898622907874496,0.24263248407602953,-1.1547628947828117,0.05693552377900037
direct_band_calibration__power_huber,all89,89,246,137.7347448030925,106.06596182492018,46.01179449390253,199.80218670915087,66.09118416471605,88.86345745563966,19.51219512195122,25.609756097560975,35.36585365853659,50.128526219374166,107.7630695946665,7.494521025862786,0.47222315682085386,0.4281514313967003,0.010799886200566489,0.13425558963116474
direct_band_calibration__power_huber,low_grid64,64,192,170.21664820591343,130.7183936425407,88.92933580342428,221.50220930039163,49.32283432204153,91.07151266903925,23.958333333333336,31.770833333333332,44.27083333333333,8.03972459101456,18.250651442775926,0.0,0.5721084411736765,0.555824590219033,-2.6269274267086447,0.3485951481513488
direct_band_calibration__power_huber,max100,64,192,170.21664820591343,130.7183936425407,88.92933580342428,221.50220930039163,49.32283432204153,91.07151266903925,23.958333333333336,31.770833333333332,44.27083333333333,8.03972459101456,18.250651442775926,0.0,0.5721084411736765,0.555824590219033,-2.6269274267086447,0.3485951481513488
direct_band_calibration__power_huber,binary,21,42,24.813251161333284,14.905472661773985,8.367100112996944,25.90598410188453,85.09452733822602,79.37319806859998,4.761904761904762,4.761904761904762,4.761904761904762,190.30906382753716,314.6249319233494,7.494521025862786,0.35364065714485027,0.3397003872440635,-0.8808662932982978,0.07450082470852379
