sample,row,col,x_um,y_um,ink2137,DQ_1179,DQ_1521,DQ_1576,DQ,DQ_over_ink,TBZ_779,TBZ_1011,TBZ_1549,TBZ,TBZ_over_ink,THI_556,THI_1138,THI_1365,THI,THI_over_ink
leaf_dq,7,8,400,350,17603.1,7173.14,9756.21,18522.7,11817.4,0.671323,3571.73,2190.99,11621.4,5794.7,0.329186,3620.19,2817.74,4926.08,3788,0.21519
leaf_dq,7,9,450,350,16122.1,6796.49,7380.05,17859.9,10678.8,0.662372,3718.62,1543.94,11050.7,5437.76,0.337287,5863.82,5035.77,5046.85,5315.48,0.329702
leaf_dq,6,9,450,300,13620.3,7575.53,12871.4,21836,14094.3,1.0348,1784.3,2263.12,15418.5,6488.62,0.476392,3128.13,5439.66,4574.28,4380.69,0.321628
leaf_dq,6,8,400,300,16185.6,7576.61,9708.42,21463.7,12916.2,0.79801,2766.93,4481.92,18093,8447.29,0.521903,6041.51,7141.94,7530.2,6904.55,0.426587
leaf_dq,6,7,350,300,12773.2,6370.16,14575,17383.6,12776.3,1.00024,2443.1,1683.4,17107,7077.85,0.554119,3902.93,6095.99,5809.39,5269.44,0.41254
leaf_dq,6,6,300,300,12608.5,8068.57,6342.19,14962.6,9791.11,0.776547,2514.22,1070.58,12015.2,5199.99,0.412419,4505.27,6618.18,4652.45,5258.64,0.41707
leaf_dq,6,5,250,300,24279.6,6779.22,10186,20290.9,12418.7,0.511486,2434.35,2354.75,11130.3,5306.46,0.218556,2844.05,2123.06,3711.22,2892.78,0.119144
leaf_dq,6,4,200,300,32543.2,14878.9,21096.1,42819.2,26264.8,0.807074,3499.96,1552.51,21295.3,8782.58,0.269875,3595.04,10567.9,5699.96,6620.96,0.203452
leaf_dq,6,3,150,300,23988.4,8941.49,12465.7,29367,16924.7,0.70554,4945.47,2439.64,9309.45,5564.86,0.231981,3544.22,1844.27,5814.77,3734.42,0.155676
leaf_dq,6,2,100,300,15057,7622.5,7773.48,21025.9,12140.6,0.806312,3941.49,3383.56,13678.8,7001.3,0.464986,8085.85,6614.38,8469.74,7723.32,0.512939
leaf_dq,6,1,50,300,30284.3,13421.1,18016.4,43538.3,24991.9,0.825243,6456.2,3071.91,16078.4,8535.49,0.281845,4221.45,3655.46,6626.93,4834.62,0.159641
leaf_dq,6,0,0,300,63107.2,18002.8,25561.5,60560,34708.1,0.549986,5594.57,6142.78,20679.8,10805.7,0.171228,5331.39,3311.09,8399.42,5680.64,0.0900156
leaf_dq,5,0,0,250,59077.4,22101.2,31312.2,59019.9,37477.8,0.634384,4427.24,3985.87,25769.9,11394.3,0.192871,3919.92,6428.62,9397.87,6582.14,0.111415
leaf_dq,5,1,50,250,52907.9,17224.3,25694.2,57928.7,33615.7,0.635363,5029.55,3510.92,18663.7,9068.05,0.171393,4104.68,4196.95,6452.42,4918.02,0.0929543
leaf_dq,5,2,100,250,18199.9,9661.57,15380,27355.5,17465.7,0.959661,2424.23,2773.53,14459.1,6552.29,0.360019,4621.84,5247.52,4380.47,4749.94,0.260988
leaf_dq,5,3,150,250,18640.7,6590.5,8701.57,21078.4,12123.5,0.650376,4345.28,1822.43,9663.54,5277.09,0.283094,3627.91,2255.75,5064.34,3649.34,0.195772
leaf_dq,5,4,200,250,26783.5,8755.39,14280.1,29811.4,17615.6,0.657705,4446.01,2152.9,12568.7,6389.2,0.23855,3549.05,4546.55,4628.3,4241.3,0.158355
leaf_dq,5,5,250,250,15387.9,7827.56,11347,23519.6,14231.4,0.924845,4325.2,2765.62,17809.7,8300.19,0.539398,7032.91,7224.34,6771.94,7009.73,0.455536
leaf_dq,5,6,300,250,20884.2,5670.35,9811.2,21744.3,12408.6,0.594163,3869.92,2831.83,9590.55,5430.77,0.260042,3578.05,3012.95,4981.79,3857.59,0.184713
leaf_dq,5,7,350,250,14480.9,9519.95,17054.9,23760.5,16778.4,1.15866,3872.49,2191.23,14780.6,6948.1,0.479811,2624.16,6540.36,5175.86,4780.13,0.330099
leaf_dq,5,8,400,250,13660.7,8820.69,16027.7,18397.9,14415.4,1.05525,3407.44,1818.01,13278.1,6167.87,0.451503,2947.53,21481.3,4065.74,9498.19,0.695292
leaf_dq,5,9,450,250,15040.9,8361.25,12582.8,20694.9,13879.6,0.922791,2530.63,1735.18,13711.4,5992.42,0.398407,3410.34,8415.83,3487.33,5104.5,0.339374
leaf_dq,4,9,450,200,18677,10398.3,23441.5,34773.3,22871,1.22456,1694.58,4994.34,32534.3,13074.4,0.700027,7190.09,7778,10392.8,8453.64,0.452623
leaf_dq,4,8,400,200,12096.9,4709.84,8098.02,13997.5,8935.13,0.738632,3669.08,2222.78,10318.6,5403.47,0.446684,3359.5,2699.14,3685.85,3248.16,0.268513
leaf_dq,4,7,350,200,17746.5,7323.15,10561.4,23155.2,13679.9,0.770854,3538.14,2787.41,8562.3,4962.62,0.27964,3975.99,1820.07,4881.76,3559.27,0.200562
leaf_dq,4,6,300,200,14158,10120.6,10211.3,24589.2,14973.7,1.05762,3009.46,2454.18,18584.2,8015.96,0.56618,7816.65,6637,7473.39,7309.01,0.516247
leaf_dq,4,5,250,200,11748,8153.83,14090.7,18433.7,13559.4,1.15419,4483.81,3443.03,13974.8,7300.53,0.621429,2884.03,3236.78,3725.25,3282.02,0.279369
leaf_dq,4,4,200,200,20356.5,7295.95,12982.2,25467.9,15248.7,0.749081,5018.71,2121.07,11667.1,6268.96,0.307958,3722.38,4333.41,4809.41,4288.4,0.210665
leaf_dq,4,3,150,200,15131.7,8140.64,11649.5,20169.5,13319.9,0.880262,3713.02,1632.58,11509.2,5618.25,0.371289,3390.98,4270.76,4046.69,3902.81,0.257922
leaf_dq,4,2,100,200,29015.7,9064.61,14989.8,35674.1,19909.5,0.686162,3880.74,3136.56,13199.8,6739.04,0.232255,4212.75,5558.77,5229.33,5000.29,0.17233
leaf_dq,4,1,50,200,27850.9,11170.1,16694.7,35775.1,21213.3,0.761675,4630.19,2552.49,12358.9,6513.86,0.233884,4489.47,1971.01,5517.81,3992.76,0.143362
