16967,11869.2,13897.6,15505.7,19862.6,23963,28710.5,16180.8,19348.2,22266.9
12646.9,39460.6,12952.8,24902.8,20143.2,19354.1,23525.5,18565.1,26271.8,25150.5
14802.6,24252,15328.1,26072,19802,18395,22516.2,16108,16252.4,21690.7
13239.6,21861.7,23280.2,11005.6,21132.6,27700.2,26685.3,15159,20054.6,22940.1
17001.6,13170,15869.4,30381.8,18154.6,19285.2,23138,33041.9,28078.1,21398.8
21107.4,14923.1,27763.9,14584.9,21937.1,19183.2,25820.5,27321.8,18235.6,27226.3
20255.3,14738.3,16544.8,17865.1,15927.5,15650.7,25419.9,23937.1,17926.1,23689.9
16610.7,15466.4,19004.8,20419.7,19898.3,22872.3,30122.7,24873.6,24005.9,18858.6
16417,16747.8,17317.3,15892.3,20901,21699.9,22344.7,21026.9,18793.3,20556.5
9420.88,23738.8,11978.9,21750,17668.8,16419.5,17718.5,38016.9,23447.9,20542.8
