15269.7,18838.1,10684.7,10442,9765.73,15902.5,12830.8,15674.4,14597.6,16988.6
12069.8,17354.7,12191.6,12741.9,8954.39,14771.4,19848.5,15274.4,10179.5,9987.52
28180.9,18357.2,23056.2,20573.7,30674.4,17469.5,19576.5,26561.2,25395.3,12166
19067.4,15756.2,13322,20128.2,14590.7,24026.5,33542.4,17909,16414.4,12012.7
17399.5,11437.9,11832.7,18273.6,15533.5,16371.4,18657.6,16351.7,15110.7,16801.1
16052.3,12877.6,13878.5,14681.9,12783.2,13377.4,18377.6,19946.7,14358.2,16357.9
18694.6,13994.7,19389.6,16253,13152.5,32383,25580.7,14073.7,14174.5,17724.6
15321.7,14555.2,14103.4,16868.6,13087.5,18283.2,13205.8,17711.2,20585.6,12455.2
10912.9,11153.3,17844.9,14748.8,13290.2,17532.2,12784.5,12787.3,18321.6,10790.7
10659.6,11575.3,11898.6,15948,13358.8,11920.2,15198.1,15922.8,14940.6,14486.8
