0.383796,0.344347,0.319251,0.266671,0.989573,0.422059,0.361223,0.370983,0.663234,0.672206,0.384704,0.651883,0.96366,0.2867,0.284666,0.245532,0.244585,0.320118,0.309328,0.327096
0.260681,0.279587,0.400997,0.650873,0.6359,0.415853,0.409759,0.565385,0.62116,0.698107,0.493045,0.482779,0.63329,1.05275,0.393921,0.24619,0.289421,0.275895,0.31812,0.384276
0.347758,0.609155,0.635806,0.565185,0.467168,0.567373,0.573913,0.433387,0.748703,0.596233,0.664527,0.749141,0.336578,0.745936,0.519048,0.289369,0.407335,0.260309,0.324677,0.36899
0.532285,0.807656,0.549029,0.413179,0.575882,0.537197,0.572681,1.01977,0.647438,0.618429,0.736875,0.585345,0.604147,0.603741,0.713853,0.658483,0.370953,0.401986,0.397357,0.372768
0.528253,0.560089,0.810274,0.754508,0.359742,1.04218,0.440541,0.738733,0.984395,0.890266,1.24707,1.59536,1.12896,1.25326,1.23029,0.57178,0.643622,0.600574,0.461089,0.812686
0.568644,0.546683,0.892641,0.675802,0.516386,0.495728,0.49171,0.983294,1.38958,1.40887,1.17445,1.21414,0.677829,0.699523,0.721848,0.821207,0.527348,0.336749,0.509188,0.518236
0.713956,0.814104,0.679452,0.843138,0.812849,0.792202,0.575509,0.59702,0.541785,1.30429,0.908432,1.03226,0.909265,0.785479,0.846907,1.08502,0.521413,0.487148,0.486421,0.504467
0.868037,1.08338,0.713051,0.868287,1.14166,0.434983,0.523019,0.4519,0.561816,0.627378,0.410475,0.444469,0.429899,1.15085,1.74877,0.587541,0.629121,0.877141,0.511141,1.4436
1.23058,0.820379,1.43799,1.28477,0.757602,0.724376,0.962393,1.01209,0.859716,0.518828,0.409535,0.448792,0.647653,1.10568,0.867813,0.771694,1.36518,1.41767,1.01885,0.878206
0.688352,0.889648,1.16326,1.45474,0.76675,0.919466,0.673332,0.615121,0.851413,0.423147,1.08507,0.502293,0.671878,0.531601,0.663201,1.06153,1.19844,1.46006,0.745679,0.668031
0.416347,0.843132,1.07029,0.751703,0.846531,1.35221,1.47382,0.855979,0.511235,0.770657,0.504201,1.14281,0.792408,0.654642,0.570066,0.721898,0.679168,0.737717,0.978071,0.945827
0.282971,0.40431,0.668698,0.683177,0.839365,1.4225,1.40138,0.577901,0.570899,1.37544,0.670981,0.851049,0.642753,0.627305,1.80469,0.864244,0.741194,0.638995,0.689399,0.594785
0.345986,0.268725,0.323973,0.314495,0.496985,0.510331,0.566204,0.339518,0.426555,0.500379,0.552013,0.593022,0.527197,1.09941,0.87526,0.894357,0.700818,0.888226,0.82895,0.989728
0.395221,0.242121,0.351541,0.244341,0.362182,0.340126,0.309676,0.544083,0.78881,0.84718,0.829404,1.06745,0.678732,1.19325,0.743202,0.701233,0.320353,0.750695,1.20185,0.74103
0.353199,0.395149,0.353734,0.269075,0.323661,0.237369,0.389622,0.341838,0.484407,0.650857,0.945217,0.420943,0.809718,0.580906,0.883339,0.620957,0.735128,0.448922,0.847866,0.650159
0.275402,0.363425,0.431502,0.247733,0.312431,0.336801,0.546607,1.25757,0.66773,0.499399,0.547115,0.554374,0.634003,0.4366,0.483969,0.517574,0.573855,0.500855,0.257057,0.274621
0.307625,0.27078,0.252927,0.422978,0.375699,1.48474,0.51828,1.36174,0.804233,0.604098,0.697803,0.697646,0.818473,0.354114,0.444487,0.521622,0.292796,0.264774,0.32063,0.407474
0.277588,0.249265,0.273614,0.313942,0.283351,0.651836,0.446635,0.708029,0.687995,0.740156,0.522308,0.374396,0.488042,0.483051,0.557615,0.365778,0.291201,0.283049,0.294657,0.268936
0.395916,0.306164,0.323194,0.29184,0.268625,0.662562,0.784518,1.12777,0.652764,0.422433,0.777486,0.552887,0.412063,0.614436,0.720527,0.291683,0.299426,0.242359,0.330489,0.319606
0.326941,0.285885,0.295586,0.352053,0.32409,0.345889,0.336908,0.657353,0.630677,0.388796,0.739218,0.2947,0.268219,0.326313,0.304894,0.226163,0.303323,0.317375,0.288141,0.330306
