0.359318,0.478092,0.154635,0.196285,0.119382,0.1901,0.204614,0.220772,0.143368,0.279628
0.153843,0.146394,0.17589,0.144431,0.136332,0.228211,0.350706,0.415027,0.313436,0.358458
0.17081,0.165137,0.201039,0.258695,0.141859,0.19211,0.255681,0.312993,0.329186,0.337287
0.171228,0.281845,0.464986,0.231981,0.269875,0.218556,0.412419,0.554119,0.521903,0.476392
0.192871,0.171393,0.360019,0.283094,0.23855,0.539398,0.260042,0.479811,0.451503,0.398407
0.290554,0.233884,0.232255,0.371289,0.307958,0.621429,0.56618,0.27964,0.446684,0.700027
0.237707,0.246789,0.71724,0.294081,0.314089,0.34103,0.446319,0.508488,0.466515,0.434784
0.260585,0.236114,0.425564,0.430879,0.348526,0.462146,0.474804,0.466856,0.372381,0.415735
0.279826,0.340352,0.370087,0.413963,0.247723,0.323493,0.316823,0.410391,0.391625,0.310041
0.569434,0.622947,0.610893,0.720521,0.231925,0.329597,0.638701,0.516838,0.703791,0.335813
