9725.46,7721.44,8871.63,11106,12522.2,9483.84,10306.6,9441.4,10275.2,12192.3,8699.49,14819.8,19851.5,9833.42,8358.19,8771.87,9683.95,8355.74,8743.6,8268.14
9507.22,8711.96,9000.27,12616.1,9776.48,9726.1,9547.57,8020.19,11719.3,9840.01,10599.8,9341.53,12560,7920.22,7167.85,10047.8,8421.06,9675.36,8635.52,7378.25
8304.67,8686.98,8475.18,7348.04,9983.64,9912.79,10774.5,9397.78,8341.24,11391.5,9599.98,9630.43,9967.19,10155.6,6754.79,8693.55,7936.53,10169,7367.53,7827.46
7510.21,10132,8894.81,9681.77,10486.3,9624.53,10115.1,9670.92,10282.2,9504.53,9733.92,9241.14,7945.08,9376.69,9550.42,8933.79,8045.53,9378.11,7767.2,7607.91
6974.27,8763.75,10057.4,8846.19,10378.2,11037.3,9475.96,9719.26,10122.4,9746,11137.7,12183.3,11078.8,10821.3,13801.9,11145.7,11054.5,10545.8,10775.8,10611.1
13194.8,9902.46,10985.1,10064.1,10698.1,15279.6,14687,11707.7,13334.9,13214.7,12082.8,10071.3,13728.1,9057,9630.62,15172.5,7743.16,13623.6,12293.6,8938.23
11791.8,12762.2,11763.6,15732,11729.1,13846.4,10706.7,10550.5,12182,13094.7,11163.3,12176.4,13678.1,15914.2,14289.5,8997.54,8980.54,10800.5,11530.5,9359.18
12675.2,14473.3,9957.65,14511.6,13308.5,11436,14297.8,16004.4,12236.7,15492.4,13879.7,20656,19750.2,12886.5,13802.8,22625,9492.71,10376.3,8643.83,10690.6
15111,11555.1,12726.3,12065.1,10484.8,11677.2,11837.3,12989.1,20223.5,16690.5,15740.4,14115.9,18432.9,16152.6,13690.9,10750.1,11263.5,9680.81,17254.6,17975.9
11192.7,11141.1,11086,11928.9,16863,12193.2,9141.18,11251,19898.4,17219.6,14201,12406.2,16840.9,14388.4,12838.8,14297.1,11047.7,13402.7,18121.3,12511.5
13894.9,21297.6,12248.7,16092.7,13582.1,11563.2,11851.6,10948,17197.2,9837.26,15682.5,15235.3,9891.45,13861.5,10705.6,16968.3,11558.4,10735.3,12049.1,13356
13882.6,11431.6,12634.2,10285.9,12654.1,14236.9,16731.9,17539.1,13326.7,18259.2,12145.5,16809.7,15299.1,12053.8,11905.4,10313.8,13088.6,14078.2,11225.6,14343.1
11407.4,10994,9606.1,17817,11958.2,12423.6,12190.5,20894.5,16891.5,21209,13482.2,19397.2,12123.3,10755.4,8703.77,19731,11009.9,12508.6,11470,13494.2
11900.3,12425.6,12686.9,14432.8,20355.3,12655.8,26974.5,10453.5,14060.7,16866,15091.3,12411.6,16595.7,22012.4,16088.2,13068.6,38662.8,8730.69,16544.3,7776.32
7997.55,8644.93,10994.4,12364.2,12634,13659.6,18421.2,13789.5,22288.4,11082.1,14552,22503.2,20915.8,11846.5,9225.81,14224.1,10170.8,13867.8,13279.1,9260.34
9795.52,9417.19,11440.5,11689.1,14010.3,12046.1,7697.86,16757.3,13377.1,10305.3,12336.5,8830.86,10020.5,15279.6,11176,9513.47,12980.5,9849.54,7331.19,9030.87
8483.23,8568.11,8098.95,13720.8,15302.5,16352,15793.9,15086.2,13327.8,12649,10611.5,12448.8,12445.5,9485.34,8645.54,8113.36,7488.47,8936.59,7172.79,6503.88
9991.86,9089.5,8282.02,7115.1,9611.75,13312.2,13217.3,16888.4,12722,8861.97,13972.3,10893.4,12295.2,40084.4,12994.5,7610.73,8886.06,8488.74,8181.35,7562.55
6692.98,8079.62,8209.31,8844.39,8504.16,8293.9,12653.2,13276.5,23314.3,9948.51,12502.3,9237.45,12618.2,7941.73,12371.9,7666.11,7668.9,10263.5,7893.2,8526.78
8679.8,9842.44,8081.04,7562.4,8200.46,8120.79,9428.18,20855.5,15105.3,10292,19899.1,9175.1,9134.12,8216.53,7501.4,8301.52,7649.52,8469.91,8679.24,8246.52
