0.228216,0.193766,0.589133,0.187129,0.326919,0.170964,0.123038,0.247226,0.15404,0.150449
0.257216,0.119057,0.211345,0.123881,0.164837,0.164066,0.187267,0.171864,0.151704,0.22621
0.250285,0.192558,0.205679,0.1488,0.151466,0.153403,0.206351,0.154458,0.201597,0.290589
0.20767,0.163331,0.169105,0.273088,0.185223,0.128267,0.123261,0.197136,0.163441,0.165488
0.253585,0.220007,0.184306,0.134098,0.247772,0.209316,0.154954,0.119945,0.216386,0.192195
0.242192,0.181575,0.138041,0.225035,0.129544,0.301678,0.173101,0.146057,0.167429,0.146317
0.161674,0.20684,0.181719,0.219223,0.348723,0.19875,0.235554,0.192592,0.178483,0.135103
0.173452,0.245451,0.187425,0.150541,0.170906,0.180622,0.130035,0.134178,0.132597,0.17981
0.176998,0.192269,0.167729,0.209393,0.120329,0.153523,0.155455,0.133873,0.180544,0.170769
0.389533,0.553942,0.236239,0.186518,0.162085,0.181377,0.193801,0.140504,0.207271,0.166925
