wavenumber_cm-1,leaf_dq_median,leaf_dq_q25,leaf_dq_q75,leaf_dq_median_over_ink,leaf_dq_minus_control,leaf_tb1_median,leaf_tb1_q25,leaf_tb1_q75,leaf_tb1_median_over_ink,leaf_tb1_minus_control,leaf_thi2_median,leaf_thi2_q25,leaf_thi2_q75,leaf_thi2_median_over_ink,leaf_thi2_minus_control,cov3_median,cov3_q25,cov3_q75,cov3_median_over_ink,cov3_minus_control,leavesmix_median,leavesmix_q25,leavesmix_q75,leavesmix_median_over_ink,leavesmix_minus_control,leavesmix2peel_median,leavesmix2peel_q25,leavesmix2peel_q75,leavesmix2peel_median_over_ink,leavesmix2peel_minus_control,leavesmix2peel2_median,leavesmix2peel2_q25,leavesmix2peel2_q75,leavesmix2peel2_median_over_ink,leavesmix2peel2_minus_control
123.25,398.277,299.611,580.154,0.0223142,0.0106991,637.891,549.423,718.32,0.0304753,0.0188602,227.812,166.9,301.399,0.0149169,0.00330179,232.029,189.201,280.983,0.0116151,0,397.234,218.776,568.588,0.0357166,0.0241014,315.739,257.051,417.172,0.0383374,0.0267223,590.748,451.682,736.275,0.0428174,0.0312022
124.80,380.154,271.211,517.656,0.0212988,0.0109967,684.884,593.033,772.683,0.0327204,0.0224183,186.574,135.315,281.097,0.0122167,0.00191454,205.8,147.125,264.237,0.0103021,0,476.592,299.928,663.687,0.0428519,0.0325498,234.654,171.858,332.648,0.0284919,0.0181898,673.569,544.656,842.645,0.0488202,0.0385181
126.35,386.076,321.871,548.178,0.0216306,0.00795821,745.672,670.533,860.265,0.0356245,0.0219521,237.609,178.735,306.37,0.0155584,0.001886,273.126,223.087,340.9,0.0136724,0,527.166,337.208,724.799,0.0473992,0.0337268,279.338,217.881,387.817,0.0339175,0.0202451,661.005,517.795,840.087,0.0479095,0.0342371
127.90,427.674,354.909,592.53,0.0239613,0.007936,772.586,697.967,900.963,0.0369104,0.0208851,269.153,196.747,338.079,0.0176239,0.00159862,320.128,266.034,393.035,0.0160253,0,550.811,350.384,756.504,0.0495252,0.0334999,304.588,241.508,418.248,0.0369834,0.0209582,671.231,521.236,830.622,0.0486507,0.0326255
129.45,452.503,361.561,643.977,0.0253523,0.00822123,745.736,607.354,849.37,0.0356276,0.0184965,225.177,166.957,324.26,0.0147444,-0.00238676,342.219,293.844,425.662,0.0171311,0,544.537,353.769,736.615,0.0489611,0.03183,265.997,202.914,390.815,0.0322976,0.0151665,738.072,588.626,906.566,0.0534954,0.0363643
131.00,467.494,359.241,645.368,0.0261922,0.00679886,812.498,703.575,915.442,0.0388172,0.0194238,253.007,207.043,332.536,0.0165667,-0.00282668,387.41,324.17,447.157,0.0193934,0,557.329,369.069,746.484,0.0501113,0.0307179,344.235,280.192,452.35,0.0417974,0.0224041,715.047,576.711,914.707,0.0518265,0.0324331
132.55,519.091,411.899,677.79,0.0290831,0.0100007,886.952,780.364,1004.52,0.0423742,0.0232919,266.921,215.481,353.545,0.0174778,-0.00160457,381.197,323.545,445.714,0.0190823,0,568.066,366.903,767.986,0.0510766,0.0319943,388.602,320.635,499.205,0.0471845,0.0281021,710.111,572.304,897.208,0.0514688,0.0323864
134.10,586.384,497.683,736.815,0.0328533,0.0169975,899.678,784.535,1029.77,0.0429822,0.0271264,276.948,210.056,367.986,0.0181343,0.00227853,316.743,274.767,396.05,0.0158558,0,566.16,356.707,770.04,0.0509053,0.0350495,369.561,298.747,500.306,0.0448724,0.0290166,695.475,542.381,865.782,0.0504079,0.0345521
135.65,552.023,479.67,720.549,0.0309281,0.014934,935.717,841.171,1067.79,0.044704,0.0287098,343.772,258.342,398.239,0.0225099,0.0065157,319.506,265.125,403.422,0.0159942,0,532.154,337.995,742.118,0.0478477,0.0318535,273.364,208.794,389.108,0.0331922,0.017198,742.51,576.791,899.798,0.053817,0.0378229
137.20,560.648,470.373,739.718,0.0314114,0.0167822,939.088,821.71,1046.34,0.044865,0.0302359,344.48,282.072,410.152,0.0225563,0.00792711,292.238,231.88,363.716,0.0146292,0,518.279,345.961,734.915,0.0466001,0.031971,219.6,155.772,338.878,0.026664,0.0120349,694.447,552.084,854.289,0.0503334,0.0357043
138.75,604.439,496.409,759.451,0.0338648,0.0226795,869.312,774.068,1005.94,0.0415315,0.0303461,308.225,233.124,383.096,0.0201823,0.00899692,223.444,176.347,307.151,0.0111854,0,540.179,361.221,753.117,0.0485693,0.0373839,243.629,159.841,356.283,0.0295817,0.0183963,583.772,442.425,738.055,0.0423117,0.0311263
140.30,569.666,477.529,715.413,0.0319166,0.0182504,906.548,766.227,1038.1,0.0433104,0.0296442,293.49,230.984,382.812,0.0192174,0.00555123,273.002,217.564,332.204,0.0136662,0,583.539,408.136,772.867,0.0524678,0.0388016,284.327,205.598,399.996,0.0345233,0.0208571,577.347,455.696,746.509,0.041846,0.0281798
141.85,490.056,424.39,662.116,0.0274563,0.0153906,899.375,741.352,1021.26,0.0429677,0.030902,271.982,232.713,361.678,0.0178091,0.00574343,241.03,193.277,303.096,0.0120657,0,571.921,393.176,754.481,0.0514233,0.0393576,341.892,276.337,471.307,0.0415129,0.0294472,562.526,458.352,737.483,0.0407718,0.0287061
143.40,400.517,310.432,541.298,0.0224397,0.014773,830.049,692.15,1004.57,0.0396557,0.0319889,261.766,195.081,332.221,0.0171402,0.00947348,153.154,107.085,211.972,0.00766673,0,482.763,322.654,667.14,0.0434068,0.0357401,425.717,364.893,561.431,0.0516911,0.0440243,532.874,453.529,664.209,0.0386226,0.0309559
144.95,471.249,371.611,594.147,0.0264026,0.0163237,758.661,633.27,926.366,0.0362451,0.0261662,163.338,107.958,232.566,0.0106952,0.000616319,201.34,138.681,237.006,0.0100789,0,488.632,351.533,644.951,0.0439345,0.0338556,395.671,326.732,522.96,0.0480427,0.0379639,484.527,400.471,620.925,0.0351184,0.0250395
146.50,436.446,335.826,555.683,0.0244527,0.0159113,703.713,535.68,842.626,0.03362,0.0250785,129.682,74.1567,189.314,0.00849145,-4.99875e-05,170.627,127.177,216.777,0.00854144,0,467.257,331.559,618.085,0.0420126,0.0334711,367.404,306.211,485.599,0.0446106,0.0360691,375.947,300.134,494.088,0.0272486,0.0187072
148.05,312.365,207.599,415.759,0.0175008,0.0131854,612.23,439.834,741.1,0.0292493,0.024934,142.831,76.347,223.146,0.00935244,0.00503706,86.2057,48.3191,159.097,0.00431537,0,424.442,300.352,565.558,0.0381629,0.0338476,362.809,289.39,471.061,0.0440527,0.0397373,227.515,150.692,329.863,0.0164903,0.0121749
149.60,307.268,207.39,386.096,0.0172153,0.013816,622.696,453.077,758.588,0.0297494,0.0263501,154.97,116.253,235.714,0.0101473,0.00674805,67.9051,33.7318,123.849,0.00339926,0,483.482,351.981,608.739,0.0434714,0.0400722,346.628,276.375,437.262,0.042088,0.0386887,197.075,136.924,288.734,0.014284,0.0108847
151.15,275.077,191.68,373.502,0.0154117,0.0106803,607.758,428.691,727.689,0.0290357,0.0243042,126.842,83.8316,204.234,0.00830549,0.00357402,94.518,50.124,138.069,0.00473147,0,465.309,356.625,612.049,0.0418374,0.0371059,317.686,255.366,414.617,0.0385738,0.0338423,189.476,131.613,278.854,0.0137332,0.00900174
152.70,266.413,160.525,358.153,0.0149263,0.00803485,526.235,389.241,678.671,0.0251409,0.0182495,57.0866,22.5473,129.204,0.00373798,-0.00315344,137.666,92.8403,185.722,0.00689143,0,413.241,309.532,562.992,0.0371559,0.0302644,290.119,226.397,399.971,0.0352266,0.0283352,206.392,145.58,303.864,0.0149592,0.00806781
