12858.5,11865.8,14502.7,11381.6,16411.2,11750.2,12815.5,13152.5,32025.6,11593.3
14152.9,12390.4,12670.1,14058.2,12167.8,16459.4,12469.2,12169.5,20933,11337.3
11809.8,14358.6,13342.9,11131.2,11130.4,17058.6,12417.6,15400.6,9874.25,11922.4
22135.4,23156.4,10804.9,14120.1,13384.7,11583.7,12137.3,12712.9,11180,12589.1
31219.9,33368.9,13055.6,19905.4,14651.9,16677.8,11070.4,12063.2,13316.2,14777.1
28106.3,33435.2,20094,11507,14937.4,13224.7,16696.9,14648.7,15518.8,11578.5
21626.3,11009.2,32691.9,15318.1,16015.3,15833.5,13798,13028.9,15328.1,15645.1
11556.3,11323.8,12756.6,13795.9,14078.9,13710.3,15005.9,15413.7,11034,15965.9
11638.5,17537.5,16529.3,13863.8,13545.3,14851.8,16818.3,14588.7,14437.2,11668.9
12981.2,9307.35,13478.4,13947.7,13813.7,13755.5,13668.7,14765.9,15705.9,15606.3
