33209.3,34386.3,24727.2,20101.8,22206.7,28188.8,25649.9,22236.5,14779.2,42054.3
9584.64,13178.7,20235.6,21150.2,22274.1,14463.5,23227.2,13083,17402.4,14055.7
17688.2,22875.7,21333.8,19238.8,17449.5,24858.7,20221.5,16658,27865.6,23954.9
21947.6,21752.9,24526.7,25772.6,21444,18559.3,18589.8,27696.3,19232,23232.4
21235.6,22568,19303.8,22103.4,20297.6,20681.8,25750.6,21429.6,18950.1,31881.4
19040.6,19060.5,23486.4,19648.6,19863.7,17546.5,27206.3,16941,21370.2,21091.9
21030.3,24277,19630.6,20602.8,25721.3,18305.2,14644.7,13441.9,17858.6,27022
20345.6,19630.4,15728.2,25696.1,20067.3,22804.4,23519.7,21160.8,13543.5,19998.9
22591.3,21519.6,24846.3,23805.2,23086.7,20832.5,22630.2,24753.9,17534,15721.9
20791.4,23040.1,21994.4,18569.8,18213.9,15720.1,16715,16265,15831.8,13695.8
