0.252836,0.223282,0.628279,0.228583,0.496931,0.261395,0.168752,0.317948,0.188563,0.218878
0.345318,0.188067,0.286869,0.146035,0.213631,0.201964,0.384841,0.252436,0.23118,0.376908
0.356776,0.305606,0.21838,0.208555,0.214545,0.268217,0.189289,0.235609,0.396377,0.558756
0.249152,0.254023,0.246758,0.390069,0.264823,0.177308,0.181033,0.227323,0.276558,0.262785
0.386065,0.255155,0.305006,0.201244,0.338562,0.311795,0.283883,0.171218,0.279209,0.279924
0.358475,0.226701,0.200414,0.248006,0.169123,0.523151,0.255311,0.389183,0.184355,0.182219
0.217861,0.258699,0.224645,0.281476,0.620289,0.385938,0.388499,0.258003,0.199945,0.195315
0.208852,0.374318,0.260127,0.249952,0.233807,0.283075,0.150731,0.151802,0.228647,0.193168
0.198832,0.257554,0.212937,0.213663,0.193344,0.224163,0.207344,0.185778,0.244251,0.233528
0.628246,0.771188,0.291659,0.208367,0.154137,0.231245,0.274899,0.233483,0.318375,0.250997
