condition,mixture_type,true_total_uM,true_DQ_pct,true_TBZ_pct,true_THI_pct,mlp_DQ_pct,mlp_TBZ_pct,mlp_THI_pct,composition_MAE_pct_point,true_point_role,predicted_point_role
DQ0-TB50-TH150,binary,200,0,25,75,11.888648648294954,41.32907480504952,46.782276546655524,18.811815635562983,open_symbol,filled_symbol
DQ0-TB50-TH250,binary,300,0,16.666666666666668,83.33333333333333,14.33316089789441,13.99356445169862,71.67327465040697,9.555440598596272,open_symbol,filled_symbol
DQ0-TB50-TH500,binary,550,0,9.090909090909092,90.9090909090909,17.410995942308084,11.103820477614525,71.48518358007739,12.949271552675677,open_symbol,filled_symbol
DQ0-TB150-TH50,binary,200,0,75,25,6.415457973294702,67.95019333653038,25.63434869017491,4.699871108979745,open_symbol,filled_symbol
DQ0-TB250-TH50,binary,300,0,83.33333333333333,16.666666666666668,19.175063742394318,47.01433551038117,33.810600747224505,24.21266521530144,open_symbol,filled_symbol
DQ0-TB500-TH50,binary,550,0,90.9090909090909,9.090909090909092,12.48764212405747,73.29306063217184,14.219297243770685,11.744020184612708,open_symbol,filled_symbol
DQ0-TB500-TH500,binary,1000,0,50,50,6.362273648106253,38.699181714770624,54.93854463712312,7.533878856819584,open_symbol,filled_symbol
DQ33-TB333-TH333,ternary,699,4.721030042918455,47.63948497854077,47.63948497854077,11.978344237070447,20.558131951900116,67.46352381102945,18.054235351093773,open_symbol,filled_symbol
DQ50-TB0-TH150,binary,200,25,0,75,14.458818991003373,10.05433201847815,75.48684899051848,7.027454005997753,open_symbol,filled_symbol
DQ50-TB0-TH250,binary,300,16.666666666666668,0,83.33333333333333,17.95952171176813,4.961458417918363,77.07901987031352,4.169542308679879,open_symbol,filled_symbol
DQ50-TB0-TH500,binary,550,9.090909090909092,0,90.9090909090909,16.213506153252087,7.388539240625917,76.397954606122,9.67409086864594,open_symbol,filled_symbol
DQ50-TB150-TH0,binary,200,25,75,0,53.043818979788746,45.93555058618144,1.0206304340298158,19.376299609212374,open_symbol,filled_symbol
DQ50-TB250-TH0,binary,300,16.666666666666668,83.33333333333333,0,17.555640908864277,81.08416013586752,1.360198955268217,1.4994487983105447,open_symbol,filled_symbol
DQ50-TB500-TH0,binary,550,9.090909090909092,90.9090909090909,0,14.583855606372502,85.33488972968149,0.08125466394599444,3.716134119606273,open_symbol,filled_symbol
DQ150-TB0-TH50,binary,200,75,0,25,57.57009471560883,4.982981726323031,37.446923558068136,11.619936856260779,open_symbol,filled_symbol
DQ150-TB50-TH0,binary,200,75,25,0,61.34382188197112,36.900946675220744,1.7552314428081324,9.104118745352586,open_symbol,filled_symbol
DQ250-TB0-TH50,binary,300,83.33333333333333,0,16.666666666666668,35.33394868809244,15.950413774036566,48.715637537871,31.99958976349393,open_symbol,filled_symbol
DQ250-TB50-TH0,binary,300,83.33333333333333,16.666666666666668,0,37.318441735935494,61.19274073051871,1.488817533545803,30.676594398265223,open_symbol,filled_symbol
DQ333-TB33-TH333,ternary,699,47.63948497854077,4.721030042918455,47.63948497854077,19.115739035816112,7.224005419055846,73.66025554512805,19.015830628483112,open_symbol,filled_symbol
DQ333-TB333-TH33,ternary,699,47.63948497854077,47.63948497854077,4.721030042918455,56.90673704746092,29.44976796256308,13.643494989975991,12.126478010651793,open_symbol,filled_symbol
DQ333-TB333-TH333,ternary,999,33.333333333333336,33.333333333333336,33.333333333333336,27.118292426234813,15.737209630907495,57.1444979428577,15.874109739682908,open_symbol,filled_symbol
DQ500-TB0-TH50,binary,550,90.9090909090909,0,9.090909090909092,94.51862454736066,0.5149319671125155,4.9664434855268365,2.7496437369215077,open_symbol,filled_symbol
DQ500-TB0-TH500,binary,1000,50,0,50,25.421536673573907,24.335741512626626,50.242721813799456,16.38564221761739,open_symbol,filled_symbol
DQ500-TB50-TH0,binary,550,90.9090909090909,9.090909090909092,0,43.39421137702452,52.7219086176543,3.8838800053211915,31.67658635471093,open_symbol,filled_symbol
DQ500-TB500-TH0,binary,1000,50,50,0,57.635921289943056,39.77943557988732,2.5846431301696278,6.813709613408455,open_symbol,filled_symbol
