DQ_pct_X,TBZ_pct_Y,THI_pct_Z,condition
0.0,25.0,75.0,DQ0-TB50-TH150
11.888648648294954,41.32907480504952,46.782276546655524,
,,,
0.0,16.666666666666668,83.33333333333333,DQ0-TB50-TH250
14.33316089789441,13.99356445169862,71.67327465040697,
,,,
0.0,9.090909090909092,90.9090909090909,DQ0-TB50-TH500
17.410995942308084,11.103820477614525,71.48518358007739,
,,,
0.0,75.0,25.0,DQ0-TB150-TH50
6.415457973294702,67.95019333653038,25.63434869017491,
,,,
0.0,83.33333333333333,16.666666666666668,DQ0-TB250-TH50
19.175063742394318,47.01433551038117,33.810600747224505,
,,,
0.0,90.9090909090909,9.090909090909092,DQ0-TB500-TH50
12.48764212405747,73.29306063217184,14.219297243770685,
,,,
0.0,50.0,50.0,DQ0-TB500-TH500
6.362273648106253,38.699181714770624,54.93854463712312,
,,,
4.721030042918455,47.63948497854077,47.63948497854077,DQ33-TB333-TH333
11.978344237070447,20.558131951900116,67.46352381102945,
,,,
25.0,0.0,75.0,DQ50-TB0-TH150
14.458818991003373,10.05433201847815,75.48684899051848,
,,,
16.666666666666668,0.0,83.33333333333333,DQ50-TB0-TH250
17.95952171176813,4.961458417918363,77.07901987031352,
,,,
9.090909090909092,0.0,90.9090909090909,DQ50-TB0-TH500
16.213506153252087,7.388539240625917,76.397954606122,
,,,
25.0,75.0,0.0,DQ50-TB150-TH0
53.043818979788746,45.93555058618144,1.0206304340298158,
,,,
16.666666666666668,83.33333333333333,0.0,DQ50-TB250-TH0
17.555640908864277,81.08416013586752,1.360198955268217,
,,,
9.090909090909092,90.9090909090909,0.0,DQ50-TB500-TH0
14.583855606372502,85.33488972968149,0.08125466394599444,
,,,
75.0,0.0,25.0,DQ150-TB0-TH50
57.57009471560883,4.982981726323031,37.446923558068136,
,,,
75.0,25.0,0.0,DQ150-TB50-TH0
61.34382188197112,36.900946675220744,1.7552314428081324,
,,,
83.33333333333333,0.0,16.666666666666668,DQ250-TB0-TH50
35.33394868809244,15.950413774036566,48.715637537871,
,,,
83.33333333333333,16.666666666666668,0.0,DQ250-TB50-TH0
37.318441735935494,61.19274073051871,1.488817533545803,
,,,
47.63948497854077,4.721030042918455,47.63948497854077,DQ333-TB33-TH333
19.115739035816112,7.224005419055846,73.66025554512805,
,,,
47.63948497854077,47.63948497854077,4.721030042918455,DQ333-TB333-TH33
56.90673704746092,29.44976796256308,13.643494989975991,
,,,
33.333333333333336,33.333333333333336,33.333333333333336,DQ333-TB333-TH333
27.118292426234813,15.737209630907495,57.1444979428577,
,,,
90.9090909090909,0.0,9.090909090909092,DQ500-TB0-TH50
94.51862454736066,0.5149319671125155,4.9664434855268365,
,,,
50.0,0.0,50.0,DQ500-TB0-TH500
25.421536673573907,24.335741512626626,50.242721813799456,
,,,
90.9090909090909,9.090909090909092,0.0,DQ500-TB50-TH0
43.39421137702452,52.7219086176543,3.8838800053211915,
,,,
50.0,50.0,0.0,DQ500-TB500-TH0
57.635921289943056,39.77943557988732,2.5846431301696278,
,,,
