condition,fold,DQ_uM,TBZ_uM,THI_uM,pred_DQ_uM,pred_TBZ_uM,pred_THI_uM,MAE_uM,RMSE_uM,Euclidean_distance_uM,mean_recovery_pct
DQ24-TB6-TH12,2,24,6,12,37.137213177977266,5.063326380993034,8.853214240666672,5.740224185439186,7.818055772106562,13.541269813695692,104.30131553233714
DQ24-TB12-TH12,5,24,12,12,18.83444699646146,5.890304746450527,13.618782477124098,4.2980102447373705,4.712811285275313,8.162828592580825,80.35086311612599
DQ24-TB24-TH12,1,24,24,12,20.521545059421957,16.20157512639379,10.532185102262162,4.248231570640697,5.0023181245276325,8.664269147304516,80.26040331991676
DQ3-TB3-TH24,4,3,3,24,4.4254559222936525,7.602986364923622,30.123389367298827,4.050610551505367,4.498714831505517,7.792002656931218,175.48739953477363
DQ3-TB6-TH24,2,3,6,24,5.938905538868672,4.419570579302485,26.76086811315935,2.426734357575179,2.500487663000914,4.330971676016747,127.70888158516482
DQ3-TB12-TH24,5,3,12,24,3.9154706846278766,9.45337956682399,20.66238061240198,2.2665701684673025,2.4807972765190356,4.296866926209467,98.46236836537913
DQ3-TB24-TH24,1,3,24,24,3.7517574730717542,16.46644804330875,16.436366548257645,5.282980960501787,6.178675569375738,10.701780009643338,87.38454774463948
DQ6-TB3-TH24,3,6,3,24,2.636950649536476,2.335134075101083,14.270434512374937,4.585826920995834,5.955854044823729,10.315841808099306,60.415707932402086
DQ6-TB6-TH24,2,6,6,24,5.479850556998679,7.19800621030749,24.387574229782395,0.7019099610304019,0.7865511440419953,1.3623465442321623,104.30416847084315
DQ6-TB12-TH24,2,6,12,24,5.664468607162475,8.919090444572436,33.563029589782026,4.326490179349038,5.803910174452821,10.052667304718232,102.85984014941225
DQ6-TB24-TH24,5,6,24,24,4.323151146354935,14.418490511535067,7.628882139116068,9.209825400997977,10.994402305574523,19.042863392107478,54.63885727232065
DQ12-TB3-TH24,3,12,3,24,11.666193985175271,5.097407578387888,19.70963102780919,2.240527521801142,2.7639229923516155,4.787255050960804,116.41844392397617
DQ12-TB6-TH24,4,12,6,24,11.791920551577865,4.913552530890277,24.043628825052092,0.4460519141946501,0.6391579445817778,1.107054034076932,93.44677784967907
DQ12-TB12-TH24,5,12,12,24,8.361099991520117,10.120636403888653,19.29014937793727,3.409371408884654,3.603530383769421,6.2414977113068115,78.13003078993724
DQ12-TB24-TH24,1,12,24,24,12.715078821916508,21.916137002039626,21.794160110293475,1.6682605698611355,1.7999585490451708,3.117619658464193,96.02840938356404
DQ24-TB3-TH24,2,24,3,24,12.649520157813589,6.95950028886957,29.785083753884955,7.031687961646978,7.7023422676677145,13.340848144885763,136.26473086479876
DQ24-TB6-TH24,5,24,6,24,18.237540456147386,6.594401504011576,18.74203014541444,3.871610300816583,4.51683887005945,7.823394412544967,87.99607863556685
DQ24-TB12-TH24,2,24,12,24,34.21074458462174,15.88516254135099,20.657821637274846,5.8126951628992956,6.596058144916738,11.424707836674308,120.3317934786091
DQ24-TB24-TH24,5,24,24,24,18.21417381511617,19.9435867514673,28.027237561152003,4.623158998189511,4.6957042588062174,8.133198353569925,91.9236085107437
