condition,regime,pair,component,DQ_uM,TBZ_uM,THI_uM,nominal_component_uM,apparent_single_calibration_uM,effective_response_factor_Q,log10_effective_response_factor
DQ24-TB12-TH3,low_ternary_64,DQ-TBZ-THI,DQ,24,12,3,24,12.75401812973871,0.5314174220724462,-0.27456421171366413
DQ24-TB12-TH3,low_ternary_64,DQ-TBZ-THI,TBZ,24,12,3,12,2.13506393356331,0.17792199446360915,-0.7497703617320016
DQ24-TB12-TH3,low_ternary_64,DQ-TBZ-THI,THI,24,12,3,3,3.1640933304737118,1.0546977768245707,0.023128030571187026
DQ24-TB12-TH6,low_ternary_64,DQ-TBZ-THI,DQ,24,12,6,24,10.465190944522819,0.43604962268845077,-0.3604640849665631
DQ24-TB12-TH6,low_ternary_64,DQ-TBZ-THI,TBZ,24,12,6,12,1.5052544838347688,0.1254378736528974,-0.9015713164950976
DQ24-TB12-TH6,low_ternary_64,DQ-TBZ-THI,THI,24,12,6,6,7.344535599828853,1.2240892666381422,0.08781308986407792
DQ24-TB24-TH24,low_ternary_64,DQ-TBZ-THI,DQ,24,24,24,24,2.528442895739421,0.10535178732247587,-0.9773580920662827
DQ24-TB24-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,24,24,24,24,3.016151026894809,0.12567295945395038,-0.9007581576621226
DQ24-TB24-TH24,low_ternary_64,DQ-TBZ-THI,THI,24,24,24,24,17.9513633053326,0.7479734710555249,-0.1261138053153682
DQ250-TB0-TH50,high_binary_21,DQ-THI,DQ,250,0,50,250,0.49611291340868785,0.0019844516536347513,-2.7023594771626684
