DQ_uM,THI3_TBZ3_MAE_uM,THI3_TBZ6_MAE_uM,THI3_TBZ12_MAE_uM,THI3_TBZ24_MAE_uM,THI6_TBZ3_MAE_uM,THI6_TBZ6_MAE_uM,THI6_TBZ12_MAE_uM,THI6_TBZ24_MAE_uM,THI12_TBZ3_MAE_uM,THI12_TBZ6_MAE_uM,THI12_TBZ12_MAE_uM,THI12_TBZ24_MAE_uM,THI24_TBZ3_MAE_uM,THI24_TBZ6_MAE_uM,THI24_TBZ12_MAE_uM,THI24_TBZ24_MAE_uM
3,2.2881472073252094,1.4011153427982093,2.1491290282232427,3.9662279553926534,0.8581028244647689,0.719347583805003,3.225514722540185,0.6468183575244559,2.370652153296937,1.6708347361360978,0.9613611001549917,2.573422647149727,4.050610551505367,2.426734357575179,2.2665701684673025,5.282980960501787
6,1.2093482023400401,1.1176743675033112,1.5972643858078532,1.3815303665576117,1.717134803606377,1.548205909837068,2.195609555370567,4.649692427243019,2.385347354342194,1.7788558627469697,0.9940435019068046,3.1753071349464097,4.585826920995834,0.7019099610304019,4.326490179349038,9.209825400997977
12,1.1759163549570424,2.058939352283954,2.89185343837909,5.501460421494746,2.1938129136085336,1.6324605180031095,1.359510150603423,4.212341461029787,1.0581834087936983,2.8204025288464862,3.692850206402857,1.738705657719078,2.240527521801142,0.4460519141946501,3.409371408884654,1.6682605698611355
24,1.7207010023775393,0.6931833941583819,1.7251353092927948,4.291024318498947,5.038880188818139,4.083231808133947,2.1692769898976576,4.358845657366755,7.580765601189005,5.740224185439186,4.2980102447373705,4.248231570640697,7.031687961646978,3.871610300816583,5.8126951628992956,4.623158998189511
