DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_mlp_Z2
0.0,25.0,75.0,0.4356
0.0,16.666666666666668,83.33333333333333,0.7133
0.0,9.090909090909092,90.9090909090909,0.6115
0.0,75.0,25.0,0.859
0.0,83.33333333333333,16.666666666666668,0.2736
0.0,90.9090909090909,9.090909090909092,0.6477
0.0,50.0,50.0,0.774
4.721030042918455,47.63948497854077,47.63948497854077,0.4584
25.0,0.0,75.0,0.7892
16.666666666666668,0.0,83.33333333333333,0.8749
9.090909090909092,0.0,90.9090909090909,0.7098
25.0,75.0,0.0,0.4187
16.666666666666668,83.33333333333333,0.0,0.955
9.090909090909092,90.9090909090909,0.0,0.8885
75.0,0.0,25.0,0.6514
75.0,25.0,0.0,0.7269
83.33333333333333,0.0,16.666666666666668,0.04
83.33333333333333,16.666666666666668,0.0,0.0797
47.63948497854077,4.721030042918455,47.63948497854077,0.4295
47.63948497854077,47.63948497854077,4.721030042918455,0.6362
33.333333333333336,33.333333333333336,33.333333333333336,0.5238
90.9090909090909,0.0,9.090909090909092,0.9175
50.0,0.0,50.0,0.5084
90.9090909090909,9.090909090909092,0.0,0.0497
50.0,50.0,0.0,0.7956
