DQ_pct_X,TBZ_pct_Y,THI_pct_Z,condition
0.0,25.0,75.0,DQ0-TB50-TH150
0.0,12.0,88.0,
,,,
0.0,16.666666666666668,83.33333333333333,DQ0-TB50-TH250
0.0,0.0,100.0,
,,,
0.0,9.090909090909092,90.9090909090909,DQ0-TB50-TH500
0.0,0.0,100.0,
,,,
0.0,75.0,25.0,DQ0-TB150-TH50
0.0,49.0,51.0,
,,,
0.0,83.33333333333333,16.666666666666668,DQ0-TB250-TH50
0.0,28.0,72.0,
,,,
0.0,90.9090909090909,9.090909090909092,DQ0-TB500-TH50
0.0,85.0,15.0,
,,,
0.0,50.0,50.0,DQ0-TB500-TH500
0.0,12.0,88.0,
,,,
4.721030042918455,47.63948497854077,47.63948497854077,DQ33-TB333-TH333
0.0,0.0,100.0,
,,,
25.0,0.0,75.0,DQ50-TB0-TH150
0.0,0.0,100.0,
,,,
16.666666666666668,0.0,83.33333333333333,DQ50-TB0-TH250
0.0,0.0,100.0,
,,,
9.090909090909092,0.0,90.9090909090909,DQ50-TB0-TH500
0.0,0.0,100.0,
,,,
25.0,75.0,0.0,DQ50-TB150-TH0
24.0,76.0,0.0,
,,,
16.666666666666668,83.33333333333333,0.0,DQ50-TB250-TH0
6.0,94.0,0.0,
,,,
9.090909090909092,90.9090909090909,0.0,DQ50-TB500-TH0
4.0,96.0,0.0,
,,,
75.0,0.0,25.0,DQ150-TB0-TH50
32.0,68.0,0.0,
,,,
75.0,25.0,0.0,DQ150-TB50-TH0
71.0,29.0,0.0,
,,,
83.33333333333333,0.0,16.666666666666668,DQ250-TB0-TH50
6.0,0.0,94.0,
,,,
83.33333333333333,16.666666666666668,0.0,DQ250-TB50-TH0
12.0,88.0,0.0,
,,,
47.63948497854077,4.721030042918455,47.63948497854077,DQ333-TB33-TH333
0.0,0.0,100.0,
,,,
47.63948497854077,47.63948497854077,4.721030042918455,DQ333-TB333-TH33
40.0,26.0,34.0,
,,,
33.333333333333336,33.333333333333336,33.333333333333336,DQ333-TB333-TH333
2.0,2.0,96.0,
,,,
90.9090909090909,0.0,9.090909090909092,DQ500-TB0-TH50
56.0,0.0,44.0,
,,,
50.0,0.0,50.0,DQ500-TB0-TH500
2.0,0.0,98.0,
,,,
90.9090909090909,9.090909090909092,0.0,DQ500-TB50-TH0
14.0,86.0,0.0,
,,,
50.0,50.0,0.0,DQ500-TB500-TH0
62.0,38.0,0.0,
,,,
