DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_nnls_Z2
0.0,25.0,75.0,0.74
0.0,16.666666666666668,83.33333333333333,0.6667
0.0,9.090909090909092,90.9090909090909,0.8182
0.0,75.0,25.0,0.48
0.0,83.33333333333333,16.666666666666668,0.0
0.0,90.9090909090909,9.090909090909092,0.8818
0.0,50.0,50.0,0.24
4.721030042918455,47.63948497854077,47.63948497854077,0.0
25.0,0.0,75.0,0.5
16.666666666666668,0.0,83.33333333333333,0.6667
9.090909090909092,0.0,90.9090909090909,0.8182
25.0,75.0,0.0,0.98
16.666666666666668,83.33333333333333,0.0,0.7867
9.090909090909092,90.9090909090909,0.0,0.8982
75.0,0.0,25.0,0.0
75.0,25.0,0.0,0.92
83.33333333333333,0.0,16.666666666666668,0.0
83.33333333333333,16.666666666666668,0.0,0.0
47.63948497854077,4.721030042918455,47.63948497854077,0.0
47.63948497854077,47.63948497854077,4.721030042918455,0.4144
33.333333333333336,33.333333333333336,33.333333333333336,0.0
90.9090909090909,0.0,9.090909090909092,0.3018
50.0,0.0,50.0,0.04
90.9090909090909,9.090909090909092,0.0,0.0
50.0,50.0,0.0,0.76
